iter	MultiClass
0	2.352513851
1	2.29621541
2	2.258409775
3	2.220017751
4	2.184362749
5	2.14755819
6	2.109596284
7	2.074496028
8	2.028034114
9	1.974040978
10	1.942441507
11	1.898800679
12	1.85947571
13	1.829463487
14	1.789698943
15	1.761284753
16	1.731380556
17	1.709638892
18	1.684205657
19	1.666700738
20	1.640130452
21	1.612759905
22	1.593846867
23	1.573537184
24	1.545739592
25	1.525171292
26	1.508459245
27	1.487030049
28	1.467602922
29	1.447128715
30	1.422938525
31	1.406741271
32	1.386477827
33	1.372306204
34	1.354871324
35	1.338167946
36	1.320003466
37	1.30339971
38	1.289295783
39	1.275724656
40	1.257683872
41	1.243881419
42	1.228227276
43	1.218235921
44	1.200892236
45	1.188923784
46	1.177106627
47	1.166288123
48	1.151561068
49	1.138232515
50	1.12803454
51	1.112415064
52	1.103089146
53	1.094733657
54	1.085848101
55	1.078165284
56	1.067653371
57	1.058869181
58	1.050767399
59	1.043756581
60	1.037288908
61	1.027103157
62	1.016769579
63	1.01001771
64	0.9999125357
65	0.9930741703
66	0.9840786241
67	0.9758149886
68	0.9669796488
69	0.9584109835
70	0.9509354634
71	0.9445417586
72	0.9393329607
73	0.9335054269
74	0.9252691488
75	0.9168210276
76	0.908503488
77	0.8998740222
78	0.8919546042
79	0.8867994399
80	0.8799536174
81	0.8729475514
82	0.868916374
83	0.8619764136
84	0.8572689251
85	0.8536094402
86	0.8493051862
87	0.8438179991
88	0.8383095713
89	0.834058131
90	0.8301922743
91	0.8257519709
92	0.819864499
93	0.8154173882
94	0.8123381707
95	0.8065309664
96	0.8029363114
97	0.7980449592
98	0.7937450512
99	0.7894667315
100	0.7863659234
101	0.7816923062
102	0.77830474
103	0.775161012
104	0.7716266656
105	0.7685570547
106	0.764869811
107	0.7620091032
108	0.7567380762
109	0.7543529901
110	0.7499529449
111	0.7468600977
112	0.7444946572
113	0.7411535408
114	0.7373011149
115	0.7344631773
116	0.7301703394
117	0.7285311354
118	0.7263623172
119	0.7229415212
120	0.7212455062
121	0.7182844669
122	0.7157478908
123	0.7128293748
124	0.7092236864
125	0.7065555561
126	0.7027318164
127	0.7003489733
128	0.6981777929
129	0.6945889511
130	0.6916802096
131	0.6878289976
132	0.6858977142
133	0.6830559224
134	0.6806871666
135	0.678995784
136	0.6765485883
137	0.6736392074
138	0.6713124297
139	0.6694986261
140	0.6672003131
141	0.6650359951
142	0.6630992044
143	0.6606032751
144	0.6585564807
145	0.65661355
146	0.6546482904
147	0.6529703348
148	0.6512847747
149	0.6494385726
150	0.6478853779
151	0.6464778917
152	0.6444331191
153	0.6425571514
154	0.6407959764
155	0.6394176692
156	0.6379486689
157	0.6362024898
158	0.6346618318
159	0.6323843994
160	0.6305525146
161	0.6273832039
162	0.6261109876
163	0.6237603698
164	0.6219305724
165	0.6200511024
166	0.6186809619
167	0.617537985
168	0.6152424056
169	0.6139071116
170	0.6127067847
171	0.6116051545
172	0.6098084614
173	0.6081289053
174	0.6069557416
175	0.6052021244
176	0.6038353648
177	0.6024759937
178	0.6009918228
179	0.5997777191
180	0.5985350253
181	0.597060211
182	0.5963031177
183	0.5948462184
184	0.5933228081
185	0.591674201
186	0.5902712975
187	0.5888569243
188	0.5869937134
189	0.5853925717
190	0.5841783025
191	0.5833439103
192	0.5805815452
193	0.5795298861
194	0.5779357108
195	0.57683295
196	0.5759129011
197	0.5740872182
198	0.5725712388
199	0.5709321446
200	0.5700306849
201	0.5695308659
202	0.568493705
203	0.5676552007
204	0.5659073879
205	0.5641970579
206	0.562818748
207	0.5615948788
208	0.5603858034
209	0.5589833637
210	0.5576957598
211	0.5562164121
212	0.5549175133
213	0.5537944391
214	0.5525197221
215	0.5514473109
216	0.5502750002
217	0.5488080681
218	0.5472364339
219	0.545936717
220	0.5447184468
221	0.543705807
222	0.5426468704
223	0.5416541422
224	0.5400741621
225	0.5384335487
226	0.537205098
227	0.536284208
228	0.5349566699
229	0.5339585153
230	0.5326086181
231	0.531180233
232	0.5298498204
233	0.52871619
234	0.5281019003
235	0.5270395763
236	0.5261739597
237	0.524936093
238	0.5239656657
239	0.5227494343
240	0.5214269639
241	0.5202520812
242	0.5189088451
243	0.5176125051
244	0.5164234781
245	0.5153868838
246	0.5144079246
247	0.5132662768
248	0.5120461293
249	0.5109887271
250	0.5098474429
251	0.5088074063
252	0.5081052051
253	0.5068733931
254	0.5059287908
255	0.5048856748
256	0.504144729
257	0.502962532
258	0.5015332967
259	0.5004988844
260	0.4994945217
261	0.4981277025
262	0.4971873848
263	0.496183923
264	0.4950415367
265	0.4941707858
266	0.4933089159
267	0.4923934045
268	0.4915179166
269	0.4909725682
270	0.4903360485
271	0.4898188063
272	0.4889162342
273	0.4877514188
274	0.4869533435
275	0.485945379
276	0.4848983701
277	0.483707909
278	0.483141892
279	0.4820658291
280	0.4810844852
281	0.4803690502
282	0.4792420546
283	0.4782864878
284	0.4775475543
285	0.4766230919
286	0.4759156153
287	0.4749146161
288	0.4741058601
289	0.4735501138
290	0.4728346265
291	0.4717611072
292	0.4710850884
293	0.4701990068
294	0.4695498068
295	0.4690386393
296	0.4683284359
297	0.4675780805
298	0.4668657526
299	0.4663605776
300	0.4656651737
301	0.4650421559
302	0.4644308798
303	0.4635239178
304	0.4630351817
305	0.4626188896
306	0.4617300176
307	0.4612026733
308	0.460476729
309	0.4600148121
310	0.4591687977
311	0.4587067338
312	0.4578625351
313	0.4573531424
314	0.4569028481
315	0.4564405568
316	0.4558679524
317	0.4553796765
318	0.4548194295
319	0.4539385233
320	0.4534631286
321	0.4525880119
322	0.4521623303
323	0.4517432427
324	0.4512843078
325	0.4507979167
326	0.4499530015
327	0.4495277885
328	0.449123305
329	0.448348738
330	0.4478433824
331	0.4472674316
332	0.446457775
333	0.4460359975
334	0.4456219986
335	0.4450664782
336	0.4442840375
337	0.4438804307
338	0.443718548
339	0.4431579081
340	0.4427779178
341	0.4423847062
342	0.4422218325
343	0.4420309083
344	0.4415908627
345	0.4414324322
346	0.4411499182
347	0.440718694
348	0.4402696089
349	0.4399052225
350	0.4394824747
351	0.4389610464
352	0.4386033132
353	0.4382508811
354	0.4379458914
355	0.4373772252
356	0.4372344003
357	0.4370500063
358	0.4364925047
359	0.4361297891
360	0.4359867152
361	0.435853108
362	0.435715741
363	0.4353380291
364	0.4347932757
365	0.4344420882
366	0.4340964802
367	0.4339667031
368	0.4334341087
369	0.4333059293
370	0.4331211396
371	0.4327317853
372	0.4326059279
373	0.4322700466
374	0.4319378375
375	0.4314201073
376	0.43129601
377	0.4311192459
378	0.4307944448
379	0.4303242605
380	0.4302023401
381	0.4300818418
382	0.4299080426
383	0.4297384762
384	0.4296201203
385	0.429247618
386	0.4291308554
387	0.4288621471
388	0.4283619994
389	0.4282404296
390	0.4279547068
391	0.4274979263
392	0.4273602258
393	0.4270788902
394	0.4265528147
395	0.4260682779
396	0.4259801774
397	0.4257215103
398	0.4250679946
399	0.4249548917
400	0.4247002063
401	0.4242280767
402	0.4239769925
403	0.4238578422
404	0.4233941116
405	0.4232219846
406	0.4231369115
407	0.42305339
408	0.4228834579
409	0.4228008003
410	0.4225342505
411	0.4221884474
412	0.4219257645
413	0.4214738421
414	0.4213930121
415	0.4213132645
416	0.4211646901
417	0.420827694
418	0.4207493857
419	0.4204180349
420	0.4202539596
421	0.4201764622
422	0.4197967062
423	0.4196518931
424	0.4193359315
425	0.4191753145
426	0.4187389542
427	0.4185970998
428	0.4185214663
429	0.4184471884
430	0.4182894355
431	0.4178845763
432	0.4175769516
433	0.4174384349
434	0.4170138804
435	0.4167123298
436	0.4165508957
437	0.4164358818
438	0.4162775409
439	0.416143579
440	0.4160314368
441	0.4156154171
442	0.4153203596
443	0.4151887886
444	0.4151173638
445	0.414709334
446	0.414600088
447	0.4144708513
448	0.4141818262
449	0.414039329
450	0.4137338997
451	0.413352726
452	0.4132266727
453	0.4129455273
454	0.4128761228
455	0.4125026206
456	0.4121432756
457	0.412019405
458	0.411627504
459	0.4112743509
460	0.4111695985
461	0.41110206
462	0.4108356176
463	0.4105354689
464	0.4101727559
465	0.4100294931
466	0.4099272795
467	0.4095808925
468	0.409461883
469	0.4093958287
470	0.4090162812
471	0.4089509993
472	0.4086104741
473	0.4080938422
474	0.407828214
475	0.4074938375
476	0.4073704608
477	0.4070516264
478	0.4067916186
479	0.4064263993
480	0.4062159773
481	0.4061170128
482	0.4060530491
483	0.405940431
484	0.405733229
485	0.4054786578
486	0.4052744351
487	0.4050728968
488	0.4050046913
489	0.4046670335
490	0.4045996551
491	0.4045354537
492	0.4044711024
493	0.4044049396
494	0.404072331
495	0.4040069384
496	0.4039419683
497	0.4038330461
498	0.4037691882
499	0.4035219052
500	0.4032782889
501	0.4028053309
502	0.4026083094
503	0.4025451074
504	0.4024827882
505	0.4024213331
506	0.4023566186
507	0.4022926981
508	0.4020982386
509	0.4020378228
510	0.4019747772
511	0.4019250007
512	0.4018661164
513	0.4018080304
514	0.4017461466
515	0.401684463
516	0.4012649961
517	0.4012171694
518	0.4010922774
519	0.4009561208
520	0.4008335073
521	0.4007888389
522	0.4007422065
523	0.4006218786
524	0.4005035764
525	0.4001866545
526	0.4001432171
527	0.3998307813
528	0.3997872053
529	0.3996710236
530	0.3995809799
531	0.3995380404
532	0.3994250444
533	0.3993826931
534	0.3992716513
535	0.3991852313
536	0.398826589
537	0.3987847558
538	0.3987423109
539	0.3984284682
540	0.3983406812
541	0.3982565109
542	0.3982145887
543	0.398108664
544	0.3980673089
545	0.3979853737
546	0.397944476
547	0.3979040172
548	0.3978639897
549	0.397824386
550	0.3977851988
551	0.397746421
552	0.3976656939
553	0.397563991
554	0.3975257127
555	0.3974480241
556	0.3973693325
557	0.3970157434
558	0.3969390239
559	0.3968341743
560	0.3967964066
561	0.3967185582
562	0.3966148581
563	0.3965381511
