iter	Passed	Remaining
0	18	25491
1	37	26292
2	55	26039
3	73	25676
4	90	25236
5	108	25148
6	124	24790
7	141	24561
8	144	22344
9	161	22454
10	182	23027
11	199	23107
12	221	23614
13	239	23676
14	256	23710
15	273	23673
16	279	22745
17	296	22727
18	312	22732
19	329	22722
20	346	22763
21	362	22736
22	380	22759
23	396	22743
24	412	22712
25	430	22728
26	447	22767
27	463	22735
28	480	22732
29	497	22740
30	514	22728
31	531	22732
32	542	22452
33	559	22477
34	577	22507
35	594	22516
36	612	22562
37	629	22564
38	646	22558
39	662	22538
40	679	22524
41	696	22532
42	713	22524
43	731	22551
44	749	22567
45	767	22591
46	785	22619
47	802	22611
48	821	22636
49	838	22648
50	856	22655
51	874	22679
52	892	22678
53	897	22373
54	914	22364
55	931	22363
56	948	22358
57	965	22350
58	984	22370
59	1002	22385
60	1020	22393
61	1037	22385
62	1055	22396
63	1072	22384
64	1089	22371
65	1106	22364
66	1122	22337
67	1126	22067
68	1143	22061
69	1160	22051
70	1178	22051
71	1196	22060
72	1213	22067
73	1231	22070
74	1249	22080
75	1267	22078
76	1284	22069
77	1301	22053
78	1318	22041
79	1335	22038
80	1352	22031
81	1370	22026
82	1388	22024
83	1406	22029
84	1423	22018
85	1440	22004
86	1457	21991
87	1474	21985
88	1491	21964
89	1508	21957
90	1526	21957
91	1544	21956
92	1561	21950
93	1579	21939
94	1588	21825
95	1606	21817
96	1622	21799
97	1639	21784
98	1656	21771
99	1673	21758
100	1691	21752
101	1709	21748
102	1726	21740
103	1743	21723
104	1759	21705
105	1777	21696
106	1794	21680
107	1811	21676
108	1829	21668
109	1846	21652
110	1863	21637
111	1880	21626
112	1886	21484
113	1904	21481
114	1921	21467
115	1937	21450
116	1955	21440
117	1973	21438
118	1990	21429
119	2007	21413
120	2025	21406
121	2042	21400
122	2060	21389
123	2077	21374
124	2094	21359
125	2111	21352
126	2129	21342
127	2146	21330
128	2163	21318
129	2180	21302
130	2198	21300
131	2216	21289
132	2234	21282
133	2251	21273
134	2261	21189
135	2278	21178
136	2295	21164
137	2312	21148
138	2330	21142
139	2349	21141
140	2367	21141
141	2386	21142
142	2406	21150
143	2423	21139
144	2442	21141
145	2460	21130
146	2477	21116
147	2496	21120
148	2514	21115
149	2532	21104
150	2550	21097
151	2554	20974
152	2572	20968
153	2590	20962
154	2609	20956
155	2628	20961
156	2646	20953
157	2665	20949
158	2682	20939
159	2700	20926
160	2718	20919
161	2736	20910
162	2746	20846
163	2766	20852
164	2785	20851
165	2804	20845
166	2822	20840
167	2841	20839
168	2859	20830
169	2877	20816
170	2894	20803
171	2904	20739
172	2923	20734
173	2941	20726
174	2958	20711
175	2977	20704
176	2996	20701
177	3013	20687
178	3030	20674
179	3049	20666
180	3067	20661
181	3086	20654
182	3104	20644
183	3121	20630
184	3139	20622
185	3157	20610
186	3175	20600
187	3193	20589
188	3211	20578
189	3230	20572
190	3248	20562
191	3266	20552
192	3283	20537
193	3302	20529
194	3320	20519
195	3340	20521
196	3359	20513
197	3377	20504
198	3395	20489
199	3413	20478
200	3431	20468
201	3434	20371
202	3452	20360
203	3470	20349
204	3489	20338
205	3507	20331
206	3526	20322
207	3544	20310
208	3562	20300
209	3580	20287
210	3598	20276
211	3617	20269
212	3634	20256
213	3652	20242
214	3670	20227
215	3687	20214
216	3727	20318
217	3749	20332
218	3769	20328
219	3788	20317
220	3806	20304
221	3823	20291
222	3843	20284
223	3861	20274
224	3880	20265
225	3898	20252
226	3916	20239
227	3935	20230
228	3953	20217
229	3972	20207
