iter	MultiClass
0	2.35141252
1	2.296219948
2	2.264751687
3	2.21986377
4	2.192053827
5	2.16177599
6	2.141625996
7	2.110665359
8	2.07893985
9	2.043818598
10	2.002685614
11	1.968596794
12	1.937215851
13	1.91774703
14	1.906073212
15	1.880986858
16	1.860160587
17	1.840702806
18	1.821095265
19	1.79490484
20	1.780855299
21	1.758208173
22	1.746040236
23	1.725969996
24	1.711829033
25	1.699547017
26	1.688688182
27	1.675437336
28	1.665929184
29	1.646696519
30	1.634063011
31	1.613934967
32	1.604021619
33	1.594204711
34	1.582329046
35	1.572511468
36	1.55918983
37	1.54937627
38	1.539637494
39	1.526516746
40	1.511767709
41	1.498471293
42	1.491142923
43	1.486256485
44	1.478949954
45	1.470880579
46	1.461982089
47	1.453937045
48	1.4455661
49	1.43867391
50	1.428248576
51	1.417516192
52	1.407369926
53	1.39933715
54	1.388808809
55	1.379112604
56	1.368692772
57	1.362119559
58	1.354719578
59	1.34846411
60	1.341241233
61	1.333482468
62	1.32576558
63	1.318673513
64	1.315678397
65	1.309397376
66	1.301646015
67	1.294996018
68	1.290579275
69	1.285808066
70	1.279144517
71	1.276198178
72	1.271397764
73	1.26600256
74	1.260319402
75	1.257314039
76	1.24957971
77	1.242990011
78	1.237007188
79	1.229451761
80	1.222175686
81	1.21635686
82	1.211740464
83	1.20652534
84	1.198860714
85	1.193869443
86	1.188077783
87	1.183399936
88	1.180129436
89	1.174771841
90	1.17235965
91	1.170215208
92	1.16574977
93	1.161398836
94	1.157223148
95	1.152281459
96	1.150340372
97	1.144956211
98	1.142506712
99	1.140194526
100	1.136355073
101	1.133447391
102	1.130216951
103	1.128346296
104	1.125010921
105	1.120813079
106	1.117112225
107	1.111544348
108	1.107643956
109	1.101883427
110	1.097914673
111	1.094810218
112	1.090331102
113	1.085912856
114	1.084264001
115	1.082051224
116	1.079942066
117	1.077628986
118	1.075993331
119	1.07351525
120	1.070857956
121	1.069292823
122	1.066233853
123	1.064519381
124	1.060926015
125	1.058059382
126	1.05364255
127	1.049437403
128	1.047421371
129	1.044335694
130	1.040979356
131	1.040006403
132	1.036811328
133	1.035842461
134	1.032090073
135	1.028519594
136	1.026211626
137	1.023146702
138	1.021732713
139	1.020578906
140	1.018557747
141	1.018064856
142	1.016436535
143	1.012992991
144	1.010836403
145	1.008872919
146	1.006470035
147	1.004581665
148	1.001220977
149	1.00050963
150	0.9996132549
151	0.9968774753
152	0.9939465212
153	0.9927974159
154	0.991584498
155	0.9899493425
156	0.9876370056
157	0.986433394
158	0.9842862554
159	0.9814796604
160	0.9770270272
161	0.973859239
162	0.9709310571
163	0.9693461587
164	0.9684603561
165	0.9661569121
166	0.9637241358
167	0.9626396912
168	0.9604378344
169	0.9585201114
170	0.9572622988
171	0.9555754841
172	0.9551512596
173	0.9543697384
174	0.9523476688
175	0.9507171556
176	0.9487953692
177	0.9466975904
178	0.9450307317
179	0.9417456511
180	0.9409404376
181	0.9387429774
182	0.9351064668
183	0.9318819869
184	0.9301751815
185	0.9289343384
186	0.9267747491
187	0.9257173921
188	0.9252731533
189	0.9240766645
190	0.9209373858
191	0.9193443935
192	0.9184204978
193	0.917138774
194	0.9150152186
195	0.9139328295
196	0.9115441577
197	0.9101499174
198	0.9089123038
199	0.9075508912
200	0.9067330922
201	0.905668186
202	0.9034674046
203	0.9028768131
204	0.9017937731
205	0.9002498268
206	0.8994039194
207	0.8976277829
208	0.8967324833
209	0.8958080597
210	0.8942775489
211	0.8932199934
212	0.8916678797
213	0.8904566305
214	0.8897982833
215	0.888040961
216	0.887350367
217	0.885953946
218	0.8843182019
219	0.8837956843
220	0.8822408294
221	0.880024002
222	0.8789889928
223	0.8774209777
224	0.8762188393
225	0.8746580739
226	0.8735792682
227	0.8724435483
228	0.8714540235
229	0.8703333195
230	0.869166055
231	0.8683132625
232	0.8676642861
