iter	Passed	Remaining
0	4	6102
1	7	5249
2	10	5002
3	14	5070
4	18	5153
5	22	5178
6	25	5151
7	29	5161
8	33	5187
9	37	5175
10	40	5153
11	44	5112
12	48	5130
13	51	5126
14	53	4965
15	57	4978
16	61	4964
17	64	4973
18	68	4967
19	71	4963
20	75	4960
21	79	4951
22	82	4955
23	86	4953
24	90	4951
25	93	4960
26	97	4961
27	101	4974
28	105	4983
29	109	4987
30	112	4982
31	116	4976
32	120	4995
33	124	5006
34	128	5014
35	132	5021
36	136	5018
37	140	5021
38	144	5026
39	147	5018
40	151	5019
41	155	5021
42	159	5021
43	162	5021
44	166	5004
45	169	5002
46	173	5004
47	177	5010
48	181	5003
49	185	5000
50	189	4999
51	192	4998
52	196	4989
53	200	4988
54	203	4984
55	207	4988
56	212	5003
57	216	5005
58	220	5000
59	223	4993
60	227	4989
61	231	4985
62	234	4982
63	238	4985
64	242	4980
65	246	4974
66	249	4964
67	252	4953
68	256	4941
69	259	4935
70	263	4929
71	268	4949
72	272	4952
73	276	4952
74	280	4950
75	283	4931
76	286	4927
77	290	4927
78	294	4928
79	298	4926
80	302	4923
81	305	4916
82	309	4912
83	313	4914
84	317	4912
85	321	4907
86	325	4910
87	329	4910
88	333	4910
89	337	4908
90	341	4910
91	345	4910
92	349	4910
93	353	4904
94	357	4908
95	361	4906
96	365	4906
97	369	4905
98	372	4900
99	376	4897
100	380	4892
101	384	4890
102	388	4886
103	391	4883
104	395	4882
105	399	4881
106	403	4877
107	407	4872
108	411	4869
109	414	4864
110	418	4863
111	422	4861
112	426	4858
113	430	4857
114	434	4851
115	438	4850
116	442	4846
117	446	4846
118	449	4841
119	453	4838
120	457	4835
121	461	4829
122	464	4826
123	468	4823
124	472	4822
125	476	4820
126	480	4818
127	484	4815
128	488	4813
129	492	4810
130	495	4803
131	499	4798
132	503	4793
133	506	4788
134	510	4785
135	516	4796
136	520	4794
137	523	4787
138	526	4780
139	530	4778
140	534	4775
141	539	4777
142	553	4869
143	557	4865
144	561	4858
145	564	4850
146	568	4846
147	572	4840
148	575	4834
149	579	4829
150	583	4829
151	587	4825
152	591	4819
153	595	4814
154	598	4809
155	602	4804
156	606	4799
157	610	4795
158	613	4791
159	617	4785
160	621	4780
161	624	4775
162	628	4772
163	632	4765
164	635	4759
165	639	4754
166	643	4749
167	646	4744
168	650	4739
169	654	4738
170	658	4734
171	662	4731
172	666	4726
173	670	4721
174	673	4717
175	677	4711
176	681	4708
177	685	4705
178	689	4705
179	693	4701
180	697	4697
181	701	4693
182	704	4687
183	708	4681
184	712	4677
185	716	4674
186	719	4670
187	723	4664
188	727	4659
189	731	4656
190	734	4652
191	738	4646
192	742	4646
193	746	4642
194	750	4638
195	754	4634
196	757	4628
197	761	4624
198	765	4621
199	769	4617
200	773	4612
201	776	4605
202	780	4602
203	784	4599
204	788	4594
205	791	4586
206	793	4572
207	797	4569
208	801	4566
209	804	4560
210	808	4556
211	812	4552
212	816	4549
213	819	4544
214	823	4541
215	827	4536
216	830	4527
217	833	4521
218	837	4518
219	841	4515
220	845	4512
221	849	4509
222	853	4504
223	857	4501
224	861	4496
225	864	4492
226	868	4487
227	872	4483
228	875	4478
229	879	4475
230	883	4471
231	887	4467
232	891	4463
233	894	4457
234	898	4454
235	902	4450
236	906	4446
237	909	4441
238	913	4436
239	916	4431
240	920	4428
241	924	4424
242	928	4419
243	932	4417
244	935	4410
245	939	4406
246	943	4404
247	947	4400
248	950	4394
249	954	4388
250	957	4384
251	961	4378
252	964	4374
253	968	4369
254	971	4363
255	975	4357
256	978	4351
257	982	4347
258	985	4341
259	989	4336
260	992	4332
261	996	4328
262	1000	4327
263	1004	4321
264	1007	4315
265	1010	4309
266	1014	4304
267	1018	4300
268	1021	4294
269	1024	4288
270	1028	4283
271	1031	4277
272	1034	4272
273	1038	4269
274	1042	4263
275	1045	4257
276	1048	4251
277	1052	4246
278	1055	4242
279	1059	4238
280	1063	4234
281	1066	4229
282	1070	4226
283	1074	4221
284	1078	4218
285	1082	4214
286	1085	4210
287	1089	4207
288	1093	4203
289	1096	4197
290	1099	4192
291	1103	4188
292	1109	4191
293	1113	4187
294	1116	4182
295	1120	4180
296	1124	4176
297	1128	4172
298	1131	4167
299	1135	4164
300	1140	4163
301	1144	4160
302	1150	4163
303	1157	4172
304	1163	4177
305	1168	4177
306	1174	4183
307	1180	4184
308	1185	4186
309	1191	4187
310	1196	4188
311	1200	4185
312	1205	4184
313	1208	4180
314	1212	4176
315	1216	4172
316	1220	4168
317	1223	4163
318	1227	4160
319	1231	4156
320	1235	4152
321	1238	4147
322	1243	4147
323	1248	4147
324	1252	4142
325	1256	4138
326	1259	4134
327	1263	4130
328	1267	4126
329	1271	4121
330	1274	4116
331	1279	4117
332	1283	4111
333	1287	4107
334	1291	4105
335	1296	4104
336	1299	4100
337	1303	4095
338	1307	4091
339	1310	4086
340	1314	4083
341	1318	4078
342	1321	4073
343	1325	4069
344	1329	4065
345	1332	4060
346	1336	4055
347	1339	4050
348	1343	4046
349	1348	4045
350	1352	4041
351	1356	4037
352	1360	4033
353	1363	4030
354	1367	4025
355	1371	4021
356	1375	4017
357	1378	4012
358	1382	4008
359	1386	4005
360	1390	4001
361	1393	3996
362	1397	3992
363	1401	3988
364	1405	3985
365	1409	3981
366	1413	3977
367	1416	3972
368	1420	3969
369	1424	3965
370	1428	3961
371	1431	3956
372	1435	3952
373	1439	3948
374	1443	3944
375	1447	3941
376	1450	3936
377	1454	3931
378	1457	3927
379	1461	3923
380	1465	3919
381	1468	3913
382	1472	3908
383	1475	3905
384	1479	3901
385	1483	3896
386	1486	3891
387	1490	3888
388	1494	3884
389	1498	3880
390	1502	3876
391	1506	3873
392	1510	3869
393	1513	3865
394	1517	3861
395	1521	3857
396	1524	3852
397	1528	3848
398	1532	3844
399	1536	3840
400	1540	3837
401	1544	3833
402	1548	3829
403	1551	3825
404	1555	3820
405	1558	3816
406	1562	3812
407	1566	3808
408	1570	3804
409	1574	3800
410	1578	3797
411	1581	3793
412	1585	3789
413	1589	3784
414	1593	3781
415	1597	3777
416	1600	3774
417	1604	3769
418	1608	3764
419	1611	3760
420	1615	3756
421	1619	3753
422	1623	3749
423	1627	3745
424	1631	3741
425	1634	3737
426	1638	3733
427	1641	3728
428	1645	3724
429	1649	3720
430	1653	3716
431	1656	3712
432	1660	3708
433	1664	3703
434	1667	3699
435	1671	3695
436	1675	3691
437	1678	3687
438	1682	3683
439	1686	3679
440	1690	3675
441	1694	3671
442	1697	3667
443	1701	3664
444	1705	3660
445	1709	3656
446	1713	3652
447	1717	3649
448	1720	3644
449	1724	3640
450	1728	3636
451	1731	3632
452	1735	3628
453	1739	3624
454	1743	3620
455	1747	3616
456	1751	3613
457	1754	3609
458	1758	3604
459	1761	3599
460	1765	3595
461	1768	3591
462	1772	3586
463	1776	3583
464	1779	3579
465	1783	3575
466	1787	3571
467	1791	3568
468	1795	3564
469	1799	3560
470	1803	3556
471	1807	3552
472	1810	3548
473	1814	3544
474	1818	3541
475	1822	3537
476	1825	3533
477	1829	3529
478	1833	3525
479	1836	3520
480	1840	3516
481	1844	3512
482	1847	3508
483	1851	3504
484	1855	3500
485	1859	3496
486	1863	3492
487	1866	3488
488	1870	3483
489	1873	3479
490	1877	3476
491	1881	3472
492	1885	3469
493	1889	3465
494	1893	3461
495	1897	3457
496	1900	3453
497	1904	3449
498	1908	3445
499	1912	3442
500	1915	3437
501	1919	3434
502	1923	3430
503	1927	3426
504	1931	3422
505	1935	3418
506	1939	3415
507	1942	3411
508	1946	3407
509	1950	3403
510	1954	3400
511	1958	3396
512	1962	3392
513	1965	3388
514	1969	3384
515	1972	3379
516	1976	3376
517	1980	3372
518	1984	3367
519	1987	3363
520	1991	3360
521	1995	3356
522	1999	3352
523	2002	3348
524	2007	3345
525	2010	3340
526	2013	3336
