iter	MultiClass
0	2.322127847
1	2.267219396
2	2.223552034
3	2.176328882
4	2.129428741
5	2.08033574
6	2.04344157
7	2.006124695
8	1.957252237
9	1.925498274
10	1.904635638
11	1.865312163
12	1.833717024
13	1.80849027
14	1.77771564
15	1.751559773
16	1.727327953
17	1.714059833
18	1.687379925
19	1.660337172
20	1.63956714
21	1.621513408
22	1.594182561
23	1.568006166
24	1.544240069
25	1.528026535
26	1.517833199
27	1.498780775
28	1.484081222
29	1.469459385
30	1.453055402
31	1.435347169
32	1.416964722
33	1.408175221
34	1.396795433
35	1.380861862
36	1.371227614
37	1.364537999
38	1.351341283
39	1.334863026
40	1.324058452
41	1.317233418
42	1.306628476
43	1.295321225
44	1.285976092
45	1.281273178
46	1.273450718
47	1.266426274
48	1.262272557
49	1.256803113
50	1.246694262
51	1.239330472
52	1.234821737
53	1.226676056
54	1.216843689
55	1.209723116
56	1.201479766
57	1.194385185
58	1.189093792
59	1.178582845
60	1.173926434
61	1.168418394
62	1.162768116
63	1.156534374
64	1.153157191
65	1.149913552
66	1.143465821
67	1.13977993
68	1.136610421
69	1.130248296
70	1.127673606
71	1.123548248
72	1.119184126
73	1.113457463
74	1.107761437
75	1.101588015
76	1.098050331
77	1.094682114
78	1.08681557
79	1.081942292
80	1.077094167
81	1.071896449
82	1.064226102
83	1.061150194
84	1.056874698
85	1.056139317
86	1.053173028
87	1.048342028
88	1.045742199
89	1.040348685
90	1.035193296
91	1.030409757
92	1.02991093
93	1.024172727
94	1.021825554
95	1.01957845
96	1.018064247
97	1.013315787
98	1.009942256
99	1.007921914
100	1.005172435
101	1.003230786
102	1.000197366
103	0.9977497453
104	0.9963605038
105	0.9909814926
106	0.9884488892
107	0.9872525713
108	0.9840972675
109	0.9791569031
110	0.977417951
111	0.9764475217
112	0.9755336322
113	0.9708480138
114	0.9669298524
115	0.9632444166
116	0.960766117
117	0.9586563401
118	0.9540854122
119	0.951286489
120	0.9484229748
121	0.9449744852
122	0.9417763431
123	0.9411287128
124	0.9393213786
125	0.9353399451
126	0.9327185061
127	0.9311259026
128	0.9292709601
129	0.9260987629
130	0.9238064384
131	0.920634956
132	0.9179774
133	0.9163031803
134	0.9133820822
135	0.9121533377
136	0.9104080945
137	0.9099219331
138	0.9073032625
139	0.9057139565
140	0.9039092016
141	0.9034882115
142	0.9011097598
143	0.8989126613
144	0.8970263571
145	0.8961868346
146	0.8942426349
147	0.8924091632
148	0.8913614084
149	0.8885968312
150	0.8873325968
151	0.8833520828
152	0.8810460134
153	0.8799112072
154	0.8783465767
155	0.8767082987
156	0.8749054851
