iter	Passed	Remaining
0	3	3170
1	7	2985
2	11	2929
3	14	2839
4	17	2854
5	21	2871
6	25	2865
7	28	2837
8	31	2809
9	35	2805
10	39	2802
11	42	2807
12	46	2787
13	49	2784
14	53	2787
15	56	2775
16	60	2771
17	63	2754
18	67	2754
19	70	2743
20	74	2749
21	77	2742
22	81	2761
23	85	2758
24	88	2746
25	91	2736
26	95	2738
27	99	2733
28	102	2726
29	106	2723
30	109	2719
31	113	2716
32	117	2719
33	120	2714
34	124	2716
35	127	2706
36	130	2701
37	134	2705
38	138	2697
39	141	2690
40	144	2682
41	148	2676
42	151	2670
43	155	2671
44	158	2664
45	162	2667
46	166	2662
47	170	2664
48	173	2659
49	177	2665
50	182	2683
51	185	2664
52	188	2662
53	192	2656
54	195	2649
55	199	2644
56	202	2640
57	205	2635
58	209	2629
59	213	2631
60	216	2623
61	220	2620
62	223	2612
63	227	2614
64	230	2609
65	234	2606
66	237	2600
67	241	2600
68	245	2595
69	248	2589
70	251	2584
71	255	2581
72	258	2575
73	261	2567
74	265	2566
75	269	2566
76	273	2569
77	278	2576
78	281	2573
79	285	2573
80	289	2570
81	293	2568
82	296	2563
83	300	2562
84	303	2556
85	307	2552
86	310	2548
87	315	2554
88	319	2548
89	322	2543
90	325	2539
91	329	2539
92	333	2533
93	336	2527
94	340	2525
95	344	2523
96	347	2518
97	350	2513
98	354	2508
99	358	2506
100	361	2502
101	364	2494
102	368	2490
103	372	2490
104	376	2489
105	379	2484
106	382	2480
107	386	2477
108	390	2474
109	393	2470
110	397	2467
111	402	2469
112	405	2464
113	408	2459
114	412	2454
115	416	2453
116	419	2447
117	423	2444
118	426	2440
119	431	2442
120	434	2436
121	437	2432
122	441	2428
123	444	2424
124	447	2415
125	450	2411
126	454	2407
127	457	2403
128	461	2399
129	465	2396
130	468	2391
131	471	2386
132	475	2384
133	478	2380
134	482	2376
135	485	2372
136	489	2370
137	493	2365
138	496	2361
139	499	2356
140	502	2348
141	505	2343
142	509	2339
143	512	2335
144	516	2332
145	519	2328
146	523	2324
147	526	2321
148	530	2317
149	534	2318
150	538	2313
151	541	2308
152	544	2303
153	548	2302
154	552	2297
155	555	2293
156	559	2289
157	563	2290
158	566	2285
159	570	2281
160	573	2277
161	577	2274
162	580	2269
163	584	2265
164	587	2262
165	591	2260
166	595	2256
167	598	2251
168	601	2247
169	605	2243
170	608	2238
171	612	2236
172	615	2232
173	620	2230
174	623	2227
175	627	2223
176	630	2219
177	634	2217
178	637	2213
179	641	2208
180	644	2205
181	648	2202
182	651	2197
183	655	2193
184	658	2189
185	662	2185
186	666	2184
187	669	2179
188	673	2175
189	676	2171
190	680	2168
191	683	2165
192	687	2162
193	691	2159
194	695	2157
195	698	2152
196	702	2149
197	705	2145
198	709	2141
199	711	2135
200	715	2131
201	718	2126
202	721	2122
203	724	2118
204	728	2114
205	731	2109
206	735	2107
207	739	2104
208	742	2100
209	746	2096
210	749	2093
211	753	2089
212	756	2086
213	760	2081
214	763	2077
215	767	2073
216	770	2069
217	773	2065
218	776	2060
219	780	2057
220	783	2053
221	787	2050
222	790	2045
223	794	2041
224	797	2038
225	801	2035
226	804	2031
227	808	2028
228	812	2025
229	816	2022
230	819	2019
231	823	2016
232	827	2012
233	830	2008
234	834	2006
235	838	2003
236	841	1999
237	845	1995
238	848	1991
239	852	1988
240	855	1984
241	859	1982
242	863	1978
243	866	1974
244	869	1970
245	873	1966
246	876	1962
247	879	1957
248	882	1953
249	886	1951
250	890	1947
251	893	1944
252	898	1941
253	901	1938
254	905	1934
255	908	1931
256	912	1927
257	916	1924
258	919	1920
259	922	1916
260	927	1914
261	930	1911
262	934	1908
263	938	1905
264	942	1902
265	945	1898
266	948	1894
267	952	1890
268	956	1888
269	959	1884
270	963	1879
271	966	1876
272	970	1872
273	973	1868
274	976	1864
275	980	1860
276	983	1857
277	986	1852
278	991	1850
279	994	1846
280	998	1843
281	1002	1840
282	1005	1836
283	1009	1833
284	1012	1829
285	1016	1826
286	1020	1823
287	1023	1819
288	1026	1815
289	1030	1811
290	1033	1808
291	1037	1804
292	1041	1801
293	1044	1797
294	1048	1794
295	1051	1790
296	1056	1788
297	1059	1785
298	1062	1781
299	1066	1777
300	1070	1774
301	1074	1771
302	1078	1768
303	1082	1765
304	1086	1763
305	1090	1759
306	1093	1756
307	1097	1753
308	1101	1749
309	1104	1746
310	1108	1742
311	1111	1739
312	1115	1736
313	1119	1731
314	1122	1727
315	1125	1723
316	1128	1720
317	1132	1715
318	1135	1711
319	1138	1707
320	1141	1703
321	1146	1701
322	1149	1698
323	1153	1694
324	1156	1690
325	1160	1687
326	1164	1684
327	1168	1681
328	1171	1677
329	1175	1674
330	1179	1670
331	1182	1666
332	1185	1663
333	1189	1659
334	1192	1655
335	1196	1651
336	1199	1647
337	1203	1645
338	1207	1641
339	1210	1637
340	1214	1634
341	1217	1630
342	1221	1626
343	1224	1623
344	1228	1619
345	1231	1616
346	1234	1612
347	1238	1608
348	1241	1604
349	1245	1601
350	1248	1597
351	1252	1593
352	1255	1589
353	1258	1586
354	1262	1582
355	1265	1578
356	1269	1574
357	1272	1570
358	1276	1567
359	1279	1563
360	1282	1559
361	1286	1556
362	1290	1553
363	1293	1549
364	1297	1546
365	1301	1542
366	1304	1539
367	1308	1535
368	1311	1531
369	1314	1527
370	1318	1524
371	1321	1520
372	1325	1517
373	1328	1513
374	1332	1509
375	1336	1506
376	1339	1503
377	1343	1500
378	1348	1497
379	1351	1493
380	1354	1489
381	1357	1485
382	1361	1482
383	1365	1479
384	1369	1476
385	1372	1472
386	1376	1468
387	1380	1465
388	1383	1462
389	1387	1458
390	1390	1454
391	1394	1451
392	1398	1448
393	1402	1444
394	1406	1442
395	1409	1438
396	1413	1434
397	1416	1430
398	1420	1427
399	1423	1423
400	1426	1419
401	1430	1416
402	1433	1412
403	1437	1408
404	1440	1404
405	1443	1401
406	1447	1397
407	1450	1393
408	1454	1390
409	1457	1386
410	1460	1382
411	1464	1379
412	1467	1375
413	1471	1372
414	1475	1368
415	1478	1364
416	1481	1360
417	1485	1357
418	1488	1353
419	1492	1350
420	1495	1346
421	1500	1343
422	1503	1340
423	1507	1336
424	1511	1333
425	1514	1329
426	1517	1325
427	1521	1322
428	1524	1318
429	1528	1315
430	1532	1311
431	1536	1308
432	1539	1304
433	1542	1300
434	1546	1297
435	1549	1293
436	1552	1289
437	1556	1286
438	1559	1282
439	1562	1278
440	1566	1275
441	1570	1271
442	1573	1267
443	1576	1264
444	1580	1260
445	1583	1256
446	1586	1253
447	1590	1249
448	1594	1246
449	1598	1243
450	1602	1240
451	1606	1236
452	1610	1233
453	1613	1229
454	1617	1226
455	1620	1222
456	1623	1218
457	1627	1215
458	1630	1211
459	1634	1207
460	1637	1204
461	1641	1200
462	1644	1196
463	1648	1193
464	1651	1189
465	1654	1186
466	1658	1182
467	1661	1178
468	1664	1174
469	1668	1171
470	1671	1167
471	1674	1163
472	1677	1160
473	1681	1156
474	1684	1152
475	1688	1149
476	1691	1145
477	1695	1142
478	1699	1138
479	1702	1134
480	1705	1131
481	1709	1127
482	1712	1123
483	1715	1120
484	1718	1116
485	1722	1112
486	1725	1109
487	1729	1105
488	1732	1101
489	1735	1098
490	1740	1095
491	1744	1091
492	1747	1088
493	1751	1084
494	1754	1081
495	1758	1077
496	1761	1073
497	1764	1069
498	1767	1066
499	1771	1062
500	1774	1059
501	1777	1055
502	1781	1052
503	1785	1048
504	1788	1044
505	1792	1041
506	1796	1037
507	1799	1034
508	1802	1030
509	1806	1027
510	1809	1023
511	1814	1020
512	1817	1016
513	1820	1013
514	1824	1009
515	1828	1006
516	1831	1002
517	1834	998
518	1838	995
519	1843	992
520	1846	989
521	1850	985
522	1854	981
523	1857	978
524	1860	974
525	1864	971
526	1867	967
527	1871	964
528	1875	960
529	1878	957
530	1881	953
531	1887	950
532	1890	947
533	1893	943
534	1897	939
535	1916	943
536	1919	940
537	1923	936
538	1926	932
539	1930	929
540	1934	925
541	1937	922
542	1940	918
543	1944	915
544	1947	911
545	1951	907
546	1954	904
547	1958	900
548	1961	896
549	1964	892
550	1968	889
551	1971	885
552	1975	882
553	1978	878
554	1981	874
555	1985	871
556	1988	867
557	1991	863
558	1995	860
559	1998	856
560	2002	852
561	2005	849
562	2009	846
563	2013	842
564	2016	838
565	2020	835
566	2023	831
567	2026	827
568	2030	824
569	2034	820
570	2037	817
571	2041	813
572	2044	810
573	2048	806
574	2052	803
575	2055	799
576	2058	795
577	2062	792
578	2065	788
579	2068	784
580	2072	781
581	2076	777
582	2079	774
583	2083	770
584	2086	766
585	2090	763
586	2093	759
587	2097	756
588	2100	752
589	2104	749
590	2108	745
591	2112	742
592	2115	738
593	2119	735
594	2123	731
595	2126	727
596	2129	724
597	2133	720
598	2137	717
599	2141	713
600	2144	710
601	2147	706
602	2152	703
603	2155	699
604	2159	695
605	2162	692
606	2166	688
607	2170	685
608	2173	681
609	2177	678
610	2181	674
611	2184	671
612	2187	667
613	2191	663
614	2195	660
615	2198	656
616	2201	653
617	2205	649
618	2209	646
619	2213	642
620	2217	639
621	2221	635
622	2224	632
623	2228	628
624	2231	624
625	2235	621
626	2238	617
627	2242	614
628	2245	610
629	2249	606
630	2252	603
631	2256	599
632	2259	596
633	2263	592
634	2266	589
635	2270	585
636	2274	581
637	2277	578
638	2281	574
639	2284	571
640	2288	567
641	2291	564
642	2295	560
643	2298	556
644	2302	553
645	2305	549
646	2309	546
647	2314	542
648	2317	539
649	2321	535
650	2325	532
651	2328	528
652	2332	525
653	2336	521
654	2340	518
655	2343	514
656	2347	510
657	2350	507
658	2354	503
659	2357	500
660	2361	496
661	2364	492
662	2368	489
663	2371	485
664	2375	482
665	2379	478
666	2383	475
667	2387	471
668	2391	468
669	2395	464
670	2398	461
671	2402	457
672	2406	454
673	2410	450
674	2413	447
675	2417	443
676	2420	439
677	2424	436
678	2427	432
679	2431	429
680	2435	425
681	2438	421
682	2442	418
683	2445	414
684	2449	411
685	2453	407
686	2457	404
687	2460	400
688	2464	397
689	2468	393
690	2471	389
691	2475	386
692	2478	382
693	2482	379
694	2486	375
695	2489	371
696	2493	368
697	2497	364
698	2500	361
699	2504	357
700	2508	354
701	2512	350
702	2515	347
703	2518	343
704	2522	339
705	2526	336
706	2530	332
707	2533	329
708	2537	325
709	2541	322
710	2545	318
711	2548	315
712	2552	311
713	2556	307
714	2559	304
715	2563	300
716	2566	297
717	2570	293
718	2574	290
719	2577	286
720	2581	282
721	2584	279
722	2588	275
723	2591	272
724	2595	268
725	2598	264
726	2602	261
727	2606	257
728	2610	254
729	2614	250
730	2617	247
731	2621	243
732	2624	239
733	2628	236
734	2631	232
735	2634	229
736	2637	225
737	2641	221
738	2645	218
739	2648	214
740	2652	211
741	2655	207
742	2659	204
743	2663	200
744	2667	196
745	2671	193
746	2675	189
747	2678	186
748	2681	182
749	2685	179
750	2688	175
751	2692	171
752	2695	168
753	2699	164
754	2703	161
755	2706	157
756	2710	153
757	2713	150
758	2717	146
759	2721	143
760	2724	139
761	2727	136
762	2731	132
763	2734	128
764	2738	125
765	2741	121
766	2745	118
767	2748	114
768	2752	110
769	2755	107
770	2759	103
771	2762	100
772	2766	96
773	2769	93
774	2772	89
775	2776	85
776	2779	82
777	2782	78
778	2786	75
779	2790	71
780	2793	67
781	2798	64
782	2802	60
783	2806	57
784	2811	53
785	2814	50
786	2818	46
787	2821	42
788	2825	39
789	2828	35
790	2832	32
791	2835	28
792	2839	25
793	2842	21
794	2846	17
795	2850	14
796	2853	10
797	2856	7
798	2860	3
799	2863	0
