iter	MultiClass
0	2.247981577
1	2.144304968
2	2.0255069
3	1.937663533
4	1.86561017
5	1.782386063
6	1.719891514
7	1.65627189
8	1.597220614
9	1.546337879
10	1.497888914
11	1.456130468
12	1.415927563
13	1.377085935
14	1.33884637
15	1.305223187
16	1.268999916
17	1.23977304
18	1.219256101
19	1.197104828
20	1.167121869
21	1.138105615
22	1.117253704
23	1.100146515
24	1.079646255
25	1.05563716
26	1.032909383
27	1.012849235
28	0.9923648809
29	0.9749420442
30	0.9553495857
31	0.9392891164
32	0.9213576204
33	0.906851684
34	0.8939447652
35	0.878849745
36	0.8670355469
37	0.8550780638
38	0.843803145
39	0.8314025658
40	0.8241133761
41	0.8131321519
42	0.8016119329
43	0.7919851557
44	0.7844648532
45	0.77797461
46	0.7685465803
47	0.7584238914
48	0.7501723678
49	0.7424701862
50	0.7362973174
51	0.7296806125
52	0.7222882483
53	0.7165779788
54	0.7093729956
55	0.7032630937
56	0.6949379514
57	0.6879681013
58	0.6814506063
59	0.6768050042
60	0.672498022
61	0.6670444296
62	0.665359147
63	0.6604245084
64	0.655816119
65	0.6518647473
66	0.6458279327
67	0.6405936959
68	0.6360736329
69	0.6351121624
70	0.6296388232
71	0.6265979785
72	0.6224223629
73	0.6186786832
74	0.6140777226
75	0.6122137895
76	0.6077211345
77	0.604312204
78	0.6024888631
79	0.5996877048
80	0.5958703182
81	0.5923650455
82	0.5890050856
83	0.5863373506
84	0.5832170899
85	0.5807106744
86	0.57788939
87	0.5758418759
88	0.5739527194
89	0.5702900707
90	0.5682684421
91	0.5658902161
92	0.5658638551
93	0.5648868229
94	0.563935121
95	0.5604749068
96	0.5589435275
97	0.5579037861
98	0.5561041258
99	0.5540531393
100	0.5531087169
101	0.5510242905
102	0.5494232875
103	0.5476321903
104	0.5441645934
105	0.5422065625
106	0.539887682
107	0.5385899806
108	0.5365881141
109	0.5336875847
110	0.5318209524
111	0.5297171538
112	0.5271610653
113	0.5256779451
114	0.5243660548
115	0.5227464054
116	0.5213249444
117	0.5199707087
118	0.5186064723
119	0.516787859
120	0.5157065772
121	0.5141988673
122	0.5125140066
123	0.5102589378
124	0.5093446433
125	0.5068625989
126	0.5058772521
127	0.5053555033
128	0.5043667489
129	0.5027556348
130	0.5012757001
131	0.4997425598
132	0.4988918181
133	0.4968034837
134	0.4957836463
135	0.4948159831
136	0.4937064839
137	0.4930291205
138	0.4915470822
139	0.4904339486
140	0.4892828754
141	0.4883016732
142	0.4877025693
143	0.4864388544
144	0.4842413787
145	0.482221744
146	0.4806800174
147	0.4783861832
148	0.4776192307
149	0.4770735094
150	0.475988025
151	0.4748582879
152	0.4744950477
153	0.4729681372
154	0.4723034272
155	0.4709498298
156	0.4699592326
157	0.4687376646
158	0.4683601971
159	0.4673242611
160	0.4668723224
161	0.4656574594
162	0.4652321966
163	0.4641490072
164	0.4629221513
165	0.4621002482
166	0.4614749714
167	0.4609893921
168	0.4605817209
169	0.4601117588
170	0.4593877954
171	0.458485793
172	0.4571772844
173	0.4564241501
174	0.456082442
175	0.4556963773
176	0.4551662966
177	0.4535387692
178	0.4528622558
179	0.4526670666
180	0.4519399867
181	0.4512846331
182	0.4507009402
183	0.4497173565
184	0.4488486129
185	0.4481504342
186	0.4474187659
187	0.4461485673
188	0.4446258289
189	0.4437804589
190	0.4431438967
191	0.4421109841
192	0.4418169317
193	0.4404757916
194	0.4401627514
195	0.4386023905
196	0.4372625614
197	0.4364684572
198	0.4353566779
199	0.4350888832
200	0.4346252327
201	0.4343916645
202	0.4336168131
203	0.4323139994
204	0.4312909736
205	0.4302003572
206	0.429748406
207	0.4288740936
208	0.4282950676
209	0.4271055833
