iter	Passed	Remaining
0	17	10717
1	34	10290
2	51	10237
3	72	10755
4	89	10614
5	99	9832
6	115	9826
7	132	9813
8	150	9870
9	166	9796
10	183	9826
11	201	9876
12	217	9834
13	234	9816
14	251	9797
15	267	9779
16	274	9398
17	291	9418
18	307	9410
19	324	9406
20	341	9408
21	358	9410
22	374	9393
23	391	9390
24	408	9394
25	425	9395
26	442	9389
27	458	9370
28	475	9355
29	491	9342
30	508	9336
31	525	9319
32	541	9310
33	545	9081
34	562	9086
35	573	8978
36	589	8977
37	606	8976
38	624	8980
39	640	8972
40	658	8973
41	675	8980
42	693	8980
43	710	8975
44	726	8966
45	743	8959
46	761	8954
47	777	8944
48	796	8957
49	813	8944
50	829	8931
51	846	8919
52	862	8900
53	871	8816
54	889	8814
55	906	8801
56	922	8788
57	939	8779
58	956	8774
59	975	8777
60	992	8766
61	998	8660
62	1015	8656
63	1033	8652
64	1050	8644
65	1069	8656
66	1089	8670
67	1110	8690
68	1129	8693
69	1152	8728
70	1172	8735
71	1192	8742
72	1213	8759
73	1233	8769
74	1253	8774
75	1273	8777
76	1293	8783
77	1311	8773
78	1328	8759
79	1345	8748
80	1363	8735
81	1380	8720
82	1398	8708
83	1414	8690
84	1431	8673
85	1448	8655
86	1465	8642
87	1483	8630
88	1501	8620
89	1507	8542
90	1524	8529
91	1541	8512
92	1559	8499
93	1576	8488
94	1586	8433
95	1603	8417
96	1620	8401
97	1636	8384
98	1653	8367
99	1670	8351
100	1687	8337
101	1704	8320
102	1721	8305
103	1738	8289
104	1754	8272
105	1771	8257
106	1788	8240
107	1805	8224
108	1822	8209
109	1839	8194
110	1859	8191
111	1875	8173
112	1892	8155
113	1909	8138
114	1912	8066
115	1929	8051
116	1946	8036
117	1964	8023
118	1980	8007
119	1998	7994
120	2015	7979
121	2032	7963
122	2049	7947
123	2066	7931
124	2083	7918
125	2100	7903
126	2118	7888
127	2121	7824
128	2138	7809
129	2155	7792
130	2158	7726
131	2167	7685
132	2185	7672
133	2202	7658
134	2254	7766
135	2273	7757
136	2284	7719
137	2301	7705
138	2318	7689
139	2335	7673
140	2352	7658
141	2369	7642
142	2375	7593
143	2393	7578
144	2410	7562
145	2426	7546
146	2444	7533
147	2454	7496
148	2471	7481
149	2489	7467
150	2506	7452
151	2523	7438
152	2541	7425
153	2551	7390
154	2569	7377
155	2587	7364
156	2605	7350
157	2622	7336
158	2639	7321
159	2657	7307
160	2659	7252
161	2677	7239
162	2695	7225
163	2712	7211
164	2730	7198
165	2747	7183
166	2765	7169
167	2782	7154
168	2800	7142
169	2818	7128
170	2835	7113
171	2853	7100
172	2870	7085
173	2874	7037
174	2892	7023
175	2910	7010
176	2926	6994
177	2944	6980
178	2962	6967
179	2979	6952
180	2997	6937
181	3014	6922
182	3018	6877
183	3037	6866
184	3043	6826
185	3060	6813
186	3078	6798
187	3095	6782
188	3112	6768
189	3129	6752
190	3146	6736
191	3156	6706
192	3173	6691
193	3176	6648
194	3193	6633
195	3210	6617
196	3227	6602
197	3244	6587
198	3265	6579
199	3282	6564
200	3298	6548
201	3315	6531
202	3331	6515
203	3337	6478
204	3354	6463
205	3371	6448
206	3388	6432
207	3405	6417
208	3421	6401
209	3439	6388
210	3457	6374
211	3475	6360
212	3492	6345
213	3510	6331
214	3527	6317
215	3545	6302
216	3563	6288
217	3580	6274
218	3598	6260
219	3616	6246
220	3621	6211
221	3639	6196
222	3656	6182
223	3674	6168
224	3692	6153
225	3702	6126
226	3719	6112
227	3737	6097
228	3754	6082
229	3771	6067
230	3788	6052
231	3791	6014
232	3808	5998
233	3825	5983
234	3842	5968
235	3859	5952
236	3876	5936
237	3893	5921
238	3910	5906
239	3929	5893
240	3946	5878
241	3962	5862
242	3980	5847
243	3997	5832
244	4007	5806
245	4024	5791
246	4041	5776
247	4058	5760
248	4076	5746
249	4093	5731
250	4110	5715
251	4129	5702
252	4146	5686
253	4163	5671
254	4179	5654
255	4196	5639
256	4213	5623
257	4230	5607
258	4247	5591
259	4263	5575
260	4280	5559
261	4297	5543
262	4313	5527
263	4330	5511
264	4347	5495
265	4363	5479
266	4380	5463
267	4398	5448
268	4419	5438
269	4436	5422
270	4454	5407
271	4472	5393
272	4489	5377
273	4506	5362
274	4524	5347
275	4541	5331
276	4559	5316
277	4576	5301
278	4593	5285
279	4612	5270
280	4629	5255
281	4646	5239
282	4663	5223
283	4680	5207
284	4698	5192
285	4715	5177
286	4733	5162
287	4750	5146
288	4768	5131
289	4785	5115
290	4802	5099
291	4819	5083
292	4836	5068
293	4854	5052
294	4871	5037
295	4889	5021
296	4906	5005
297	4923	4989
298	4941	4974
299	4958	4958
300	4976	4943
301	4993	4927
302	5011	4912
303	5030	4897
304	5047	4881
305	5064	4865
306	5081	4850
307	5099	4834
308	5115	4817
309	5133	4802
310	5150	4786
311	5167	4770
312	5185	4754
313	5202	4738
314	5219	4722
315	5236	4706
316	5253	4690
317	5270	4673
318	5287	4657
319	5304	4641
320	5322	4625
321	5339	4609
322	5356	4593
323	5374	4577
324	5391	4561
325	5407	4545
326	5424	4528
327	5442	4513
328	5459	4497
329	5477	4481
330	5495	4465
331	5512	4449
332	5529	4433
333	5546	4417
334	5564	4401
335	5581	4385
336	5598	4369
337	5615	4352
338	5632	4336
339	5648	4319
340	5665	4302
341	5682	4286
342	5698	4269
343	5715	4253
344	5732	4236
345	5749	4220
346	5765	4203
347	5782	4187
348	5799	4170
349	5815	4154
350	5832	4137
351	5849	4121
352	5866	4104
353	5883	4088
354	5899	4071
355	5916	4055
356	5933	4038
357	5949	4021
358	5966	4005
359	5983	3989
360	6000	3972
361	6017	3956
362	6033	3939
363	6050	3922
364	6067	3906
365	6084	3889
366	6101	3873
367	6118	3857
368	6135	3840
369	6152	3824
370	6168	3807
371	6185	3791
372	6203	3775
373	6220	3758
374	6236	3741
375	6252	3725
376	6271	3709
377	6288	3693
378	6310	3679
379	6327	3663
380	6345	3647
381	6363	3631
382	6381	3615
383	6399	3599
384	6416	3583
385	6433	3566
386	6451	3550
387	6468	3534
388	6486	3518
389	6504	3502
390	6521	3486
391	6539	3470
392	6557	3453
393	6575	3437
394	6592	3421
395	6609	3405
396	6627	3388
397	6644	3372
398	6661	3355
399	6679	3339
400	6695	3322
401	6712	3306
402	6728	3289
403	6745	3272
404	6762	3256
405	6779	3239
406	6795	3222
407	6813	3206
408	6830	3189
409	6847	3173
410	6864	3156
411	6880	3139
412	6897	3123
413	6914	3106
414	6931	3089
415	6948	3073
416	6965	3056
417	6982	3040
418	6999	3023
419	7016	3007
420	7033	2990
421	7050	2973
422	7067	2957
423	7085	2941
424	7102	2924
425	7119	2908
426	7136	2891
427	7153	2874
428	7169	2857
429	7186	2841
430	7203	2824
431	7220	2807
432	7237	2791
433	7254	2774
434	7271	2758
435	7288	2741
436	7305	2724
437	7322	2708
438	7338	2691
439	7356	2674
440	7372	2658
441	7389	2641
442	7406	2624
443	7423	2608
444	7440	2591
445	7457	2574
446	7473	2558
447	7490	2541
448	7508	2525
449	7525	2508
450	7542	2491
451	7559	2475
452	7575	2458
453	7592	2441
454	7608	2424
455	7625	2408
456	7642	2391
457	7660	2375
458	7677	2358
459	7694	2341
460	7711	2325
461	7728	2308
462	7745	2291
463	7762	2275
464	7778	2258
465	7795	2241
466	7812	2224
467	7828	2208
468	7845	2191
469	7862	2174
470	7879	2158
471	7896	2141
472	7913	2124
473	7930	2108
474	7947	2091
475	7964	2074
476	7981	2058
477	7998	2041
478	8015	2024
479	8032	2008
480	8048	1991
481	8065	1974
482	8081	1957
483	8097	1940
484	8114	1924
485	8131	1907
486	8148	1890
487	8165	1873
488	8182	1857
489	8199	1840
490	8216	1823
491	8232	1807
492	8250	1790
493	8266	1773
494	8284	1757
495	8300	1740
496	8317	1723
497	8334	1707
498	8350	1690
499	8367	1673
500	8384	1656
501	8401	1640
502	8417	1623
503	8433	1606
504	8450	1589
505	8468	1573
506	8484	1556
507	8501	1539
508	8517	1522
509	8534	1506
510	8551	1489
511	8568	1472
512	8584	1455
513	8601	1439
514	8618	1422
515	8635	1405
516	8652	1389
517	8669	1372
518	8686	1355
519	8703	1339
520	8720	1322
521	8736	1305
522	8753	1288
523	8770	1272
524	8787	1255
525	8803	1238
526	8820	1221
527	8837	1205
528	8854	1188
529	8870	1171
530	8887	1154
531	8904	1138
532	8921	1121
533	8938	1104
534	8955	1087
535	8971	1071
536	8988	1054
537	9004	1037
538	9021	1020
539	9038	1004
540	9055	987
541	9072	970
542	9088	954
543	9105	937
544	9122	920
545	9138	903
546	9155	887
547	9172	870
548	9189	853
549	9206	836
550	9223	820
551	9239	803
552	9256	786
553	9272	769
554	9289	753
555	9307	736
556	9325	719
557	9342	703
558	9359	686
559	9376	669
560	9393	653
561	9410	636
562	9426	619
563	9443	602
564	9460	586
565	9477	569
566	9493	552
567	9510	535
568	9527	519
569	9543	502
570	9560	485
571	9577	468
572	9594	452
573	9610	435
574	9627	418
575	9644	401
576	9661	385
577	9678	368
578	9695	351
579	9712	334
580	9728	318
581	9746	301
582	9764	284
583	9780	267
584	9798	251
585	9815	234
586	9831	217
587	9847	200
588	9864	184
589	9881	167
590	9898	150
591	9915	133
592	9932	117
593	9949	100
594	9965	83
595	9982	66
596	9999	50
597	10015	33
