iter	Passed	Remaining
0	51	51029
1	71	35782
2	109	36225
3	151	37657
4	160	31888
5	202	33526
6	242	34387
7	280	34721
8	319	35192
9	360	35687
10	397	35711
11	404	33279
12	441	33537
13	446	31439
14	486	31925
15	524	32238
16	561	32450
17	598	32659
18	637	32925
19	676	33132
20	713	33253
21	755	33594
22	767	32587
23	804	32721
24	827	32253
25	873	32737
26	913	32917
27	938	32564
28	977	32745
29	1030	33309
30	1086	33957
31	1133	34279
32	1143	33514
33	1196	33989
34	1236	34089
35	1273	34111
36	1310	34118
37	1347	34118
38	1387	34191
39	1424	34183
40	1461	34190
41	1500	34218
42	1537	34220
43	1549	33664
44	1588	33710
45	1630	33821
46	1642	33294
47	1652	32775
48	1690	32812
49	1726	32795
50	1766	32877
51	1802	32860
52	1839	32873
53	1850	32413
54	1886	32416
55	1925	32452
56	1960	32437
57	1971	32015
58	2008	32031
59	2040	31975
60	2047	31518
61	2083	31524
62	2089	31079
63	2124	31077
64	2135	30714
65	2171	30723
66	2190	30507
67	2228	30540
68	2264	30549
69	2299	30556
70	2338	30597
71	2374	30601
72	2410	30610
73	2446	30617
74	2467	30437
75	2511	30537
76	2549	30555
77	2583	30544
78	2621	30556
79	2656	30554
80	2692	30552
81	2728	30540
82	2730	30167
83	2767	30178
84	2804	30193
85	2840	30190
86	2876	30189
87	2886	29919
88	2926	29955
89	2961	29947
90	2980	29777
91	3017	29783
92	3054	29789
93	3090	29791
94	3127	29793
95	3163	29788
96	3200	29793
97	3236	29791
98	3247	29556
99	3284	29558
100	3321	29563
101	3358	29568
102	3397	29584
103	3436	29605
104	3473	29603
105	3508	29591
106	3514	29332
107	3520	29074
108	3557	29076
109	3595	29088
110	3632	29092
111	3668	29084
112	3704	29082
113	3743	29095
114	3778	29081
115	3798	28946
116	3837	28959
117	3877	28985
118	3925	29059
119	3946	28940
120	3950	28695
121	4001	28796
122	4005	28561
123	4043	28564
124	4080	28564
125	4118	28565
126	4155	28563
127	4191	28551
128	4226	28539
129	4263	28531
130	4304	28551
131	4346	28581
132	4394	28643
133	4397	28419
134	4441	28455
135	4484	28489
136	4524	28501
137	4530	28301
138	4568	28300
139	4605	28289
140	4615	28119
141	4651	28105
142	4687	28093
143	4693	27899
144	4730	27894
145	4735	27700
146	4773	27698
147	4810	27691
148	4851	27708
149	4887	27698
150	4890	27496
151	4929	27503
152	4966	27492
153	5002	27479
154	5045	27506
155	5082	27497
156	5118	27483
157	5155	27475
158	5192	27464
159	5228	27450
160	5265	27439
161	5302	27427
162	5339	27420
163	5344	27243
164	5379	27223
165	5415	27208
166	5453	27202
167	5460	27042
168	5496	27026
169	5573	27210
170	5583	27069
171	5633	27118
172	5670	27108
173	5709	27102
174	5712	26932
175	5748	26913
176	5785	26898
177	5838	26962
178	5875	26950
179	5914	26942
180	5949	26922
181	5953	26757
182	5990	26743
183	6025	26721
184	6061	26704
185	6097	26683
186	6099	26518
187	6135	26500
188	6138	26341
189	6174	26324
190	6211	26310
191	6247	26289
192	6257	26164
193	6296	26158
194	6306	26035
195	6344	26024
196	6379	26005
197	6390	25883
198	6425	25863
199	6445	25781
200	6483	25770
201	6519	25755
202	6525	25621
203	6562	25605
204	6600	25597
205	6637	25582
206	6640	25438
207	6651	25325
208	6690	25319
209	6726	25303
210	6764	25294
