iter	MultiClass
0	2.352480431
1	2.314269551
2	2.277068639
3	2.245597644
4	2.20180228
5	2.162553865
6	2.133657918
7	2.110231328
8	2.083757826
9	2.047699736
10	2.020156134
11	1.998422629
12	1.972692133
13	1.948036395
14	1.923654197
15	1.90169915
16	1.878855453
17	1.858520778
18	1.826037526
19	1.808183442
20	1.785206314
21	1.768532627
22	1.754301179
23	1.735504754
24	1.717547252
25	1.701507404
26	1.6831913
27	1.663926146
28	1.644749125
29	1.621677467
30	1.594430085
31	1.58178536
32	1.563624023
33	1.542664553
34	1.527984659
35	1.516336446
36	1.504973403
37	1.490609003
38	1.477729815
39	1.468835228
40	1.45417753
41	1.43998988
42	1.425946869
43	1.415623377
44	1.392329487
45	1.375847955
46	1.366020791
47	1.355908613
48	1.349550399
49	1.335496721
50	1.3229108
51	1.312692588
52	1.302991536
53	1.291260967
54	1.284446725
55	1.272648573
56	1.262579771
57	1.256874424
58	1.249080413
59	1.23312598
60	1.222382832
61	1.213111821
62	1.20312558
63	1.197872148
64	1.19124572
65	1.184831163
66	1.176868479
67	1.164474585
68	1.157868232
69	1.14842382
70	1.141588877
71	1.134897013
72	1.128162867
73	1.122898674
74	1.117031397
75	1.106917839
76	1.09904498
77	1.091386013
78	1.085552927
79	1.077577762
80	1.071922345
81	1.06623901
82	1.059727851
83	1.054383723
84	1.050468164
85	1.046170074
86	1.042497169
87	1.037514789
88	1.033361298
89	1.026578613
90	1.020753547
91	1.013592703
92	1.009279946
93	1.005864053
94	0.9990571171
95	0.9920398188
96	0.9876433695
97	0.9811097156
98	0.978374133
99	0.9754238976
100	0.9719285086
101	0.9666579287
102	0.9615891136
103	0.9566310162
104	0.9526429298
105	0.9484391639
106	0.941822706
107	0.9389068332
108	0.9337753062
109	0.929462642
110	0.9239033232
111	0.9200366273
112	0.9138634215
113	0.9088083984
114	0.9057635983
115	0.9008817451
116	0.8962088685
117	0.8921212662
118	0.890226322
119	0.8884529258
120	0.8857329199
121	0.8826960067
122	0.8780591008
123	0.8749326123
124	0.8715819909
125	0.8691096629
126	0.8670641696
127	0.8639018094
128	0.86209925
129	0.8606025496
130	0.8578194982
131	0.8555856511
132	0.8524849941
133	0.8492246804
134	0.8447691756
135	0.8429658393
136	0.8401100816
137	0.8364717675
138	0.8343514284
139	0.8308033958
140	0.8275849811
141	0.8245479607
142	0.8232418458
143	0.8208165281
144	0.8178626688
145	0.8152184263
