iter	Passed	Remaining
0	22	17732
1	43	17338
2	65	17301
3	86	17212
4	108	17314
5	131	17399
6	138	15730
7	161	15990
8	184	16181
9	207	16353
10	214	15350
11	235	15483
12	259	15719
13	282	15868
14	303	15907
15	328	16117
16	343	15840
17	364	15842
18	385	15853
19	408	15913
20	428	15877
21	452	16016
22	475	16058
23	497	16075
24	522	16202
25	548	16322
26	570	16322
27	595	16414
28	615	16364
29	641	16456
30	662	16433
31	666	15985
32	685	15943
33	711	16036
34	731	15983
35	750	15936
36	774	15978
37	795	15952
38	814	15901
39	836	15892
40	861	15940
41	883	15943
42	903	15899
43	927	15928
44	946	15879
45	971	15925
46	988	15834
47	1014	15897
48	1017	15596
49	1041	15616
50	1066	15663
51	1090	15682
52	1115	15728
53	1141	15772
54	1145	15515
55	1165	15483
56	1185	15458
57	1215	15549
58	1240	15579
59	1264	15601
60	1290	15637
61	1317	15679
62	1338	15660
63	1359	15634
64	1379	15599
65	1403	15604
66	1424	15580
67	1436	15466
68	1460	15476
69	1483	15471
70	1504	15449
71	1524	15410
72	1546	15399
73	1572	15428
74	1594	15409
75	1617	15409
76	1639	15398
77	1661	15380
78	1688	15413
79	1710	15395
80	1732	15380
81	1753	15351
82	1773	15318
83	1793	15289
84	1814	15266
85	1839	15271
86	1861	15257
87	1881	15222
88	1904	15214
89	1927	15205
90	1930	15037
91	1949	15003
92	1970	14982
93	1991	14954
94	2019	14989
95	2034	14916
96	2059	14929
97	2083	14921
98	2103	14896
99	2124	14870
100	2150	14882
101	2177	14902
102	2191	14826
103	2216	14831
104	2242	14844
105	2266	14838
106	2291	14838
107	2314	14830
108	2338	14823
109	2361	14815
110	2386	14811
111	2412	14821
112	2436	14815
113	2462	14820
114	2466	14691
115	2487	14665
116	2512	14669
117	2536	14662
118	2563	14671
119	2589	14674
120	2601	14601
121	2610	14506
122	2632	14490
123	2653	14468
124	2657	14349
125	2682	14351
126	2717	14399
127	2741	14392
128	2755	14332
129	2778	14318
130	2802	14311
131	2830	14322
132	2835	14217
133	2847	14150
134	2873	14154
135	2905	14186
136	2927	14168
137	2950	14154
138	2963	14093
139	2990	14097
140	3016	14096
141	3039	14085
142	3059	14055
143	3088	14068
144	3097	13991
145	3118	13971
146	3141	13956
147	3163	13937
148	3168	13842
149	3190	13826
150	3214	13818
151	3237	13803
152	3262	13796
153	3278	13754
154	3303	13744
155	3307	13654
156	3330	13640
157	3355	13632
158	3360	13545
159	3386	13544
160	3408	13527
161	3432	13517
162	3458	13514
163	3462	13427
164	3487	13420
165	3502	13378
166	3527	13369
167	3551	13359
168	3575	13350
169	3598	13336
170	3624	13333
171	3649	13323
172	3672	13309
173	3696	13297
174	3720	13285
175	3742	13270
176	3765	13253
177	3769	13172
178	3792	13155
179	3816	13145
180	3841	13136
181	3867	13132
182	3895	13134
183	3904	13069
184	3928	13058
185	3953	13050
186	3959	12978
187	3985	12974
188	4010	12964
189	4030	12941
190	4050	12915
191	4054	12840
192	4058	12765
193	4079	12742
194	4099	12719
195	4115	12681
196	4141	12676
197	4146	12606
198	4168	12590
199	4190	12570
200	4215	12562
201	4239	12549
202	4263	12538
203	4288	12528
204	4308	12504
205	4331	12490
206	4355	12478
207	4364	12423
208	4390	12414
209	4411	12393
210	4437	12387
211	4457	12363
212	4478	12342
213	4503	12332
214	4529	12323
215	4537	12266
216	4550	12224
217	4571	12203
218	4593	12186
219	4618	12175
220	4638	12153
221	4647	12099
222	4654	12043
223	4678	12029
224	4703	12019
225	4719	11986
226	4745	11979
227	4772	11973
228	4796	11959
229	4820	11945
230	4842	11928
231	4865	11913
232	4892	11905
233	4901	11855
234	4924	11839
235	4950	11830
236	4974	11817
237	4998	11802
238	5020	11784
239	5043	11768
240	5065	11749
241	5078	11710
242	5098	11687
243	5121	11669
244	5144	11653
245	5166	11635
246	5191	11621
247	5212	11602
248	5238	11591
249	5250	11550
250	5277	11542
251	5301	11529
252	5336	11537
253	5356	11515
254	5368	11473
255	5399	11474
256	5429	11471
257	5458	11466
258	5464	11413
259	5487	11397
260	5508	11375
261	5536	11369
262	5558	11348
263	5580	11330
264	5603	11313
265	5667	11378
266	5705	11389
267	5727	11369
268	5749	11349
269	5774	11334
270	5796	11315
271	5818	11295
272	5838	11271
273	5868	11266
274	5891	11247
275	5914	11228
276	5937	11211
277	5963	11198
278	5987	11181
279	6016	11174
280	6042	11160
281	6065	11142
282	6090	11126
283	6113	11107
284	6135	11086
285	6146	11046
286	6181	11048
287	6203	11028
288	6224	11005
289	6246	10984
290	6270	10968
291	6295	10952
292	6320	10936
293	6342	10916
294	6368	10901
295	6391	10882
296	6414	10863
297	6439	10848
298	6464	10831
299	6488	10814
300	6513	10798
301	6539	10784
302	6562	10764
303	6587	10747
304	6610	10729
305	6633	10709
306	6658	10692
307	6682	10674
308	6712	10666
309	6732	10642
310	6752	10617
311	6779	10603
312	6809	10594
313	6832	10574
314	6857	10559
315	6879	10537
316	6901	10515
317	6926	10498
318	6950	10480
319	6977	10466
320	7005	10454
321	7028	10433
322	7053	10416
323	7077	10398
324	7102	10380
325	7125	10359
326	7151	10344
327	7174	10323
328	7199	10306
329	7222	10286
330	7245	10266
331	7273	10253
332	7297	10233
333	7317	10208
334	7342	10191
335	7362	10167
336	7383	10143
337	7407	10124
338	7428	10101
339	7448	10077
340	7472	10058
341	7493	10035
342	7514	10011
343	7533	9986
344	7551	9959
345	7569	9932
346	7589	9907
347	7609	9883
348	7630	9861
349	7651	9837
350	7671	9813
351	7692	9791
352	7713	9767
353	7737	9748
354	7757	9724
355	7780	9703
356	7806	9686
357	7825	9662
358	7846	9638
359	7870	9619
360	7908	9616
361	7945	9614
362	7975	9601
363	8016	9601
364	8046	9589
365	8078	9578
366	8112	9571
367	8145	9561
368	8175	9549
369	8208	9539
370	8231	9518
371	8251	9494
372	8273	9471
373	8296	9450
374	8317	9426
375	8338	9402
376	8357	9377
377	8385	9361
378	8407	9339
379	8430	9318
380	8451	9294
381	8478	9277
382	8500	9255
383	8524	9234
384	8543	9209
385	8569	9191
386	8596	9173
387	8616	9149
388	8641	9130
389	8662	9106
390	8686	9086
391	8708	9063
392	8733	9045
393	8755	9021
394	8777	9000
395	8800	8977
396	8823	8956
397	8843	8932
398	8866	8911
399	8892	8892
400	8912	8867
401	8935	8846
402	8958	8825
403	8978	8800
404	8999	8777
405	9026	8759
406	9047	8736
407	9068	8712
408	9094	8693
409	9114	8669
410	9136	8647
411	9158	8625
412	9180	8602
413	9205	8583
414	9228	8561
415	9255	8543
416	9277	8521
417	9305	8504
418	9326	8480
419	9347	8457
420	9367	8432
421	9387	8408
422	9408	8385
423	9429	8362
424	9462	8349
425	9484	8326
426	9504	8302
427	9526	8280
428	9552	8261
429	9571	8236
430	9591	8212
431	9616	8191
432	9636	8167
433	9657	8144
434	9678	8121
435	9701	8099
436	9728	8081
437	9757	8064
438	9777	8040
439	9810	8027
440	9834	8006
441	9858	7985
442	9879	7961
443	9900	7938
444	9921	7914
445	9942	7891
446	9963	7868
447	9988	7848
448	10011	7826
449	10031	7802
450	10055	7781
451	10075	7756
452	10096	7733
453	10119	7712
454	10140	7688
455	10164	7667
456	10188	7646
457	10211	7625
458	10233	7602
459	10254	7579
460	10278	7558
461	10301	7536
462	10324	7515
463	10347	7493
464	10368	7469
465	10387	7445
466	10409	7422
467	10430	7399
468	10456	7380
469	10477	7356
470	10499	7333
471	10520	7310
472	10540	7287
473	10563	7265
474	10583	7241
475	10605	7218
476	10627	7196
477	10653	7176
478	10673	7153
479	10700	7133
480	10722	7111
481	10744	7088
482	10768	7067
483	10789	7044
484	10809	7020
485	10832	6998
486	10853	6975
487	10929	6987
488	10950	6964
489	10972	6941
490	10994	6918
491	11016	6896
492	11040	6875
493	11064	6853
494	11083	6829
495	11104	6806
496	11127	6783
497	11151	6762
498	11175	6741
499	11195	6717
500	11216	6693
501	11235	6669
502	11256	6646
503	11279	6624
504	11304	6603
505	11330	6583
506	11350	6559
507	11371	6536
508	11391	6512
509	11413	6489
510	11435	6467
511	11458	6445
512	11482	6424
513	11504	6401
514	11529	6380
515	11551	6357
516	11578	6338
517	11605	6317
518	11624	6293
519	11645	6270
520	11666	6247
521	11690	6225
522	11712	6203
523	11736	6181
524	11756	6158
525	11776	6134
526	11801	6113
527	11821	6089
528	11845	6068
529	11868	6046
530	11888	6022
531	11909	5999
532	11929	5975
533	11948	5951
534	11968	5928
535	11989	5905
536	12013	5883
537	12038	5862
538	12057	5838
539	12080	5816
540	12108	5797
541	12131	5774
542	12155	5753
543	12176	5729
544	12200	5708
545	12221	5685
546	12243	5662
547	12264	5639
548	12288	5618
549	12315	5597
550	12338	5575
551	12359	5552
552	12379	5529
553	12400	5506
554	12421	5483
555	12450	5463
556	12472	5441
557	12496	5419
558	12517	5396
559	12537	5373
560	12558	5350
561	12583	5329
562	12604	5305
563	12630	5285
564	12650	5261
565	12669	5238
566	12690	5215
567	12715	5193
568	12740	5172
569	12764	5150
570	12785	5127
571	12809	5106
572	12829	5082
573	12856	5061
574	12877	5038
575	12896	5015
576	12916	4992
577	12937	4969
578	12960	4946
579	12982	4924
580	13004	4901
581	13034	4882
582	13057	4860
583	13082	4838
584	13105	4816
585	13127	4793
586	13149	4771
587	13172	4749
588	13193	4726
589	13214	4703
590	13239	4681
591	13260	4659
592	13281	4636
593	13300	4612
594	13324	4590
595	13344	4567
596	13367	4545
597	13391	4523
598	13413	4501
599	13436	4478
600	13456	4455
601	13483	4434
602	13503	4411
603	13523	4388
604	13545	4365
605	13566	4343
606	13591	4321
607	13610	4298
608	13631	4275
609	13652	4252
610	13673	4229
611	13694	4206
612	13716	4184
613	13735	4160
614	13756	4138
615	13776	4115
616	13796	4092
617	13821	4070
618	13844	4048
619	13865	4025
620	13886	4002
621	13908	3980
622	13929	3957
623	13951	3935
624	13978	3914
625	14000	3891
626	14024	3869
627	14046	3847
628	14067	3824
629	14091	3802
630	14115	3780
631	14134	3757
632	14157	3735
633	14181	3713
634	14201	3690
635	14224	3668
636	14248	3645
637	14268	3623
638	14288	3600
639	14309	3577
640	14331	3554
641	14355	3533
642	14378	3510
643	14400	3488
644	14424	3466
645	14444	3443
646	14468	3421
647	14488	3398
648	14512	3376
649	14532	3353
650	14553	3330
