iter	MultiClass
0	2.343788556
1	2.284810337
2	2.250221563
3	2.201925389
4	2.161672574
5	2.116777672
6	2.082914055
7	2.044637445
8	1.996420944
9	1.95670748
10	1.914666115
11	1.88173798
12	1.850429247
13	1.822260845
14	1.810819203
15	1.781159884
16	1.758311917
17	1.742542807
18	1.727916372
19	1.710549653
20	1.692578199
21	1.668627051
22	1.655111514
23	1.632636222
24	1.609745732
25	1.593053109
26	1.577873343
27	1.554932506
28	1.539683381
29	1.514204585
30	1.500907032
31	1.48566531
32	1.470739554
33	1.457047155
34	1.441525682
35	1.43051353
36	1.418057157
37	1.406970663
38	1.396599105
39	1.380618919
40	1.369650834
41	1.356093302
42	1.345338749
43	1.336482203
44	1.32962075
45	1.321419232
46	1.31161051
47	1.302721065
48	1.296075324
49	1.287823983
50	1.276343178
51	1.26432227
52	1.251779737
53	1.243848306
54	1.230619903
55	1.223932818
56	1.215556324
57	1.2077367
58	1.199596073
59	1.192021145
60	1.183684468
61	1.174712728
62	1.164860762
63	1.159049953
64	1.152792714
65	1.144755348
66	1.139770208
67	1.134527924
68	1.130342326
69	1.124092389
70	1.116782208
71	1.112109871
72	1.108696833
73	1.103659757
74	1.097250887
75	1.090456665
76	1.083926063
77	1.077742358
78	1.07078167
79	1.064544271
80	1.060907173
81	1.054689912
82	1.044596964
83	1.036927148
84	1.032988521
85	1.028484317
86	1.019273723
87	1.012711077
88	1.007629697
89	1.003523811
90	1.00013479
91	0.9967042511
92	0.9964587947
93	0.9948184211
94	0.989266921
95	0.987107311
96	0.9812022428
97	0.9788331203
98	0.9748445474
99	0.9711143924
100	0.9649327883
101	0.9613728794
102	0.9570112869
103	0.9502703316
104	0.9462482804
105	0.9433566681
106	0.9411768089
107	0.9391164835
108	0.9363730931
109	0.9350403025
110	0.9302217155
111	0.9265401597
112	0.9218098276
113	0.9168592942
114	0.9123036859
115	0.9090894066
116	0.9056601095
117	0.9017098814
118	0.8998391345
119	0.8958419295
120	0.8944692301
121	0.8919637161
122	0.8874843129
123	0.8839151282
124	0.8816716429
125	0.8790427749
126	0.8763690117
127	0.8741204629
128	0.8717139311
129	0.870506539
130	0.8674560077
131	0.8656627033
132	0.8645672476
133	0.8630639084
134	0.8587150918
135	0.8581473655
136	0.8567702279
137	0.856139238
138	0.8534817446
139	0.8499992199
140	0.8488892754
141	0.8459160238
142	0.843448813
143	0.8429636905
144	0.8420156417
145	0.8418103144
146	0.8388903737
147	0.8361563512
148	0.835324307
149	0.8331191211
150	0.8318261085
151	0.829735898
152	0.8260390906
153	0.8214998954
154	0.8200478775
155	0.8182009833
156	0.8156428967
157	0.8123369054
158	0.8106541957
159	0.8097741158
160	0.8059651745
161	0.8038032839
162	0.8017286998
163	0.8009464301
164	0.7992057239
165	0.7974383219
166	0.7960042748
167	0.7950499657
168	0.7941561852
169	0.7926273205
170	0.7918306524
171	0.789094549
172	0.7878674778
173	0.785459362
174	0.7842111622
175	0.7819919067
176	0.7807380157
177	0.7778948291
178	0.7747171761
179	0.7736032455
180	0.7719794979
181	0.7692134226
182	0.7689231742
183	0.7670188212
184	0.7642880531
185	0.7633394368
186	0.7624622146
187	0.7612702018
188	0.7598255876
189	0.7583688265
190	0.7565441783
191	0.7547885935
192	0.7525022382
193	0.751294247
194	0.7483076135
195	0.7468814974
196	0.7458113142
197	0.7451294363
198	0.7435979691
199	0.7435623828
200	0.7413193769
201	0.7383610461
202	0.7357583561
203	0.7336476664
204	0.7312545196
205	0.7297483151
206	0.72745753
207	0.7262440304
208	0.7249101423
209	0.7235829959
210	0.7217552505
211	0.7200063925
212	0.7190594029
213	0.7163907726
214	0.7152619665
215	0.7139698641
216	0.7127980488
217	0.7112734785
