iter	Passed	Remaining
0	4	2527
1	8	2420
2	11	2317
3	15	2280
4	19	2266
5	22	2231
6	26	2281
7	30	2276
8	34	2276
9	38	2267
10	42	2283
11	46	2277
12	50	2264
13	53	2251
14	55	2180
15	59	2185
16	63	2181
17	67	2169
18	70	2170
19	74	2168
20	78	2162
21	82	2165
22	86	2163
23	90	2161
24	93	2161
25	98	2164
26	101	2162
27	105	2159
28	109	2154
29	113	2152
30	116	2144
31	120	2141
32	124	2139
33	128	2142
34	133	2149
35	136	2143
36	140	2138
37	144	2139
38	148	2130
39	151	2120
40	154	2111
41	158	2106
42	162	2108
43	166	2098
44	169	2090
45	174	2101
46	178	2098
47	182	2094
48	186	2098
49	190	2097
50	195	2100
51	199	2098
52	202	2092
53	206	2089
54	210	2085
55	214	2084
56	218	2082
57	222	2077
58	226	2074
59	230	2071
60	234	2069
61	238	2065
62	241	2059
63	245	2053
64	248	2047
65	252	2043
66	256	2039
67	260	2034
68	264	2032
69	268	2029
70	271	2026
71	275	2021
72	279	2019
73	283	2013
74	287	2010
75	291	2007
76	295	2004
77	298	1999
78	303	2000
79	306	1994
80	311	1993
81	314	1989
82	319	1987
83	323	1985
84	327	1982
85	331	1980
86	335	1975
87	339	1972
88	342	1968
89	346	1966
90	351	1963
91	355	1961
92	357	1947
93	361	1946
94	365	1941
95	369	1938
96	373	1934
97	376	1930
98	380	1927
99	384	1924
100	388	1920
101	392	1914
102	396	1913
103	400	1911
104	405	1913
105	409	1908
106	413	1907
107	418	1904
108	421	1900
109	425	1897
110	429	1893
111	433	1889
112	437	1884
113	441	1881
114	445	1878
115	449	1874
116	453	1871
117	457	1868
118	461	1867
119	465	1862
120	469	1857
121	473	1855
122	477	1851
123	481	1847
124	484	1842
125	488	1837
126	492	1835
127	496	1830
128	500	1826
129	504	1822
130	508	1820
131	512	1816
132	516	1812
133	520	1809
134	524	1807
135	528	1803
136	533	1801
137	537	1797
138	541	1794
139	545	1791
140	549	1787
141	553	1784
142	557	1780
143	561	1777
144	565	1774
145	569	1770
146	573	1766
147	576	1761
148	580	1757
149	584	1753
150	588	1750
151	592	1747
152	596	1742
153	600	1739
154	604	1735
155	609	1734
156	612	1729
157	616	1724
158	620	1720
159	623	1715
160	627	1710
161	631	1706
162	634	1701
163	638	1698
164	642	1692
165	645	1687
166	649	1683
167	653	1679
168	656	1674
169	660	1670
170	665	1668
171	669	1665
172	673	1661
173	677	1657
174	681	1653
175	685	1650
176	688	1646
177	692	1642
178	697	1640
179	701	1636
180	705	1633
181	710	1630
182	713	1626
183	717	1622
184	721	1619
185	726	1616
186	730	1612
187	734	1608
188	737	1604
189	741	1600
190	745	1597
191	749	1593
192	753	1589
193	757	1585
194	761	1581
195	765	1577
196	769	1573
197	771	1565
198	775	1562
199	777	1554
200	781	1550
201	785	1546
202	789	1543
203	793	1539
204	796	1535
205	800	1530
206	803	1526
207	807	1522
208	811	1518
209	815	1514
210	819	1510
211	824	1508
212	828	1504
213	832	1501
214	836	1497
215	839	1493
216	843	1489
217	847	1485
218	851	1481
219	855	1477
220	858	1472
221	862	1468
222	865	1464
223	867	1456
224	871	1453
225	875	1449
226	879	1444
227	883	1440
228	886	1436
229	890	1431
230	893	1427
231	896	1422
232	900	1418
233	904	1414
234	907	1409
235	910	1405
236	914	1400
237	918	1396
238	922	1392
239	925	1388
240	930	1386
241	934	1382
242	937	1377
243	941	1372
244	944	1369
245	948	1364
246	952	1360
247	955	1356
248	959	1352
249	963	1348
250	966	1343
251	969	1339
252	973	1335
253	977	1330
254	980	1326
255	983	1322
256	987	1317
257	990	1313
258	994	1309
259	998	1305
260	1001	1301
261	1007	1299
262	1010	1295
263	1014	1291
264	1019	1288
265	1024	1286
266	1030	1285
267	1035	1282
268	1038	1278
269	1042	1274
270	1046	1271
271	1050	1267
272	1055	1264
273	1058	1259
274	1065	1258
275	1073	1259
276	1079	1258
277	1085	1257
278	1090	1254
279	1097	1253
280	1101	1250
281	1107	1248
282	1111	1245
283	1115	1241
284	1121	1239
285	1126	1236
286	1131	1234
287	1136	1231
288	1140	1227
289	1144	1223
290	1149	1220
291	1153	1216
292	1157	1212
293	1164	1211
294	1172	1212
295	1178	1209
296	1183	1207
297	1188	1204
298	1194	1202
299	1199	1199
300	1205	1197
301	1211	1195
302	1216	1192
303	1221	1188
304	1226	1186
305	1233	1185
306	1239	1183
307	1243	1179
308	1248	1175
309	1252	1171
310	1256	1167
311	1260	1163
312	1264	1159
313	1268	1155
314	1272	1150
315	1275	1146
316	1279	1142
317	1283	1138
318	1287	1134
319	1291	1130
320	1295	1125
321	1298	1121
322	1302	1116
323	1305	1112
324	1309	1107
325	1312	1103
326	1316	1098
327	1319	1094
328	1323	1090
329	1327	1086
330	1331	1081
331	1334	1077
332	1338	1073
333	1342	1069
334	1346	1064
335	1349	1060
336	1353	1056
337	1357	1052
338	1360	1047
339	1364	1043
340	1368	1039
341	1373	1035
342	1376	1031
343	1380	1027
344	1384	1023
345	1388	1019
346	1392	1015
347	1395	1010
348	1399	1006
349	1402	1001
350	1405	996
351	1408	992
352	1412	988
353	1416	984
354	1419	979
355	1423	975
356	1427	971
357	1431	967
358	1435	963
359	1438	959
360	1442	955
361	1446	951
362	1450	946
363	1454	942
364	1458	938
365	1462	935
366	1466	931
367	1470	926
368	1474	922
369	1477	918
370	1481	914
371	1486	910
372	1489	906
373	1493	902
374	1497	898
375	1501	894
376	1505	890
377	1509	886
378	1512	882
379	1516	878
380	1520	873
381	1524	869
382	1528	865
383	1532	861
384	1536	858
385	1540	854
386	1543	849
387	1547	845
388	1551	841
389	1554	836
390	1557	832
391	1561	828
392	1566	824
393	1569	820
394	1574	816
395	1577	812
396	1582	808
397	1585	804
398	1589	800
399	1592	796
400	1596	792
401	1600	788
402	1606	785
403	1610	781
404	1613	776
405	1617	772
406	1621	768
407	1625	764
408	1629	760
409	1633	757
410	1638	753
411	1642	749
412	1646	745
413	1650	741
414	1654	737
415	1657	733
416	1661	729
417	1665	725
418	1669	721
419	1673	717
420	1678	713
421	1682	709
422	1686	705
423	1689	701
424	1693	697
425	1697	693
426	1700	689
427	1704	685
428	1708	680
429	1712	676
430	1716	672
431	1719	668
432	1723	664
433	1726	660
434	1730	656
435	1733	651
436	1737	647
437	1741	643
438	1744	639
439	1748	635
440	1753	632
441	1757	628
442	1761	624
443	1765	620
444	1769	616
445	1772	612
446	1776	608
447	1780	603
448	1784	599
449	1787	595
450	1791	591
451	1795	587
452	1800	584
453	1803	580
454	1807	576
455	1810	571
456	1814	567
457	1818	563
458	1822	559
459	1826	555
460	1829	551
461	1833	547
462	1837	543
463	1842	539
464	1845	535
465	1849	531
466	1854	528
467	1858	524
468	1861	520
469	1865	516
470	1868	511
471	1872	507
472	1875	503
473	1879	499
474	1884	495
475	1888	491
476	1892	487
477	1897	484
478	1900	480
479	1905	476
480	1908	472
481	1913	468
482	1917	464
483	1920	460
484	1924	456
485	1928	452
486	1932	448
487	1935	444
488	1939	440
489	1943	436
490	1947	432
491	1950	428
492	1955	424
493	1959	420
494	1963	416
495	1966	412
496	1970	408
497	1974	404
498	1978	400
499	1982	396
500	1986	392
501	1989	388
502	1993	384
503	1996	380
504	2000	376
505	2004	372
506	2008	368
507	2012	364
508	2016	360
509	2020	356
510	2025	352
511	2029	348
512	2033	344
513	2038	341
514	2042	337
515	2046	333
516	2049	329
517	2054	325
518	2058	321
519	2062	317
520	2067	313
521	2070	309
522	2073	305
523	2078	301
524	2082	297
525	2085	293
526	2089	289
527	2093	285
528	2097	281
529	2101	277
530	2105	273
531	2109	269
532	2112	265
533	2116	261
534	2120	257
535	2124	253
536	2128	249
537	2132	245
538	2137	241
539	2141	237
540	2145	233
541	2149	229
