iter	MultiClass
0	2.273820574
1	2.179861007
2	2.044457737
3	1.979554669
4	1.903863242
5	1.83388345
6	1.775526407
7	1.720545297
8	1.673231691
9	1.619937462
10	1.556083045
11	1.50923635
12	1.473806035
13	1.433844627
14	1.396280778
15	1.350627793
16	1.323157857
17	1.285404281
18	1.252144954
19	1.221689616
20	1.192634333
21	1.168292679
22	1.143629865
23	1.120034659
24	1.098061076
25	1.077737217
26	1.062048251
27	1.050371788
28	1.037052606
29	1.020918324
30	1.002350114
31	0.9815750783
32	0.9654707436
33	0.9547847549
34	0.9377432635
35	0.9265195873
36	0.9131591512
37	0.8999124181
38	0.8892228178
39	0.8809420475
40	0.8709762678
41	0.8599632129
42	0.8495843479
43	0.8430210718
44	0.8360403874
45	0.825160737
46	0.8158130736
47	0.805509814
48	0.7957718576
49	0.7868475223
50	0.7794869663
51	0.7697192654
52	0.7600193924
53	0.7520943436
54	0.745102991
55	0.7385321947
56	0.7304926669
57	0.722648899
58	0.7148270092
59	0.7091075313
60	0.7034537849
61	0.7025108424
62	0.6972956309
63	0.6911391862
64	0.6872392725
65	0.6841483639
66	0.6783446726
67	0.6745291765
68	0.6705626902
69	0.6693806207
70	0.6652121229
71	0.6622008549
72	0.6557647414
73	0.6520597354
74	0.6490422063
75	0.6450866903
76	0.6421054096
77	0.6387719726
78	0.6357880587
79	0.6343490771
80	0.6298954867
81	0.6255662993
82	0.6237608408
83	0.6207433429
84	0.6182949151
85	0.6149056735
86	0.6113442667
87	0.606549673
88	0.6031409408
89	0.6015617572
90	0.5976812576
91	0.5958635453
92	0.593558955
93	0.5909258951
94	0.5895143503
95	0.5862610077
96	0.5822471071
97	0.5800333927
98	0.5784313527
99	0.5761521783
100	0.5754410976
101	0.5746276452
102	0.5731960727
103	0.5700418
104	0.5685350081
105	0.5662612486
106	0.5637238978
107	0.5613431641
108	0.5596431686
109	0.5575360962
110	0.5549649756
111	0.554138131
112	0.5525726613
113	0.5508266793
114	0.5494743697
