iter	Passed	Remaining
0	10	10981
1	21	10535
2	30	10157
3	40	10034
4	50	10018
5	60	9952
6	69	9857
7	79	9832
8	89	9827
9	98	9739
10	108	9750
11	117	9712
12	127	9665
13	136	9630
14	146	9611
15	156	9611
16	161	9363
17	171	9366
18	181	9388
19	190	9350
20	200	9358
21	210	9351
22	219	9336
23	229	9339
24	239	9345
25	249	9338
26	258	9316
27	267	9296
28	271	9080
29	280	9077
30	290	9079
31	300	9086
32	309	9074
33	318	9062
34	328	9060
35	337	9047
36	347	9045
37	357	9044
38	366	9028
39	375	9011
40	384	8991
41	393	8985
42	403	8987
43	412	8971
44	418	8876
45	427	8859
46	437	8870
47	447	8881
48	456	8868
49	466	8861
50	476	8865
51	485	8859
52	495	8848
53	505	8849
54	514	8838
55	524	8839
56	533	8834
57	543	8831
58	553	8830
59	563	8821
60	568	8747
61	570	8631
62	580	8640
63	590	8641
64	600	8640
65	610	8633
66	619	8632
67	630	8646
68	640	8642
69	649	8633
70	659	8626
71	669	8622
72	678	8616
73	688	8612
74	697	8603
75	707	8597
76	717	8601
77	726	8593
78	736	8581
79	738	8494
80	748	8488
81	758	8487
82	768	8489
83	777	8479
84	786	8469
85	796	8465
86	806	8461
87	815	8454
88	825	8453
89	831	8411
90	841	8410
91	851	8402
92	860	8395
93	870	8387
94	880	8386
95	890	8381
96	900	8384
97	910	8384
98	919	8372
99	931	8380
100	941	8379
101	950	8370
102	960	8363
103	970	8360
104	972	8290
105	982	8283
106	991	8275
107	1001	8267
108	1004	8207
109	1014	8205
110	1024	8201
111	1031	8180
112	1041	8176
113	1050	8166
114	1060	8158
115	1068	8145
116	1079	8144
117	1089	8145
118	1099	8137
119	1108	8129
120	1118	8121
121	1128	8121
122	1138	8116
123	1148	8110
124	1157	8102
125	1167	8100
126	1179	8109
127	1189	8102
128	1198	8092
129	1208	8090
130	1218	8079
131	1227	8070
132	1236	8061
133	1247	8059
134	1256	8050
135	1258	7997
136	1268	7989
137	1277	7982
138	1287	7974
139	1297	7967
140	1305	7955
141	1315	7948
142	1325	7946
143	1336	7944
144	1346	7942
145	1356	7932
146	1365	7924
147	1375	7920
148	1385	7912
149	1394	7902
150	1404	7895
151	1413	7887
152	1423	7878
153	1433	7875
154	1436	7833
155	1446	7826
156	1456	7820
157	1467	7817
158	1476	7810
159	1485	7800
160	1495	7793
161	1505	7785
162	1514	7778
163	1524	7771
164	1534	7764
165	1543	7755
166	1553	7749
167	1563	7741
168	1572	7732
169	1582	7727
170	1592	7718
171	1602	7713
172	1611	7704
173	1621	7696
174	1631	7689
175	1640	7680
176	1649	7671
177	1659	7663
178	1669	7657
179	1678	7648
180	1690	7649
181	1699	7640
182	1709	7631
183	1720	7628
184	1730	7624
185	1740	7617
186	1749	7606
187	1759	7598
188	1768	7589
189	1778	7583
190	1788	7574
191	1797	7565
