iter	MultiClass
0	2.283955208
1	2.183871208
2	2.111700301
3	2.028484698
4	1.950059362
5	1.867232613
6	1.805603101
7	1.746531606
8	1.69583865
9	1.655327917
10	1.612524614
11	1.565322718
12	1.532281643
13	1.496489926
14	1.460036193
15	1.434153237
16	1.404953537
17	1.378971576
18	1.346555331
19	1.318954011
20	1.287708583
21	1.258232235
22	1.23583834
23	1.218885394
24	1.19906821
25	1.183362709
26	1.165411981
27	1.148753741
28	1.131877592
29	1.115332535
30	1.099319997
31	1.087172066
32	1.076329252
33	1.066488928
34	1.054325952
35	1.037826743
36	1.027047245
37	1.014741067
38	1.004873007
39	0.9929801674
40	0.9869685049
41	0.9769182609
42	0.9682719553
43	0.9608611396
44	0.9558547552
45	0.948799839
46	0.9402567737
47	0.9312047536
48	0.9231735512
49	0.917037741
50	0.9117537607
51	0.9048253034
52	0.8992003886
53	0.896317268
54	0.8879787063
55	0.8837480095
56	0.8761314441
57	0.8672092576
58	0.8616431683
59	0.8562903013
60	0.8500944781
61	0.847511517
62	0.8410531752
63	0.8374259598
64	0.8337837357
65	0.8301734909
66	0.825946367
67	0.8209719892
68	0.8160292588
69	0.8122971549
70	0.8088649887
71	0.8046286499
72	0.8014716192
73	0.7970508394
74	0.7954477495
75	0.7934399855
76	0.7883865888
77	0.7855220423
78	0.7826944142
79	0.7811551686
80	0.7769654678
81	0.7752128362
82	0.7739580399
83	0.7733724653
84	0.7697649864
85	0.7674866658
86	0.7631121073
87	0.7605393649
88	0.7577917271
89	0.7552807638
90	0.7519548634
91	0.7501047407
92	0.7500666008
93	0.7488262556
94	0.7478911308
95	0.7456776679
96	0.743971023
97	0.7426918167
98	0.740561057
99	0.7390639112
100	0.7385126435
101	0.7365914107
102	0.7352692763
103	0.7344828886
104	0.731796756
105	0.7292177543
106	0.7265991144
107	0.7241819019
108	0.7221389746
109	0.7194675504
110	0.7163179584
111	0.7131520708
112	0.7105877572
113	0.7094134697
114	0.707437905
115	0.7054664873
116	0.7026203639
117	0.700722052
118	0.6986536496
119	0.6967982689
120	0.6944849533
121	0.6927118897
122	0.6910292204
123	0.6900115323
124	0.6877764219
125	0.6844745071
126	0.6830567483
127	0.681433852
128	0.6791587451
129	0.6779875359
130	0.6766861017
131	0.6745246639
132	0.673584994
133	0.671803918
134	0.6699506598
135	0.6678372102
136	0.6660734924
137	0.6652676266
138	0.6640328088
139	0.6626576614
140	0.6620110634
141	0.6605588575
142	0.6598771266
143	0.6581276805
144	0.6558595577
145	0.6544648513
146	0.652948721
147	0.6508503287
148	0.6498419553
149	0.6491251332
150	0.6481301147
151	0.6473590514
152	0.6468276725
153	0.6449563975
154	0.6444672161
155	0.643527227
156	0.6422567992
157	0.6408625243
158	0.6400428512
159	0.6385270557
160	0.637569281
161	0.6349027971
162	0.6340212523
163	0.6334384227
164	0.6319464941
165	0.6303262933
166	0.6287705589
167	0.6262808265
168	0.6251946801
169	0.6240976693
170	0.6230249539
171	0.6225455155
172	0.6216583486
173	0.6210254276
174	0.6200538438
175	0.6193698409
176	0.6175405836
177	0.6158964963
178	0.6148390048
179	0.61401812
180	0.6131165188
181	0.612095433
182	0.6106081205
183	0.6092877569
184	0.6084151225
185	0.6072917647
186	0.6065359903
187	0.6056373536
188	0.6040184157
189	0.6032125799
190	0.6023060593
191	0.60140264
192	0.6007909165
193	0.5999958417
194	0.5991787782
195	0.5973539207
196	0.5965299316
197	0.5951359913
198	0.5935635314
199	0.5930382884
200	0.5925050209
201	0.5921724588
202	0.5913646958
203	0.5905636446
204	0.5897581984
205	0.5891392319
206	0.5877602368
207	0.5863094827
208	0.5855649647
209	0.5850596224
210	0.5843359924
211	0.5839142558
212	0.5832726382
213	0.5828702101
214	0.5822075704
215	0.5811553821
216	0.5806761004
217	0.5800533924
218	0.5797416305
219	0.5787147322
220	0.5782765449
221	0.5776796675
222	0.5772254484
223	0.5762086462
224	0.5754341905
225	0.5743337993
226	0.5728845467
227	0.5722050853
228	0.5716875118
229	0.5705867071
230	0.5700063928
231	0.5692125217
232	0.5685655344
233	0.5681394517
234	0.5675966025
235	0.5669920764
236	0.5663906983
237	0.5660033222
238	0.5647824131
239	0.5642978512
240	0.5640521394
241	0.5633881954
242	0.5627432499
243	0.5619688076
244	0.561379829
245	0.5607537336
246	0.56036516
247	0.5591639725
248	0.557633989
249	0.5571780524
250	0.5563288136
251	0.5548774051
252	0.554470143
253	0.5540244105
254	0.5535779241
255	0.5527669819
256	0.5523324712
257	0.5513795207
258	0.5507929291
259	0.5498795289
260	0.5486954045
261	0.5479966921
262	0.5474836547
263	0.5470752776
264	0.5463202603
265	0.5452152317
266	0.5447002106
267	0.5439134743
268	0.5434943319
269	0.5428771025
270	0.5424382138
271	0.5418878222
272	0.5410100519
273	0.5402238356
274	0.5397823058
275	0.5384566486
276	0.5376405361
277	0.536838959
278	0.5357760932
279	0.5351896978
280	0.5348304862
281	0.5344244591
282	0.5339355462
283	0.5335922302
284	0.5333567715
285	0.5329697528
286	0.5326394658
287	0.5323792971
288	0.5320756956
289	0.5312943191
290	0.5310916348
291	0.5303899491
292	0.5298174538
293	0.5292536291
294	0.5290365936
295	0.528342713
296	0.5280804028
297	0.5272722601
298	0.5263778821
299	0.5256498365
300	0.5247031366
301	0.5243423969
302	0.5236058922
303	0.5226456623
304	0.5222930679
305	0.521743278
306	0.5212599661
307	0.5209602076
308	0.5205340553
309	0.5196802025
310	0.5193327785
311	0.518368587
312	0.5179154457
313	0.5176098386
314	0.5172808443
315	0.5170958716
316	0.5165308122
317	0.5162017375
318	0.5159306498
319	0.5155542026
320	0.5149252301
321	0.5140677111
322	0.5138181801
323	0.5131593604
324	0.5127821648
325	0.5119987055
326	0.5114403725
327	0.5105928766
328	0.510155653
329	0.5097876269
330	0.5095690244
331	0.5088314561
332	0.5084816244
333	0.5080153248
334	0.5077839787
335	0.507087144
336	0.5068024869
337	0.5064960354
338	0.5063089702
339	0.5060452497
340	0.5053540148
341	0.5048326034
342	0.5044387448
343	0.5041439799
344	0.503341867
345	0.502776572
346	0.5021409331
347	0.5016650985
348	0.5013312829
349	0.5011800541
350	0.5007490911
351	0.5003820947
352	0.4997394176
353	0.4993161639
354	0.4990983212
355	0.4988253084
356	0.497807064
357	0.4972183071
358	0.4967222121
359	0.496514096
360	0.4961502281
361	0.4959017743
362	0.4955203148
363	0.4951329106
364	0.4947395169
365	0.4945936652
366	0.4942485151
367	0.4939396465
368	0.4936535824
369	0.4929367932
370	0.492780782
371	0.4926099125
372	0.4924254688
373	0.491604375
374	0.490648683
375	0.4904257673
376	0.4902812248
377	0.4895225257
378	0.4893570165
379	0.4890568092
380	0.4887102048
381	0.4882843436
382	0.4877471923
383	0.4870042245
384	0.4864545366
385	0.4862505661
386	0.4856482744
387	0.4849573888
388	0.4847480614
389	0.4842169231
390	0.4833549656
391	0.4827369273
392	0.4824362364
393	0.4820739958
394	0.4819074488
395	0.4814046059
396	0.4807633811
397	0.480572537
398	0.480409734
399	0.4801782498
400	0.4799715753
401	0.4798704434
402	0.4796664008
403	0.4791543514
404	0.4786260042
405	0.4776131662
406	0.4772185
407	0.4770711063
408	0.4768211446
409	0.4766598033
410	0.4763643356
411	0.4761706754
412	0.4758713461
413	0.4752862985
414	0.4750135922
415	0.4748106837
416	0.4740323803
417	0.4733802929
418	0.4730751121
419	0.4727235757
420	0.4724293116
421	0.4720393914
422	0.4715442568
423	0.4709109411
424	0.4703819974
425	0.4698957756
426	0.4694057874
427	0.4690073867
428	0.4686959478
429	0.4684535481
430	0.4680021621
431	0.4675407805
432	0.4673641234
433	0.4669865163
434	0.4666246114
435	0.4664568626
436	0.4662206879
437	0.4659518275
438	0.4657478574
439	0.4650467291
440	0.4642313561
441	0.4640243922
442	0.4634968111
443	0.4631303967
444	0.4626000683
445	0.4621956271
446	0.4619216625
447	0.4614953492
448	0.4610881795
449	0.4603453883
450	0.4598490441
451	0.4595107538
452	0.459236289
453	0.4589007186
454	0.4586975465
455	0.4584287277
456	0.4578321525
457	0.4572555798
458	0.4567374816
459	0.4562729531
460	0.4558584182
461	0.4553836002
462	0.4550755867
463	0.4548490682
464	0.4544895982
465	0.453922069
466	0.4536692989
467	0.4535389654
468	0.4531502884
469	0.4529067439
470	0.4527379237
471	0.4525536596
472	0.4522453817
473	0.4520840552
474	0.4518312058
475	0.451461164
476	0.4513369246
477	0.4510554875
478	0.4507028471
479	0.4501679253
480	0.4498423162
481	0.4495020898
482	0.4492685551
483	0.4491020951
484	0.448926385
485	0.4487797159
486	0.44845938
487	0.4481849264
488	0.4479967477
489	0.4477209772
490	0.4475406722
491	0.447050156
492	0.446846703
493	0.4466152944
494	0.4464082743
495	0.4461692371
496	0.445674822
497	0.4455283948
498	0.4452905133
499	0.4449370439
500	0.4446292915
501	0.4442208851
502	0.4439441011
503	0.4434545427
504	0.4433265071
505	0.4431429232
506	0.4429442701
507	0.4427593167
508	0.4424402197
509	0.442163175
510	0.4419594322
511	0.4417361193
512	0.4415218089
513	0.441110519
514	0.4409008114
515	0.4407160867
516	0.4402067204
517	0.4401158621
518	0.4399625043
519	0.4396354524
520	0.4393686502
521	0.439128359
522	0.4388362131
523	0.4382696549
524	0.4379973604
525	0.437849717
526	0.4375538249
527	0.4374405084
528	0.437187735
529	0.4367874883
530	0.4364999179
531	0.4363395681
532	0.4361106153
533	0.4358001954
534	0.4355316902
535	0.4354270854
536	0.435234725
537	0.4350752488
538	0.4347829624
539	0.4345217985
540	0.4342138668
541	0.4339353113
542	0.4335815742
543	0.4334137976
544	0.4331167577
545	0.4328437565
546	0.4327023949
547	0.432531326
548	0.4321405868
549	0.4319417292
550	0.4317988092
551	0.4314753339
552	0.4310137728
553	0.4306821812
554	0.4304998862
555	0.430408294
556	0.4302432833
557	0.4300311343
558	0.4298099832
559	0.4294543661
560	0.4289764735
561	0.4287257869
562	0.4284058905
563	0.4282458548
564	0.4277834733
565	0.4274369867
566	0.4271187012
567	0.4270180762
568	0.4264346389
569	0.4262364802
570	0.4261255072
571	0.4258886208
572	0.4257764196
573	0.4253994181
574	0.4250607896
575	0.4249067334
576	0.4246722741
577	0.4243574871
578	0.4241943901
579	0.4240672016
580	0.4239495861
581	0.4236923539
582	0.4235909793
583	0.423151495
584	0.4229167304
585	0.4226723629
586	0.4225334986
587	0.4223097026
588	0.4221810749
589	0.4221362273
590	0.4217119925
591	0.421564275
592	0.4213503025
593	0.4211248054
594	0.4209413548
595	0.4208253838
596	0.4206744622
597	0.419969978
598	0.4197893021
599	0.4195613371
600	0.4192858384
601	0.4190672774
602	0.4188458663
603	0.4186715481
604	0.4183488509
605	0.4182501993
606	0.418008028
607	0.4178266584
608	0.4175389938
609	0.4173857768
610	0.4172748158
611	0.4169663188
612	0.4167603289
613	0.4166627198
614	0.4165519952
615	0.4164590008
616	0.4163948943
617	0.4162371307
618	0.416163522
619	0.4160295779
620	0.4156794439
621	0.4153615597
622	0.4152024458
623	0.4150582295
624	0.4149005646
625	0.4147788875
626	0.4146272943
627	0.4143263626
628	0.4141597535
629	0.413957838
630	0.4137421262
631	0.4135841637
632	0.4134253872
633	0.4132910784
634	0.4129199493
635	0.4127186232
636	0.4125787629
637	0.4124558795
638	0.4121531062
639	0.4119768888
640	0.4116227464
641	0.411427293
642	0.4112483989
643	0.4110495992
644	0.4109247904
645	0.4105139402
646	0.4101988144
647	0.4099419622
648	0.4097786059
649	0.4093753172
650	0.4091880136
651	0.4090102351
