iter	Passed	Remaining
0	149	149315
1	159	79724
2	162	53977
3	173	43103
4	184	36673
5	195	32317
6	207	29436
7	217	26985
8	227	25079
9	238	23564
10	248	22348
11	258	21272
12	264	20063
13	274	19318
14	283	18645
15	294	18132
16	304	17632
17	314	17179
18	324	16748
19	335	16418
20	345	16105
21	355	15787
22	360	15333
23	370	15067
24	380	14846
25	391	14653
26	401	14459
27	411	14284
28	421	14128
29	432	13981
30	442	13845
31	454	13741
32	460	13484
33	469	13350
34	479	13232
35	489	13104
36	499	13001
37	509	12896
38	518	12782
39	529	12710
40	539	12621
41	549	12534
42	560	12465
43	570	12389
44	580	12318
45	589	12231
46	599	12154
47	609	12088
48	619	12017
49	628	11946
50	638	11884
51	648	11817
52	658	11757
53	661	11592
54	671	11538
55	681	11481
56	690	11425
57	700	11383
58	710	11335
59	720	11290
60	730	11245
61	740	11198
62	749	11152
63	759	11107
64	769	11075
65	779	11032
66	789	10995
67	799	10955
68	809	10917
69	819	10886
70	829	10851
71	839	10814
72	849	10781
73	858	10741
74	867	10701
75	873	10620
76	883	10592
77	893	10565
78	903	10532
79	913	10505
80	923	10480
81	934	10457
82	943	10425
83	947	10329
84	956	10299
85	966	10270
86	976	10244
87	985	10217
88	995	10190
89	1004	10160
90	1014	10132
91	1023	10103
92	1025	10005
93	1029	9923
94	1039	9899
95	1048	9875
96	1057	9845
97	1067	9827
98	1078	9815
99	1091	9826
100	1102	9810
101	1113	9801
102	1123	9784
103	1135	9785
104	1146	9769
105	1162	9803
106	1177	9828
107	1189	9825
108	1201	9817
109	1212	9812
110	1223	9802
111	1236	9801
112	1246	9780
113	1258	9780
114	1271	9787
115	1283	9781
116	1294	9768
117	1307	9769
118	1316	9749
119	1327	9733
120	1336	9710
121	1346	9690
122	1357	9676
123	1367	9660
124	1376	9638
125	1386	9615
126	1396	9596
127	1405	9572
128	1414	9552
129	1424	9533
130	1433	9512
131	1443	9492
132	1452	9471
133	1463	9456
134	1473	9440
135	1482	9418
136	1491	9397
137	1501	9379
138	1511	9362
139	1521	9347
140	1531	9327
141	1540	9309
142	1551	9295
143	1561	9279
144	1570	9262
145	1581	9250
146	1591	9232
147	1600	9214
148	1610	9200
149	1621	9187
150	1631	9170
151	1641	9155
152	1650	9139
153	1660	9120
154	1670	9104
155	1679	9086
156	1689	9071
157	1699	9056
158	1709	9041
159	1719	9025
160	1728	9008
161	1738	8991
162	1748	8976
163	1758	8963
164	1768	8947
165	1777	8930
166	1787	8914
167	1796	8898
168	1806	8884
169	1816	8868
170	1826	8854
171	1830	8809
172	1839	8794
173	1849	8780
174	1859	8766
175	1869	8751
176	1879	8740
177	1889	8724
178	1898	8709
179	1908	8695
180	1918	8682
181	1928	8667
182	1938	8654
183	1949	8645
184	1958	8630
185	1968	8616
186	1978	8603
187	1988	8590
188	1999	8578
189	2009	8566
190	2019	8552
191	2028	8538
192	2039	8525
193	2048	8511
194	2058	8498
195	2069	8487
196	2078	8473
197	2088	8457
198	2097	8444
199	2108	8432
200	2118	8419
201	2128	8408
202	2138	8394
203	2148	8382
204	2159	8372
205	2169	8362
206	2179	8349
207	2189	8336
208	2199	8323
209	2209	8313
210	2220	8302
211	2229	8288
212	2239	8275
213	2250	8264
214	2260	8254
215	2271	8243
216	2281	8232
217	2291	8221
218	2302	8209
219	2312	8199
220	2323	8189
221	2333	8176
222	2342	8162
223	2352	8150
224	2362	8137
225	2372	8124
226	2382	8112
227	2391	8098
228	2401	8084
229	2411	8072
230	2420	8059
231	2430	8045
232	2440	8032
233	2449	8017
234	2459	8005
235	2469	7994
236	2478	7980
237	2488	7968
238	2498	7956
239	2509	7945
240	2518	7932
241	2528	7919
242	2538	7908
243	2549	7898
244	2559	7886
245	2568	7872
246	2577	7859
247	2587	7846
248	2596	7832
249	2606	7820
250	2615	7805
251	2625	7793
252	2635	7781
253	2644	7767
254	2654	7755
255	2664	7743
256	2674	7731
257	2684	7721
258	2694	7710
259	2704	7697
260	2714	7684
261	2724	7673
262	2734	7662
263	2744	7650
264	2754	7639
265	2763	7626
266	2773	7613
267	2783	7601
268	2792	7589
269	2803	7579
270	2813	7567
271	2822	7554
272	2832	7542
273	2842	7530
274	2851	7517
275	2861	7506
276	2871	7495
277	2881	7483
278	2891	7471
279	2900	7458
280	2910	7446
281	2920	7435
282	2930	7424
283	2940	7412
284	2950	7402
285	2960	7391
286	2970	7379
287	2980	7368
288	2990	7357
289	3000	7345
290	3009	7332
291	3018	7319
292	3028	7307
293	3039	7298
294	3049	7286
295	3059	7275
296	3068	7263
297	3077	7250
298	3087	7238
299	3097	7227
300	3107	7216
301	3117	7205
302	3127	7195
303	3137	7182
304	3146	7170
305	3156	7159
306	3166	7147
307	3176	7135
308	3185	7124
309	3195	7112
310	3205	7101
311	3215	7090
312	3224	7077
313	3234	7066
314	3244	7055
315	3253	7043
316	3263	7031
317	3273	7020
318	3283	7010
319	3293	6998
320	3303	6987
321	3312	6974
322	3323	6965
323	3332	6953
324	3341	6941
325	3352	6930
326	3361	6918
327	3371	6907
328	3381	6896
329	3391	6885
330	3401	6873
331	3412	6865
332	3422	6854
333	3431	6842
334	3441	6831
335	3452	6822
336	3462	6811
337	3472	6800
338	3481	6789
339	3493	6781
340	3503	6770
341	3513	6759
342	3523	6748
343	3533	6738
344	3543	6727
345	3553	6716
346	3563	6706
347	3574	6696
348	3584	6685
349	3593	6673
350	3603	6662
351	3613	6651
352	3622	6640
353	3633	6629
354	3642	6618
355	3653	6608
356	3663	6598
357	3673	6587
358	3683	6576
359	3693	6566
360	3703	6555
361	3713	6545
362	3724	6536
363	3734	6525
364	3743	6513
365	3753	6502
366	3763	6491
367	3773	6480
368	3784	6470
369	3793	6459
370	3803	6448
371	3814	6439
372	3824	6429
373	3834	6418
374	3845	6408
375	3855	6398
376	3865	6387
377	3876	6378
378	3886	6368
