iter	MultiClass
0	2.267909703
1	2.149050887
2	2.078002765
3	1.991995927
4	1.913194968
5	1.835153805
6	1.771172008
7	1.717445749
8	1.665198623
9	1.619424668
10	1.577202453
11	1.523445915
12	1.486351806
13	1.445283977
14	1.408103072
15	1.380084445
16	1.348984373
17	1.318951017
18	1.29366944
19	1.265480256
20	1.235712369
21	1.213851762
22	1.194407876
23	1.177623711
24	1.157467495
25	1.139510995
26	1.119803525
27	1.102222896
28	1.086225848
29	1.074196474
30	1.059300767
31	1.04740129
32	1.02938088
33	1.018747568
34	1.006516157
35	0.9903643242
36	0.9806404083
37	0.9686917939
38	0.9612083288
39	0.9510097638
40	0.94102213
41	0.9299434374
42	0.9204951737
43	0.9108510209
44	0.9024197401
45	0.8967424579
46	0.8900410992
47	0.8819967191
48	0.8785814414
49	0.8704900396
50	0.8620005568
51	0.8566244072
52	0.8466246066
53	0.8424854418
54	0.8391977967
55	0.8358030825
56	0.8286913358
57	0.8218528681
58	0.8140839059
59	0.8086797772
60	0.8032371138
61	0.80207223
62	0.7977954981
63	0.791918353
64	0.7870964739
65	0.7822532479
66	0.7779207543
67	0.7723653686
68	0.7696695151
69	0.7681370159
70	0.7647242971
71	0.76020251
72	0.7574306052
73	0.7536280571
74	0.7514690376
75	0.7476884493
76	0.7442884252
77	0.7406536163
78	0.7378612582
79	0.7360775598
80	0.732328441
81	0.7265986621
82	0.7232591483
83	0.7217048808
84	0.7186553814
85	0.7166320813
86	0.713625119
87	0.7118876797
88	0.708785385
89	0.7062542495
90	0.7033332241
91	0.7009472394
92	0.7008785038
93	0.6983896073
94	0.6959795308
95	0.6930326261
96	0.6908182725
97	0.687268407
98	0.6853026938
99	0.6828930322
100	0.6809034114
101	0.6800654982
102	0.6783745982
103	0.6765270637
104	0.6742089809
105	0.6733597453
106	0.6715061409
107	0.6692475687
108	0.6676735142
109	0.6644378359
110	0.6631798303
111	0.6617250785
112	0.6597702945
113	0.6584272576
114	0.6569418189
115	0.6546096827
116	0.652964597
117	0.6513913171
118	0.6504330034
119	0.6483465396
120	0.6462628668
121	0.6447992034
122	0.6430989524
123	0.6405329734
124	0.6391883194
125	0.6379460496
126	0.6368952113
127	0.6350864071
128	0.6340648332
129	0.6317098241
130	0.6307163739
131	0.630089658
132	0.627687604
133	0.6257034754
134	0.6256558848
135	0.6245590317
136	0.6230965825
137	0.6219853415
138	0.6208837838
139	0.6201492572
140	0.6189384182
141	0.617895051
142	0.617110577
143	0.614938809
144	0.613878961
145	0.6127518455
146	0.6119041873
147	0.6108597118
148	0.6082027867
149	0.6069226713
150	0.6061043546
151	0.6044233783
152	0.6036561371
153	0.6026614924
154	0.602282616
155	0.6010534487
156	0.5999332678
157	0.5978657785
158	0.5967798464
159	0.5950908578
160	0.5928916883
161	0.5920832302
162	0.5912364767
163	0.5898168906
