iter	Passed	Remaining
0	140	140594
1	150	75287
2	153	50932
3	163	40724
4	173	34571
5	185	30730
6	196	27838
7	207	25691
8	217	23898
9	226	22471
10	237	21391
11	248	20484
12	254	19356
13	264	18598
14	274	18011
15	284	17511
16	295	17063
17	305	16645
18	317	16371
19	328	16079
20	338	15788
21	349	15516
22	355	15096
23	365	14879
24	376	14678
25	386	14485
26	397	14322
27	407	14159
28	418	13997
29	428	13850
30	439	13733
31	450	13618
32	460	13492
33	470	13381
34	482	13291
35	493	13201
36	503	13096
37	513	13009
38	524	12933
39	535	12850
40	545	12758
41	555	12676
42	566	12614
43	577	12537
44	587	12474
45	597	12392
46	607	12311
47	617	12240
48	627	12170
49	637	12107
50	647	12042
51	657	11979
52	667	11921
53	677	11869
54	688	11833
55	698	11781
56	708	11716
57	718	11662
58	728	11616
59	770	12073
60	780	12013
61	783	11851
62	793	11798
63	803	11751
64	813	11698
65	822	11644
66	833	11603
67	843	11564
68	853	11521
69	860	11434
70	870	11392
71	880	11352
72	886	11261
73	896	11219
74	907	11193
75	917	11150
76	926	11109
77	936	11075
78	947	11041
79	957	11011
80	967	10973
81	976	10933
82	987	10908
83	997	10882
84	1007	10847
85	1017	10816
86	1027	10781
87	1036	10744
88	1047	10720
89	1057	10694
90	1067	10659
91	1076	10627
92	1079	10523
93	1089	10496
94	1101	10493
95	1114	10494
96	1124	10467
97	1135	10447
98	1146	10431
99	1164	10481
100	1183	10533
101	1200	10570
102	1213	10565
103	1227	10578
104	1240	10569
105	1254	10576
106	1265	10562
107	1277	10552
108	1290	10547
109	1303	10543
110	1315	10533
111	1327	10523
112	1338	10505
113	1348	10481
114	1358	10453
115	1368	10425
116	1377	10398
117	1388	10375
118	1397	10346
119	1407	10319
120	1416	10291
121	1426	10267
122	1436	10239
123	1445	10211
124	1454	10184
125	1465	10168
126	1475	10143
127	1484	10115
128	1494	10088
129	1503	10065
130	1513	10038
131	1522	10012
132	1531	9985
133	1541	9959
134	1543	9889
135	1554	9875
136	1564	9854
137	1573	9831
138	1583	9807
139	1594	9796
140	1604	9775
141	1615	9762
142	1617	9696
143	1627	9675
144	1637	9654
145	1646	9632
146	1658	9623
147	1668	9606
148	1677	9581
149	1686	9559
150	1696	9539
151	1706	9520
152	1716	9501
153	1726	9483
154	1735	9459
155	1745	9441
156	1754	9421
157	1764	9403
158	1774	9384
159	1784	9366
160	1793	9346
161	1804	9332
162	1812	9309
163	1822	9291
164	1832	9272
165	1841	9254
166	1852	9242
167	1862	9224
168	1871	9202
169	1882	9190
170	1891	9171
171	1900	9150
172	1910	9132
173	1919	9112
174	1928	9091
175	1939	9079
176	1949	9062
177	1958	9043
178	1967	9026
179	1978	9011
180	1988	8998
181	1997	8979
182	2007	8960
183	2016	8944
184	2026	8928
185	2036	8911
186	2046	8895
187	2056	8881
188	2065	8863
189	2075	8848
190	2085	8834
191	2095	8819
192	2104	8801
193	2114	8785
194	2123	8766
195	2133	8752
196	2144	8741
197	2154	8726
198	2163	8709
199	2172	8691
200	2181	8672
201	2191	8656
202	2201	8642
203	2210	8624
204	2219	8608
205	2229	8591
206	2238	8575
207	2248	8560
208	2257	8543
209	2267	8530
210	2277	8517
211	2287	8502
212	2297	8488
213	2307	8476
214	2317	8460
215	2327	8446
216	2336	8430
217	2345	8415
218	2355	8401
219	2364	8384
220	2373	8367
221	2383	8352
222	2393	8338
223	2402	8323
224	2413	8312
225	2422	8296
226	2432	8282
227	2441	8266
228	2451	8252
229	2461	8241
230	2471	8228
231	2481	8213
232	2490	8199
233	2501	8187
234	2511	8174
235	2522	8165
236	2532	8152
237	2542	8138
238	2553	8131
239	2563	8119
240	2573	8103
241	2582	8087
242	2591	8072
243	2601	8059
244	2611	8047
245	2621	8034
246	2631	8021
247	2641	8009
248	2650	7995
249	2660	7981
250	2669	7966
251	2678	7950
252	2689	7939
253	2699	7928
254	2708	7914
255	2717	7899
256	2727	7885
257	2737	7871
258	2746	7859
259	2756	7845
260	2766	7832
261	2775	7818
262	2784	7803
263	2794	7790
264	2804	7777
265	2813	7764
266	2823	7750
267	2833	7740
