iter	MultiClass
0	2.300228743
1	2.183199439
2	2.108950465
3	2.005998047
4	1.935186075
5	1.859690115
6	1.783489216
7	1.737637686
8	1.682474765
9	1.635280768
10	1.591405477
11	1.54208822
12	1.496544747
13	1.458971496
14	1.413782545
15	1.37734038
16	1.344163043
17	1.317989832
18	1.298896306
19	1.270380658
20	1.241806295
21	1.214062059
22	1.193776762
23	1.172452957
24	1.15226744
25	1.130765423
26	1.110376609
27	1.088969241
28	1.066708909
29	1.050945539
30	1.033667818
31	1.021324244
32	1.006937819
33	0.9927693515
34	0.9796441975
35	0.9618609426
36	0.9512411397
37	0.9381133774
38	0.9231380869
39	0.9086457563
40	0.9020845342
41	0.8925363533
42	0.8803332946
43	0.8725964339
44	0.8654184045
45	0.8572626957
46	0.8506846743
47	0.8424903565
48	0.8316962479
49	0.8242454956
50	0.8179182353
51	0.8106297983
52	0.8018535352
53	0.7916619717
54	0.785293695
55	0.7796686357
56	0.7725904831
57	0.7666471176
58	0.7602466595
59	0.753174258
60	0.7484958305
61	0.7448797751
62	0.7407757281
63	0.7370446935
64	0.7320283788
65	0.7290064511
66	0.724791188
67	0.7189671424
68	0.7153698031
69	0.7097483762
70	0.7060163016
71	0.7019694418
72	0.7000704082
73	0.6963196052
74	0.6914378557
75	0.6895141418
76	0.6847346612
77	0.6810742734
78	0.6786874984
79	0.6760508531
80	0.670383964
81	0.6663214169
82	0.6630159245
83	0.6619360298
84	0.6593966042
85	0.6567420441
86	0.6541143261
87	0.651652542
88	0.649710785
89	0.6473082482
90	0.6448664318
91	0.6415080849
92	0.6414903032
93	0.6403896897
94	0.6397402932
95	0.6364746963
96	0.6352672308
97	0.6341326501
98	0.6320259713
99	0.6304493775
100	0.6293220812
101	0.6288207296
102	0.6256242374
103	0.6231682878
104	0.6195887964
105	0.6186946326
106	0.6161267593
107	0.6152644581
108	0.6146248208
109	0.6115041231
110	0.608426157
111	0.607455668
112	0.6046523646
113	0.6027107884
114	0.6006887851
115	0.5988965647
116	0.5965888019
117	0.5945469249
118	0.5933597027
119	0.5904166774
120	0.5896646894
121	0.5885583218
122	0.5876326283
123	0.5864965266
124	0.5848941533
125	0.5825723533
126	0.5812369973
127	0.5791745076
128	0.5781888155
129	0.577080227
130	0.5740832181
131	0.5726477791
132	0.5711453616
133	0.5702305582
134	0.5684199259
135	0.5681815891
136	0.5675833543
137	0.5660633356
138	0.565135329
139	0.5637044445
140	0.5626015491
141	0.5616738231
142	0.5604638256
143	0.5589169705
144	0.5578783337
145	0.5569540052
146	0.5559111681
147	0.5546610811
148	0.5537655175
149	0.5514642222
150	0.5508430769
151	0.5490367906
152	0.5467137246
153	0.5457074559
154	0.5451053059
155	0.5445237531
156	0.5436822371
157	0.542095963
158	0.5407288416
159	0.5393689159
160	0.5384887748
161	0.5379227469
162	0.5375211914
163	0.5360309133
164	0.5340511459
165	0.5327339407
166	0.5316045444
167	0.5307760609
168	0.5301363524
169	0.5286590948
170	0.5266636856
171	0.5258908884
172	0.5253479008
173	0.524439369
174	0.5236491929
175	0.522927423
176	0.5210063488
177	0.5206906451
178	0.5198279536
179	0.5194130573
180	0.518057265
181	0.5167330154
182	0.5153893022
183	0.5141831233
184	0.5134523795
185	0.5130300693
186	0.5123340187
187	0.5115864317
188	0.5111195794
189	0.5107350693
190	0.5091030501
191	0.5079416755
192	0.5075673474
193	0.5069984305
194	0.5065853675
195	0.506010341
196	0.5054244879
197	0.5049832826
198	0.5046210402
199	0.5042649083
200	0.5039537522
201	0.5035729432
202	0.5017617772
203	0.5007093128
204	0.4993881915
205	0.4980472239
206	0.4976515552
207	0.4974155274
208	0.496787345
209	0.4960671037
210	0.4955464181
211	0.4944286609
212	0.4936577423
213	0.4926483028
214	0.4922163275
215	0.4918810348
216	0.4909312741
217	0.4907426241
218	0.4903213386
219	0.4890760103
220	0.4884897196
221	0.4881119906
222	0.4870985942
223	0.4863271289
224	0.4851875628
225	0.4844369695
226	0.4838912094
227	0.4828773414
228	0.4825848454
229	0.481480234
230	0.4810351956
231	0.4806907189
232	0.4799965155
233	0.478865703
234	0.4784810548
235	0.4783433672
236	0.4779603248
237	0.477667985
238	0.4773193461
239	0.4765186915
240	0.4759912476
241	0.4748241255
242	0.4737432963
243	0.4726366343
244	0.4724759464
245	0.4719039118
246	0.4715129508
247	0.4711250702
248	0.4700707167
249	0.4696357905
250	0.4691209922
251	0.4688872846
252	0.4680889054
253	0.4670115181
254	0.4666936092
255	0.4664267165
256	0.4662528216
257	0.4658977586
258	0.4652908218
259	0.4646289625
260	0.4638737148
261	0.463135874
262	0.4629531576
263	0.461769467
264	0.4615570737
265	0.4612930972
266	0.4610402726
267	0.4603170307
268	0.4601056928
269	0.4597599875
270	0.4591210856
271	0.4582668542
272	0.4578856222
273	0.45745482
274	0.4567033622
275	0.4558834003
276	0.4554878561
277	0.4548748367
278	0.4546759865
279	0.4541590007
280	0.4537940815
281	0.453166494
282	0.4526558643
283	0.4523103667
284	0.4515595578
285	0.451272517
286	0.4509437887
287	0.4506916951
288	0.450264302
289	0.4496824185
290	0.4494932331
291	0.4493053879
292	0.4490207529
293	0.4488320615
294	0.4487699918
295	0.4481152562
296	0.4478383992
297	0.4473108649
298	0.4467109372
299	0.4464393103
300	0.4462257318
301	0.4459289048
302	0.4457262639
303	0.445380945
304	0.4451369227
305	0.4448337682
306	0.4445442251
307	0.443790325
308	0.443393801
309	0.4430218639
310	0.4428898429
311	0.4424237394
312	0.4420396727
313	0.4418196458
314	0.4416095894
315	0.4414581936
316	0.4408990325
317	0.4405864512
318	0.4403864866
319	0.4397037842
320	0.4394835259
321	0.4392634045
322	0.4390742953
323	0.4388776285
324	0.4380837102
325	0.437877221
326	0.4371737187
327	0.4369046594
328	0.436764469
329	0.4361577483
330	0.4357044845
331	0.4353358553
332	0.435252696
333	0.4350217712
334	0.4345539862
335	0.4339942314
336	0.433728423
337	0.4335326208
338	0.4332208605
339	0.4327769484
340	0.4320974122
341	0.4314125208
342	0.4311137797
343	0.4308470363
344	0.4306577006
345	0.4299771966
346	0.4293178554
347	0.4291831175
348	0.4290302404
349	0.4286603806
350	0.4285829049
351	0.428182833
352	0.4280195344
353	0.4277332056
354	0.4274511866
355	0.4267645786
356	0.4265496446
357	0.4259217156
358	0.4256775154
359	0.4255514065
360	0.4254301974
361	0.4251030197
362	0.4249462031
363	0.4246633153
364	0.42430095
365	0.4241356051
366	0.4239607306
367	0.4238387672
368	0.4236879123
369	0.4234226681
370	0.4231077695
371	0.4228398425
372	0.4222595905
373	0.4220047051
374	0.4218152387
375	0.4216439323
376	0.4213142567
377	0.4211517296
378	0.4210382405
379	0.4206891195
380	0.4204587987
381	0.4203510475
382	0.4202080394
383	0.4201364058
384	0.4196293351
385	0.4191917736
386	0.418899195
387	0.4182944432
388	0.4180313608
389	0.4176384038
390	0.4173820515
391	0.4171414956
392	0.4168099164
393	0.4166323999
394	0.4164204414
395	0.4160860999
396	0.4159326622
397	0.415825794
398	0.415453299
399	0.4152646505
400	0.4147050945
401	0.4144805932
402	0.4142939672
403	0.4141933096
404	0.413947825
