iter	MultiClass
0	2.28627203
1	2.170875793
2	2.095871448
3	1.994706272
4	1.913415143
5	1.832010907
6	1.763999419
7	1.688984694
8	1.629029884
9	1.585950475
10	1.542865481
11	1.490802206
12	1.445223789
13	1.411699424
14	1.369281109
15	1.335545529
16	1.301686241
17	1.277076389
18	1.258779773
19	1.235701338
20	1.20774936
21	1.179420682
22	1.159950234
23	1.142515707
24	1.122902397
25	1.103646964
26	1.086440351
27	1.06760439
28	1.047626741
29	1.036916956
30	1.018645192
31	1.003062745
32	0.9884595494
33	0.9760557197
34	0.9634295589
35	0.9479226437
36	0.9371738561
37	0.9216367634
38	0.9098920182
39	0.8974293496
40	0.8868458082
41	0.8746322554
42	0.8629454335
43	0.8539394121
44	0.8450801269
45	0.8369349186
46	0.8293124256
47	0.8199166995
48	0.8113913193
49	0.8020452184
50	0.7962431361
51	0.7893358528
52	0.7849531217
53	0.7762221457
54	0.7712922562
55	0.7683112858
56	0.7602031485
57	0.7552089996
58	0.7485818753
59	0.7425103802
60	0.7367878827
61	0.7304402358
62	0.72583958
63	0.7199502853
64	0.7154403341
65	0.71012245
66	0.7060791709
67	0.7039200302
68	0.7000062557
69	0.6937026682
70	0.6898928444
71	0.6847350724
72	0.6800471985
73	0.6767335941
74	0.6727874195
75	0.6689150804
76	0.6652259681
77	0.6622935328
78	0.660248906
79	0.6569418163
80	0.6537031086
81	0.6510284102
82	0.6488172771
83	0.6464248663
84	0.6435220882
85	0.6416627426
86	0.6396306768
87	0.6374649281
88	0.6345461817
89	0.6319330224
90	0.6266065513
91	0.6265318701
92	0.6247211727
93	0.6217898235
94	0.6181970401
95	0.616446557
96	0.6136797519
97	0.6122682354
98	0.609513455
99	0.6073678889
100	0.6057529921
101	0.6044383905
102	0.6023193582
103	0.5990085825
104	0.5976426766
105	0.5954482427
106	0.5933912219
107	0.5918161868
108	0.5896844395
109	0.5884323533
110	0.5873075669
111	0.585595288
112	0.5841556557
113	0.5826692495
114	0.5814543726
115	0.5799036537
116	0.578695253
117	0.5773772288
118	0.5758074708
119	0.5749822359
120	0.574407636
121	0.57295287
122	0.571996356
123	0.5712034734
124	0.5694814694
125	0.5678278312
126	0.5663993806
127	0.5651915076
128	0.5639171104
129	0.5627575519
130	0.5613481234
131	0.5602020376
132	0.558608695
133	0.557780897
134	0.5564626056
135	0.5554283177
136	0.5544828897
137	0.5532899987
138	0.5522753044
139	0.5511519563
140	0.5493620171
141	0.5478970187
142	0.5465732089
143	0.5444430263
144	0.5435060026
145	0.54270641
146	0.540472695
147	0.538810783
148	0.5376854932
149	0.5365013157
150	0.5347101128
151	0.5337126935
152	0.5322914299
153	0.5314934125
154	0.5302245382
155	0.5293909565
156	0.5288334813
157	0.5281528213
158	0.5268613803
159	0.5264644238
160	0.5249152228
161	0.5238866976
162	0.5228620666
163	0.5218125663
164	0.5210934289
165	0.5201256894
166	0.5185444978
167	0.517452728
168	0.515488346
169	0.514103166
170	0.5134896296
171	0.5127644409
172	0.512300897
173	0.5117893899
174	0.5114423133
175	0.5109158783
176	0.5095969353
177	0.5082688207
178	0.507808972
179	0.5074768984
180	0.5067319007
181	0.5063287275
182	0.5053803833
183	0.5042711757
184	0.503313688
185	0.5029215324
186	0.5020061358
187	0.50076531
188	0.5001225979
189	0.499256707
190	0.4989040821
191	0.4978637503
192	0.4973000728
193	0.4968846702
194	0.4964548507
195	0.4961433423
196	0.4956985229
197	0.4949652572
198	0.4943047161
199	0.4935531363
200	0.4933278336
201	0.4925209012
202	0.4921520554
203	0.4910984882
204	0.4905965281
205	0.4896381366
206	0.4887049486
207	0.4884310978
208	0.4879335726
209	0.4875970349
210	0.4872470655
211	0.4862106052
212	0.4847443261
213	0.4836320259
214	0.4832939407
215	0.4825340139
216	0.4814163774
217	0.4800918056
218	0.4793518818
219	0.4789090712
220	0.478670975
221	0.477507898
222	0.4764181595
223	0.47583422
224	0.4754043621
225	0.4750641943
226	0.4748384118
227	0.4740224302
228	0.4734960509
229	0.4729688419
230	0.4720368624
231	0.4718109089
232	0.471425925
233	0.4708503281
234	0.4702833174
235	0.4700307675
236	0.4694754208
237	0.4685691783
238	0.4682289472
239	0.4677087043
240	0.4668750397
241	0.4664755904
242	0.4657545003
243	0.4653250321
