iter	MultiClass
0	2.276788166
1	2.159966222
2	2.045316174
3	1.947450306
4	1.873653281
5	1.792176324
6	1.72361597
7	1.676994151
8	1.630303378
9	1.583543835
10	1.542933794
11	1.504629671
12	1.464348171
13	1.418800884
14	1.382446457
15	1.346398057
16	1.31653779
17	1.285317036
18	1.252082995
19	1.222075981
20	1.198947296
21	1.173439156
22	1.146909638
23	1.127408612
24	1.104652963
25	1.085371632
26	1.064678782
27	1.05164415
28	1.040590619
29	1.022981413
30	1.004071626
31	0.9851539414
32	0.971575836
33	0.9599393413
34	0.9472443054
35	0.9341450502
36	0.9306906514
37	0.9158633428
38	0.9051305421
39	0.8954422192
40	0.8827003685
41	0.8738377226
42	0.861737725
43	0.8515077344
44	0.8434016443
45	0.8348506325
46	0.8263373538
47	0.8158567299
48	0.8068167656
49	0.7977488492
50	0.7909040463
51	0.7830869993
52	0.7767010936
53	0.7692032867
54	0.7655861367
55	0.7601139891
56	0.7542763783
57	0.7462814103
58	0.741241262
59	0.7349150795
60	0.7304532292
61	0.7292875269
62	0.7242219207
63	0.7174010822
64	0.7126540014
65	0.7079485101
66	0.7028934654
67	0.6994819529
68	0.6952913925
69	0.69162997
70	0.6874814851
71	0.6820655991
72	0.6771458786
73	0.6723762573
74	0.6693820153
75	0.667287935
76	0.6644096047
77	0.6612720714
78	0.6583380061
79	0.6559658684
80	0.6515558174
81	0.6482712856
82	0.6443732238
83	0.6410164035
84	0.6381912
85	0.6354489943
86	0.6316228209
87	0.6288024673
88	0.624999161
89	0.6227220698
90	0.6210977572
91	0.6189490232
92	0.6182859596
93	0.6157502936
94	0.6142519166
95	0.6115251107
96	0.6093348283
97	0.606467206
98	0.6047215519
99	0.6013256496
100	0.5990200664
101	0.5981538245
102	0.5964736657
103	0.5941769743
104	0.5931773701
105	0.5903360222
106	0.5885500465
107	0.5856244403
108	0.5838110471
109	0.5817423899
110	0.5795170618
111	0.5767868245
112	0.5743768292
113	0.5729868332
114	0.5715123204
115	0.5693958612
116	0.5673407278
117	0.5653068235
118	0.5627088548
119	0.5610360764
120	0.559964135
121	0.557268784
122	0.5559780391
123	0.5545201486
124	0.5540335077
125	0.5516991269
126	0.5504247827
127	0.5497071504
128	0.5475313911
129	0.5451534662
130	0.5434178407
131	0.5418649983
132	0.5403804752
133	0.5384770279
134	0.5375407482
135	0.5363898201
136	0.5340026892
137	0.5333176218
138	0.5320912152
139	0.5306321557
140	0.5293410812
141	0.5272374548
142	0.526004515
143	0.5250029096
144	0.5233584827
145	0.5222395573
146	0.5211310222
147	0.5205793545
148	0.518563144
149	0.5167435514
150	0.5151621722
151	0.5137499882
152	0.5133175111
153	0.5118465965
154	0.5107330208
155	0.5095556138
156	0.5075604428
157	0.5055539208
158	0.5040143626
159	0.5026396616
160	0.5003056542
161	0.4994142676
162	0.4985335813
163	0.4974120353
164	0.496557817
165	0.4955760863
166	0.4948643176
167	0.4941344032
168	0.4933759958
169	0.492178371
170	0.4907211009
171	0.4902290386
172	0.4891861656
173	0.4882190563
174	0.4871554477
175	0.4864278716
176	0.484913624
177	0.4842156799
178	0.4828316662
179	0.4821796691
180	0.4807234795
181	0.4800511647
182	0.4790187454
183	0.4780323125
184	0.4769782388
185	0.4754902019
186	0.4747718025
187	0.473044304
188	0.4719126283
189	0.4705864138
190	0.4701965786
191	0.4692309222
192	0.4680809278
193	0.4671472223
194	0.466671418
195	0.4664673044
196	0.4658954857
197	0.4651899519
198	0.4637973201
199	0.4623136715
200	0.4616168943
201	0.4599444704
202	0.4585852601
203	0.4581203935
204	0.4574950857
205	0.4572814339
206	0.4558938056
207	0.4550017511
208	0.454203803
209	0.4534146685
210	0.4523644318
211	0.451353812
212	0.4510097
213	0.4507744497
214	0.4503804862
215	0.4494976526
216	0.4482235768
217	0.447812048
218	0.4470293994
219	0.4464270451
220	0.4457828464
221	0.4449427175
222	0.443917535
223	0.4434070239
224	0.4428497505
225	0.4418597571
226	0.4414462267
227	0.4407490579
228	0.4405204887
229	0.4397400767
230	0.4385026263
231	0.4381645156
232	0.4372483035
233	0.4364318524
234	0.4350481676
235	0.4346549111
236	0.4344140268
237	0.4332371269
238	0.4324368007
239	0.4320400912
240	0.4313722852
241	0.4306354614
242	0.4302990225
243	0.4297297447
244	0.4294644941
245	0.4288731201
246	0.4285869301
247	0.4278042685
248	0.4269269221
249	0.426220281
250	0.4259571411
251	0.4253657894
252	0.4245045351
253	0.4241046257
254	0.4234603026
255	0.4232234017
256	0.4222778264
257	0.4219037803
258	0.4216528636
259	0.4210801941
260	0.4203890092
261	0.4201264661
262	0.419552403
263	0.4190209142
264	0.4185554493
265	0.4180431591
266	0.4175951036
267	0.417238142
268	0.4170170417
269	0.4167300268
270	0.4160912522
271	0.4152453321
272	0.4149119729
273	0.4141634041
274	0.4139167277
275	0.4132500345
276	0.4128964775
277	0.4125772657
278	0.4117949578
279	0.4114032347
280	0.4111209243
281	0.4104495263
282	0.4095438543
283	0.4091981773
284	0.4083776748
285	0.4082401547
286	0.4080460226
287	0.407211648
288	0.4063674137
289	0.4061406098
290	0.4060211929
291	0.4057552512
292	0.405590277
293	0.4053913584
294	0.4050314238
295	0.4041799512
296	0.4033159862
297	0.4027395117
298	0.4024075033
299	0.4018336994
300	0.4017290398
301	0.4014638555
302	0.4012306924
303	0.4003117634
304	0.3999473286
305	0.3996772383
306	0.3990187226
307	0.3989167224
308	0.3986750322
309	0.3985030717
310	0.3983840036
311	0.3980844656
312	0.3978622369
313	0.3975075644
314	0.3973162888
315	0.3970189068
316	0.3969731274
317	0.3965451706
318	0.3960599052
319	0.3958602552
320	0.3956159145
321	0.3952487562
322	0.394857305
323	0.394045965
324	0.3931737904
325	0.3924578645
326	0.3920612572
327	0.3918078449
328	0.3913839972
329	0.3910375301
330	0.3907754915
331	0.3906069548
332	0.3902861616
333	0.389952033
334	0.3892883055
335	0.3891048917
336	0.388718154
337	0.3882091584
338	0.3876764452
339	0.3869826071
340	0.3865651299
341	0.3858591087
342	0.385632914
343	0.3854459646
344	0.3851018805
345	0.3843620241
346	0.3838753148
347	0.3832574389
348	0.3830838449
349	0.3827707255
350	0.3822146621
351	0.3817611441
352	0.3814135102
353	0.3811234024
354	0.3805306946
355	0.3803452145
356	0.3802186385
357	0.3800990927
358	0.3796292819
359	0.3787070021
360	0.3778755776
361	0.3777197736
362	0.3774958828
363	0.3771063185
364	0.3768367892
365	0.376139518
366	0.3755390583
367	0.375174222
368	0.3749799633
369	0.3743732495
370	0.3741501699
371	0.3736430832
372	0.3734556091
373	0.3733584117
374	0.372959911
375	0.3728548515
376	0.3720831527
377	0.3717635987
378	0.3716772179
379	0.3710482409
380	0.3709111905
381	0.3705304563
382	0.370475664
383	0.370356998
384	0.370182278
385	0.3696524794
386	0.3690430383
387	0.3687793072
388	0.3683104118
389	0.3681905786
390	0.3680144972
391	0.367710358
392	0.3675033908
393	0.3672934352
394	0.3672193051
395	0.3670861779
396	0.3665360809
397	0.3664298909
398	0.3660942213
399	0.3659417068
400	0.3654225633
401	0.364914063
402	0.3648027645
403	0.3643455036
404	0.3638451697
405	0.3634825184
406	0.3633037381
407	0.3626739283
408	0.3625056306
409	0.362387447
410	0.3619979212
411	0.3617449501
412	0.3614605953
413	0.3612951497
414	0.3610938589
415	0.3607255214
416	0.3606773048
417	0.360554587
418	0.3600297862
419	0.359772293
420	0.3594318821
421	0.3592803538
422	0.3590336093
423	0.358509865
424	0.3581587201
425	0.3577868343
426	0.3576547077
427	0.3575205391
428	0.3573599882
429	0.3571480778
430	0.3566907373
431	0.3562740194
432	0.356138624
433	0.3560477717
434	0.3556779242
435	0.355507039
436	0.3552480701
437	0.3549649827
438	0.354804393
439	0.3546593494
440	0.354185885
441	0.3538251259
442	0.3534667361
443	0.3533134198
444	0.3530533046
445	0.3529835007
446	0.3524731173
447	0.3524201837
448	0.3520084463
449	0.3515788885
450	0.3513199844
451	0.3511860747
452	0.3510652226
453	0.3506538403
454	0.3505370752
455	0.350262717
456	0.3501781391
457	0.3500975171
458	0.3499384344
459	0.349737739
460	0.34958508
461	0.3492345849
462	0.348932076
463	0.3488950074
464	0.3487776442
465	0.3486564513
466	0.3483003242
467	0.3481684999
468	0.3478112965
469	0.3473479109
470	0.3472224095
471	0.3470974389
472	0.346791141
473	0.3466824483
474	0.3465986398
475	0.34650451
476	0.3464507831
477	0.3463201674
478	0.3460874627
479	0.3458691751
480	0.3456725082
481	0.3451286059
482	0.3449972087
483	0.3448583184
484	0.3447102363
485	0.3445752492
486	0.3441967972
487	0.3441075341
488	0.3437982619
489	0.3436829026
490	0.3436070919
491	0.3432264499
492	0.342891901
493	0.3427408901
494	0.3426582746
495	0.3424980854
496	0.3422671537
497	0.3419763409
498	0.3418843324
499	0.3417272407
500	0.3414108052
501	0.3412134365
502	0.3410553801
503	0.340446403
504	0.3402818029
505	0.3399521347
506	0.3398374518
507	0.3397207753
508	0.339617114
509	0.3395302738
510	0.3394124191
511	0.3393455642
512	0.3392130604
513	0.3390703869
514	0.3389688787
515	0.3388985311
516	0.3386978457
517	0.3386082371
518	0.3384713493
519	0.3383270503
520	0.3381808945
521	0.337878152
522	0.3377518428
523	0.3372190225
524	0.3369499284
525	0.3368641553
526	0.3367199574
527	0.3366471051
528	0.3365568949
529	0.3364617223
530	0.3363027472
531	0.3362100299
532	0.3360581749
533	0.3359476588
534	0.335676151
535	0.3356198623
536	0.3355376403
537	0.335498715
538	0.3353917366
539	0.3352874397
540	0.335131628
541	0.334877188
542	0.3346388742
543	0.3345242438
544	0.3344181003
545	0.3341487083
546	0.3338455088
547	0.3337765684
548	0.3334420264
549	0.333280864
550	0.3327823857
551	0.3327123174
552	0.3322740265
553	0.3321250686
554	0.3317139394
555	0.3315619439
556	0.3311109003
557	0.3309634616
558	0.3308367642
559	0.3306556212
560	0.3305703472
561	0.3304157216
562	0.3301380727
563	0.3300467035
564	0.3298965039
565	0.329670554
566	0.3294667578
567	0.329347363
568	0.3291153325
569	0.3288018098
570	0.3285840846
571	0.3285248968
572	0.3284390577
573	0.3278157109
574	0.3277212628
575	0.3276161547
576	0.3274886058
577	0.3272736138
578	0.3270814044
579	0.3269482996
580	0.3268608236
581	0.3268097056
582	0.3266530896
583	0.3264580084
584	0.3262968911
585	0.3259800731
586	0.3258748856
587	0.3254658553
588	0.3253347633
589	0.3249160465
590	0.3247784255
591	0.3243191524
592	0.3241510315
593	0.3239199017
594	0.3237471764
595	0.3235674186
596	0.3234972613
597	0.3234033198
598	0.3233094222
599	0.3231895398
600	0.3228492481
601	0.3228284165
602	0.3227731389
603	0.3226902157
604	0.3223570063
605	0.3220454233
606	0.3219238611
607	0.3218558976
608	0.3218200015
609	0.3216856165
610	0.3213961889
611	0.3211437895
612	0.3209982725
613	0.32076898
614	0.3203107043
615	0.3202285466
616	0.3199690901
617	0.3198892016
618	0.3197672095
619	0.3196786705
620	0.3193351325
621	0.3191396543
622	0.3190554758
623	0.3188519287
624	0.318720556
625	0.3184081896
626	0.3182699685
627	0.3179668221
628	0.3178786991
629	0.3177989876
630	0.3175788265
631	0.3172695171
632	0.3172364451
633	0.3170672484
634	0.3168290594
635	0.3166898982
636	0.3164391768
637	0.3162647745
638	0.3159424156
639	0.315558845
640	0.3154820974
641	0.3154023082
642	0.3151044091
