iter	Passed	Remaining
0	148	148635
1	161	80772
2	174	58038
3	185	46086
4	195	38870
5	206	34271
6	218	31008
7	229	28493
8	240	26434
9	250	24824
10	261	23527
11	272	22476
12	285	21656
13	295	20827
14	339	22325
15	357	21967
16	370	21406
17	381	20811
18	392	20257
19	402	19703
20	411	19189
21	421	18743
22	431	18314
23	440	17918
24	452	17647
25	462	17319
26	472	17039
27	484	16806
28	488	16357
29	499	16160
30	511	15996
31	522	15791
32	532	15606
33	544	15479
34	558	15387
35	569	15238
36	571	14873
37	582	14743
38	593	14619
39	606	14547
40	616	14420
41	628	14338
42	639	14237
43	650	14141
44	661	14046
45	673	13959
46	683	13859
47	693	13759
48	704	13666
49	715	13590
50	727	13529
51	737	13453
52	749	13385
53	761	13343
54	772	13277
55	783	13199
56	793	13127
57	805	13089
58	817	13040
59	827	12969
60	838	12900
61	840	12723
62	852	12675
63	863	12630
64	874	12579
65	885	12524
66	896	12485
67	908	12446
68	918	12395
69	928	12341
70	941	12321
71	952	12277
72	966	12267
73	977	12229
74	988	12188
75	1000	12167
76	1014	12161
77	1026	12134
78	1038	12107
79	1040	11971
80	1051	11931
81	1061	11888
82	1076	11892
83	1088	11872
84	1099	11840
85	1111	11812
86	1135	11914
87	1153	11949
88	1170	11980
89	1183	11965
90	1197	11959
91	1210	11945
92	1215	11854
93	1228	11839
94	1241	11828
95	1256	11832
96	1272	11846
97	1284	11820
98	1295	11791
99	1306	11761
100	1317	11723
101	1328	11692
102	1338	11655
103	1348	11619
104	1352	11526
105	1362	11493
106	1373	11463
107	1384	11433
108	1394	11399
109	1404	11364
110	1415	11337
111	1426	11309
112	1437	11280
113	1447	11249
114	1457	11217
115	1467	11182
116	1477	11151
117	1488	11128
118	1499	11102
119	1509	11069
120	1519	11041
121	1530	11016
122	1540	10987
123	1552	10966
124	1555	10891
125	1567	10875
126	1578	10851
127	1590	10834
128	1600	10807
129	1611	10787
130	1622	10765
131	1632	10735
132	1642	10707
133	1653	10684
134	1664	10663
135	1670	10613
136	1681	10590
137	1691	10566
138	1702	10545
139	1709	10498
140	1719	10475
141	1730	10457
142	1741	10438
143	1751	10413
144	1761	10388
145	1773	10371
146	1783	10349
147	1793	10326
148	1804	10306
149	1815	10288
150	1826	10267
151	1836	10245
152	1847	10225
153	1857	10205
154	1864	10163
155	1875	10147
156	1886	10129
157	1897	10112
158	1913	10121
159	1928	10124
160	1940	10109
161	1950	10089
162	1960	10064
163	1970	10042
164	1980	10022
165	1990	10000
166	2000	9980
167	2010	9957
168	2020	9934
169	2030	9914
170	2041	9895
171	2050	9872
172	2060	9850
173	2071	9832
174	2081	9812
175	2091	9790
176	2101	9769
177	2111	9750
178	2121	9728
179	2131	9709
180	2141	9689
181	2151	9669
182	2161	9651
183	2171	9630
184	2181	9610
185	2191	9592
186	2202	9574
187	2211	9553
188	2221	9533
189	2231	9513
190	2241	9494
191	2253	9482
192	2263	9464
193	2272	9443
194	2282	9424
195	2293	9408
196	2303	9390
197	2312	9368
198	2323	9352
199	2333	9333
200	2343	9315
201	2354	9302
202	2364	9284
203	2374	9266
204	2386	9254
205	2396	9238
206	2406	9220
207	2417	9204
208	2428	9189
209	2437	9171
210	2447	9152
211	2458	9136
212	2467	9117
213	2478	9101
214	2488	9084
215	2497	9065
216	2507	9046
217	2517	9030
218	2527	9013
219	2537	8996
220	2548	8982
221	2557	8964
222	2568	8948
223	2578	8933
224	2588	8915
225	2598	8898
226	2608	8883
227	2619	8867
228	2628	8850
229	2638	8832
230	2647	8813
231	2657	8797
232	2668	8784
233	2679	8770
234	2689	8756
235	2701	8744
236	2711	8730
237	2721	8714
238	2732	8699
239	2743	8686
240	2753	8672
241	2763	8657
242	2774	8642
243	2784	8626
244	2795	8614
245	2805	8600
246	2816	8585
247	2826	8569
248	2836	8554
249	2847	8542
250	2857	8528
251	2868	8514
252	2879	8501
253	2890	8488
254	2900	8474
255	2910	8458
256	2921	8446
257	2932	8434
258	2943	8421
259	2954	8408
260	2965	8395
261	2975	8381
262	2986	8367
263	2997	8356
264	3008	8344
265	3018	8329
266	3028	8315
267	3040	8303
268	3050	8289
269	3061	8276
270	3072	8264
271	3082	8250
272	3092	8235
273	3103	8222
274	3113	8209
275	3124	8195
276	3134	8181
