type,load,count,mean,std,min,max
A,0.5,1,34.22,,34.22,34.22
A,0.6,1,37.87,,37.87,37.87
A,0.7,1,41.4,,41.4,41.4
A,0.8,1,44.65,,44.65,44.65
A,0.9,1,47.72,,47.72,47.72
A,1.0,1,50.12,,50.12,50.12
A,1.1,1,52.7,,52.7,52.7
A,1.2,1,54.36,,54.36,54.36
A,1.3,1,55.89,,55.89,55.89
A,1.4,1,57.52,,57.52,57.52
A,1.5,1,59.03,,59.03,59.03
A,1.6,1,60.52,,60.52,60.52
A,1.7,1,61.73,,61.73,61.73
A,1.8,1,62.95,,62.95,62.95
A,1.9,1,63.95,,63.95,63.95
A,2.0,1,64.8,,64.8,64.8
A,2.1,1,65.88,,65.88,65.88
A,2.2,1,66.62,,66.62,66.62
A,2.3,1,67.57,,67.57,67.57
A,2.4,1,68.16,,68.16,68.16
A,2.5,1,68.75,,68.75,68.75
A,2.6,1,69.33,,69.33,69.33
A,2.7,1,69.88,,69.88,69.88
A,2.8,1,70.64,,70.64,70.64
A,2.9,1,70.97,,70.97,70.97
A,3.0,1,71.45,,71.45,71.45
B,0.5,4,54.605000000000004,0.8111103500757493,53.76,55.67
B,0.6,4,58.6225,0.6513255714310615,58.04,59.47
B,0.7,4,62.23,0.5687413002997649,61.69,63.03
B,0.8,4,65.09,0.6530441536884554,64.49,65.97
B,0.9,4,67.335,0.5863730325768132,66.8,68.08
B,1.0,4,69.3575,0.4886290344763954,69.09,70.09
B,1.1,4,71.2975,0.7206189469245596,70.65,72.19
B,1.2,4,72.665,0.6496409264611777,72.0,73.29
B,1.3,4,73.995,0.5562673218276786,73.6,74.78
B,1.4,4,75.16,0.5097057974949895,74.52,75.67
B,1.5,4,76.02000000000001,0.4833908011812698,75.55,76.56
B,1.6,4,76.945,0.4932544982055418,76.55,77.57
B,1.7,4,77.6775,0.5950560197718072,77.37,78.57
B,1.8,4,78.3375,0.5285435964358453,77.9,79.06
B,1.9,4,79.005,0.5694734409961526,78.55,79.8
B,2.0,4,79.48,0.5355993527504125,79.03,80.11
B,2.1,4,79.91,0.5001999600159882,79.44,80.57
B,2.2,4,80.3575,0.4787048499162448,80.0,81.03
B,2.3,4,80.78,0.4973932046178376,80.42,81.48
B,2.4,4,81.23,0.3935310237664475,80.88,81.76
B,2.5,4,81.485,0.44425968381866915,81.12,82.07
B,2.6,4,81.78,0.39471508711981035,81.39,82.3
B,2.7,4,82.0325,0.39794262568030336,81.66,82.57
B,2.8,4,82.2525,0.3781864619470124,81.9,82.78
B,2.9,4,82.35249999999999,0.4348467162882395,81.99,82.97
B,3.0,4,82.475,0.4786439177509768,82.08,83.15
C,0.5,1,45.28,,45.28,45.28
C,0.6,1,50.12,,50.12,50.12
C,0.7,1,54.04,,54.04,54.04
C,0.8,1,57.12,,57.12,57.12
C,0.9,1,59.09,,59.09,59.09
C,1.0,1,61.28,,61.28,61.28
C,1.1,1,62.66,,62.66,62.66
C,1.2,1,65.18,,65.18,65.18
C,1.3,1,66.59,,66.59,66.59
C,1.4,1,68.56,,68.56,68.56
C,1.5,1,68.98,,68.98,68.98
C,1.6,1,70.01,,70.01,70.01
C,1.7,1,71.22,,71.22,71.22
C,1.8,1,72.31,,72.31,72.31
C,1.9,1,73.18,,73.18,73.18
C,2.0,1,73.59,,73.59,73.59
C,2.1,1,74.32,,74.32,74.32
C,2.2,1,74.86,,74.86,74.86
C,2.3,1,75.62,,75.62,75.62
C,2.4,1,75.68,,75.68,75.68
C,2.5,1,76.32,,76.32,76.32
C,2.6,1,76.92,,76.92,76.92
C,2.7,1,77.11,,77.11,77.11
C,2.8,1,77.19,,77.19,77.19
C,2.9,1,77.82,,77.82,77.82
C,3.0,1,77.9,,77.9,77.9
D,0.5,4,56.5875,0.5321262381553215,56.0,57.14
D,0.6,4,61.17,0.34563950391508536,60.85,61.65
D,0.7,4,64.2625,0.44657026322853266,63.73,64.75
D,0.8,4,67.2175,0.4952692870213786,66.51,67.64
D,0.9,4,69.55,0.30298514815085786,69.22,69.91
D,1.0,4,71.4725,0.20532494571613866,71.25,71.68
D,1.1,4,73.0875,0.517195965439278,72.6,73.77
D,1.2,4,74.1475,0.4677873448480614,73.72,74.61
D,1.3,4,75.4325,0.3001527388958275,75.2,75.86
D,1.4,4,76.725,0.44560819860799666,76.09,77.1
D,1.5,4,77.68,0.3795611501018843,77.32,78.19
D,1.6,4,78.5675,0.43099690640807403,78.18,79.09
D,1.7,4,79.25,0.23762715894162634,79.02,79.46
D,1.8,4,79.5975,0.33089525029330125,79.22,79.89
D,1.9,4,80.17500000000001,0.47780749261600913,79.53,80.68
D,2.0,4,80.48,0.3947150871198136,80.1,81.03
D,2.1,4,81.175,0.3733184520843613,80.64,81.49
D,2.2,4,81.4,0.3150661306244593,81.0,81.73
D,2.3,4,81.86,0.3192700006786324,81.48,82.2
D,2.4,4,82.07,0.23804761428475857,81.82,82.32
D,2.5,4,82.5025,0.11701139545645875,82.35,82.63
D,2.6,4,82.71000000000001,0.0828653526310434,82.62,82.79
D,2.7,4,83.0075,0.2729316153666847,82.72,83.36
D,2.8,4,83.285,0.22248595461286605,83.09,83.52
D,2.9,4,83.3725,0.1770828431365728,83.16,83.57
D,3.0,4,83.44,0.1816590212458431,83.2,83.63
E,0.5,4,58.7725,0.9318932342280434,58.09,60.15
E,0.6,4,62.1625,0.40680666988959646,61.63,62.62
E,0.7,4,65.9525,0.821355586819748,65.16,67.08
E,0.8,4,68.2525,0.4176421913552311,67.87,68.79
E,0.9,4,70.64,0.32608792270387776,70.38,71.11
E,1.0,4,72.675,0.4182901704160312,72.38,73.29
E,1.1,4,73.8475,0.5390964663211958,73.38,74.4
