type,load,efficiency,is_synthetic
A,0.5,34.22,1
A,1.3,65.15,1
A,0.7,55.67,1
A,1.3,78.83,1
A,2.0,75.69,1
A,1.7,34.22,1
A,1.9,60.93,1
A,1.7,34.22,1
A,0.5,55.02,1
A,0.5,34.22,1
A,0.6,34.22,1
A,3.0,84.91,1
A,2.1,83.92,1
A,0.7,55.2,1
A,2.0,75.53,1
A,1.7,77.04,1
A,0.5,34.22,1
A,1.5,43.49,1
A,1.6,60.61,1
A,0.7,54.59,1
A,0.5,35.34,1
A,2.8,86.14,1
A,2.9,82.02,1
A,1.6,60.27,1
A,0.8,59.43,1
A,0.5,70.89,1
A,0.5,34.22,1
A,1.4,69.84,1
A,1.2,34.22,1
A,1.9,36.7,1
A,0.8,60.53,1
A,0.5,71.79,1
A,1.5,64.36,1
A,1.8,62.53,1
A,1.3,34.22,1
A,0.7,69.82,1
A,1.3,45.84,1
A,2.0,40.04,1
A,1.9,37.67,1
A,0.8,41.21,1
A,0.9,55.33,1
A,1.6,75.27,1
A,1.5,34.22,1
A,1.4,52.32,1
B,1.6,71.6,1
B,2.0,79.79,1
C,1.8,73.54,1
C,2.0,52.58,1
C,2.7,84.6,1
C,2.5,76.11,1
C,2.1,66.74,1
C,1.9,78.18,1
C,1.7,36.46,1
C,2.7,78.99,1
C,0.7,47.16,1
C,0.6,36.93,1
C,2.0,60.63,1
C,2.8,67.95,1
C,1.5,76.6,1
C,3.0,87.4,1
C,2.5,71.32,1
C,0.5,47.71,1
C,1.6,68.38,1
C,1.5,58.59,1
C,1.2,34.22,1
C,2.3,76.77,1
C,1.8,64.48,1
C,2.7,87.59,1
C,1.4,77.11,1
C,1.9,50.75,1
C,0.9,70.19,1
C,1.8,80.73,1
C,1.4,72.29,1
C,1.2,67.71,1
C,2.2,46.68,1
C,1.5,63.08,1
C,2.9,82.38,1
C,1.5,73.08,1
C,2.6,87.05,1
C,0.6,34.22,1
C,1.3,60.52,1
C,2.0,71.7,1
C,1.9,73.98,1
C,2.2,49.93,1
C,1.5,57.81,1
C,1.9,50.41,1
C,0.5,34.22,1
C,1.4,48.27,1
C,2.9,76.24,1
C,1.5,57.13,1
C,0.8,47.32,1
C,2.6,80.9,1
C,2.1,61.53,1
C,2.7,83.44,1
F,2.0,84.19,1
F,2.4,86.86,1
F,3.0,83.26,1
F,2.3,76.29,1
F,1.6,72.19,1
F,2.4,83.56,1
F,0.8,86.36,1
F,2.6,80.29,1
F,1.0,54.88,1
F,0.5,67.98,1
F,2.5,82.39,1
F,2.2,74.44,1
F,1.6,50.95,1
F,0.6,70.3,1
F,2.1,51.31,1
F,2.4,82.33,1
F,1.8,78.24,1
F,1.6,82.29,1
F,1.7,79.33,1
F,1.9,85.56,1
F,1.0,76.66,1
F,2.7,85.09,1
F,1.4,76.22,1
F,0.5,34.22,1
F,1.4,81.61,1
F,2.7,80.75,1
F,0.8,71.51,1
F,1.8,62.71,1
F,1.5,83.47,1
F,0.8,34.27,1
F,3.0,87.25,1
F,1.3,80.41,1
F,1.9,78.14,1
F,3.0,84.28,1
F,2.3,79.28,1
F,3.0,82.58,1
F,0.5,34.22,1
F,2.5,79.96,1
F,1.9,76.17,1
F,0.5,49.67,1
F,1.7,80.52,1
F,2.7,85.48,1
F,1.2,75.76,1
F,1.9,78.32,1
F,2.0,77.26,1
F,1.9,82.59,1
F,1.3,78.42,1
F,2.7,76.69,1
F,1.8,80.45,1
F,1.7,78.13,1
F,1.8,72.48,1
F,0.7,74.09,1
I,2.5,85.34,1
I,3.0,86.17,1
I,1.6,78.06,1
I,1.8,80.82,1
I,3.0,85.43,1
I,0.7,76.65,1
I,2.6,84.88,1
I,1.7,81.69,1
I,0.9,62.88,1
I,1.5,56.73,1
I,1.3,80.99,1
I,3.0,86.77,1
I,2.8,85.72,1
I,0.5,70.55,1
I,1.8,73.02,1
I,1.6,79.89,1
I,3.0,84.75,1
I,1.8,86.05,1
I,3.0,86.44,1
I,2.5,76.85,1
I,2.7,72.95,1
I,0.5,70.71,1
I,0.5,37.39,1
I,0.5,34.22,1
I,0.6,41.11,1
I,2.2,82.5,1
I,1.7,81.76,1
I,2.5,68.42,1
I,2.2,73.46,1
I,2.7,84.8,1
I,2.8,84.86,1
I,0.9,76.35,1
I,3.0,86.47,1
I,0.5,34.22,1
I,1.8,79.94,1
I,2.4,79.62,1
I,1.5,80.04,1
I,1.2,76.05,1
I,2.4,84.82,1
I,1.7,85.58,1
I,2.1,85.55,1
I,1.5,74.35,1
I,1.7,76.46,1
I,1.8,78.25,1
I,2.1,76.7,1
I,1.0,72.9,1
