type,mean_real,std_real,n_before,mean_aug,std_aug,n_after
A,57.52409090909091,10.917402734512109,22,51.57893939393939,12.439843448036438,66
B,75.2238202247191,7.774682470221413,89,75.34043956043955,7.777398867100308,91
C,68.86041666666667,9.222477965213072,24,65.61555555555555,10.253014107010687,72
D,76.19347368421053,7.3953625158825975,95,76.19347368421053,7.3953625158825975,95
E,77.40406593406594,7.117808179804601,91,77.40406593406594,7.117808179804601,91
F,77.71461538461539,7.748113179746012,26,78.02153846153847,7.930559351544608,78
G,78.68852631578947,7.226285200928009,95,78.68852631578947,7.226285200928009,95
H,81.61021505376344,6.047189782877028,279,81.61021505376344,6.047189782877028,279
I,79.38695652173914,7.471625985129346,23,78.92782608695653,6.638387886679668,69
J,81.29729729729729,6.321722491884221,185,81.29729729729729,6.321722491884221,185
K,81.8794750656168,6.105727530039902,381,81.8794750656168,6.105727530039902,381
