type,load,efficiency,is_synthetic
A,0.6,46.72,1
A,1.0,67.74,1
A,0.9,35.57,1
A,1.1,54.35,1
A,1.1,53.67,1
A,1.5,82.53,1
A,0.8,49.17,1
A,0.6,44.48,1
A,1.6,42.66,1
A,0.8,44.05,1
A,1.8,56.44,1
A,0.9,34.34,1
A,1.5,70.19,1
A,1.2,57.09,1
A,0.7,34.22,1
A,0.9,47.86,1
A,0.9,45.52,1
A,1.0,54.58,1
A,0.6,44.94,1
A,0.7,44.5,1
A,1.0,62.5,1
A,0.6,34.22,1
A,1.6,60.5,1
A,1.3,75.48,1
A,0.7,39.72,1
A,1.0,34.22,1
A,1.3,66.55,1
A,0.6,36.75,1
A,1.2,49.04,1
A,0.9,56.69,1
A,0.6,44.39,1
A,0.6,43.71,1
A,0.9,34.22,1
A,1.0,63.87,1
A,1.8,42.49,1
A,0.6,34.22,1
A,0.6,34.22,1
A,1.1,49.97,1
A,0.6,41.23,1
A,1.6,45.87,1
A,0.9,58.55,1
A,0.8,46.8,1
A,1.6,38.39,1
A,1.1,34.46,1
B,2.2,86.43,1
B,1.1,74.63,1
C,1.4,84.73,1
C,1.3,55.84,1
C,1.2,68.41,1
C,0.8,43.57,1
C,1.0,43.06,1
C,1.3,54.58,1
C,3.0,70.75,1
C,0.9,68.43,1
C,1.0,72.24,1
C,0.7,54.38,1
C,0.9,68.71,1
C,1.3,65.58,1
C,2.3,63.01,1
C,2.2,81.08,1
C,1.9,69.22,1
C,0.8,74.76,1
C,2.3,86.07,1
C,1.2,64.11,1
C,1.9,71.12,1
C,0.6,63.44,1
C,1.0,50.3,1
C,0.7,64.7,1
C,1.5,49.4,1
C,1.0,55.98,1
C,1.2,65.72,1
C,1.1,63.79,1
C,0.8,63.95,1
C,1.2,65.11,1
C,1.2,69.72,1
C,0.9,63.89,1
C,0.8,45.75,1
C,1.2,68.66,1
C,1.8,71.08,1
C,2.2,69.03,1
C,1.0,65.17,1
C,0.9,52.66,1
C,1.6,68.78,1
C,1.6,60.47,1
C,0.8,61.76,1
C,0.7,51.81,1
C,2.4,85.67,1
C,1.4,61.88,1
C,1.7,57.32,1
C,0.9,63.31,1
C,1.6,83.99,1
C,2.3,61.92,1
C,1.2,58.05,1
C,0.8,48.71,1
F,1.6,79.92,1
F,1.4,85.9,1
F,1.1,67.73,1
F,0.7,59.77,1
F,1.7,79.8,1
F,1.4,79.97,1
F,1.5,86.43,1
F,1.9,81.46,1
F,0.6,61.96,1
F,1.2,87.21,1
F,2.3,77.97,1
F,1.9,84.28,1
F,2.1,83.99,1
F,1.7,71.32,1
F,0.8,83.57,1
F,1.2,83.01,1
F,0.8,73.67,1
F,2.8,84.68,1
F,1.6,86.44,1
F,1.0,77.75,1
F,2.3,84.77,1
F,1.5,77.24,1
F,2.5,80.99,1
F,1.7,86.32,1
F,1.3,82.84,1
F,1.5,75.49,1
F,1.5,84.85,1
F,2.5,86.13,1
F,1.9,83.14,1
F,0.9,64.86,1
F,1.3,68.66,1
F,1.5,76.55,1
F,1.5,85.71,1
F,3.0,65.59,1
F,1.0,61.12,1
F,1.1,81.78,1
F,1.5,61.7,1
F,2.8,87.08,1
F,1.5,82.89,1
F,1.7,83.87,1
F,1.0,75.72,1
F,0.9,64.59,1
F,3.0,87.12,1
F,0.9,64.4,1
F,2.5,87.29,1
F,1.3,82.21,1
F,2.3,77.97,1
F,1.4,84.12,1
F,1.1,77.61,1
F,2.4,74.99,1
F,2.1,75.21,1
F,1.0,75.46,1
I,1.0,64.29,1
I,1.3,85.76,1
I,0.8,80.25,1
I,0.6,85.08,1
I,2.0,65.13,1
I,1.2,74.09,1
I,1.1,80.52,1
I,2.0,75.0,1
I,1.3,87.3,1
I,1.3,73.83,1
I,0.9,75.94,1
I,1.6,81.09,1
I,0.8,80.61,1
I,0.8,75.25,1
I,2.0,73.73,1
I,0.7,67.55,1
I,0.8,82.14,1
I,2.2,75.44,1
I,1.9,82.63,1
I,1.9,78.41,1
I,1.6,83.41,1
I,0.9,82.29,1
I,0.8,74.05,1
I,1.4,79.75,1
I,2.8,84.92,1
I,1.3,64.17,1
I,1.1,76.14,1
I,0.9,87.45,1
I,1.8,85.97,1
I,1.1,80.94,1
I,1.1,75.56,1
I,1.4,72.6,1
I,1.2,76.67,1
I,1.2,80.16,1
I,1.3,84.03,1
I,1.3,86.17,1
I,1.6,70.26,1
I,1.8,77.61,1
I,1.0,83.87,1
I,1.8,83.48,1
I,0.9,76.39,1
I,0.7,73.59,1
I,2.1,77.16,1
I,3.0,86.95,1
I,1.5,86.87,1
I,1.3,85.62,1
