type,mean_real,std_real,n_before,mean_aug,std_aug,n_after
A,57.52409090909091,10.917402734512109,22,58.9327721636223,9.020344594142065,66
B,75.2238202247191,7.774682470221413,89,75.60990709228516,7.611454952513833,100
C,68.86041666666667,9.222477965213072,24,69.66210299597846,8.506639581661787,72
D,76.19347368421053,7.3953625158825975,95,76.2753379333496,7.24347477479703,100
E,77.40406593406594,7.117808179804601,91,77.00319228668214,7.2371315099877425,100
F,77.71461538461539,7.748113179746012,26,78.6148912733029,6.639377594107041,78
G,78.68852631578947,7.226285200928009,95,78.48832534942626,7.441160597166543,100
H,81.61021505376344,6.047189782877028,279,81.61021505376344,6.047189782877028,279
I,79.38695652173914,7.471625985129346,23,79.30292171533556,7.925603493309031,69
J,81.29729729729729,6.321722491884221,185,81.29729729729729,6.321722491884221,185
K,81.8794750656168,6.105727530039902,381,81.8794750656168,6.105727530039902,381
