type,load,efficiency,is_synthetic
A,1.3,56.634747,1
A,0.8,45.32868,1
A,1.5,61.108288,1
A,1.3,56.296978,1
A,0.7,42.229584,1
A,1.6,61.309547,1
A,1.5,59.37572,1
A,2.5,68.04554,1
A,0.8,45.228306,1
A,1.2,54.338135,1
A,1.5,59.747906,1
A,2.4,67.87681,1
A,2.7,69.58304,1
A,2.5,68.51169,1
A,2.3,66.55094,1
A,1.5,59.17693,1
A,0.8,46.64223,1
A,1.1,53.104473,1
A,2.0,65.87754,1
A,0.5,35.58036,1
A,1.5,58.777252,1
A,1.3,56.356647,1
A,1.2,54.08051,1
A,1.5,58.951702,1
A,1.9,64.11131,1
A,2.5,68.17376,1
A,1.0,51.26408,1
A,2.5,68.62336,1
A,1.3,56.93618,1
A,1.3,56.254128,1
A,1.8,63.162983,1
A,2.2,66.70484,1
A,2.3,66.81893,1
A,1.9,63.56152,1
A,2.2,65.976776,1
A,2.2,65.984825,1
A,1.5,59.370293,1
A,1.4,57.197723,1
A,1.4,58.576218,1
A,1.2,54.23457,1
A,2.2,66.247345,1
A,2.1,65.51245,1
A,2.7,69.63883,1
A,2.0,64.969284,1
B,2.8,81.84254,1
B,2.7,82.45317,1
B,1.9,78.930954,1
B,2.7,82.26134,1
B,1.2,72.33548,1
B,2.2,79.667015,1
B,2.8,82.46868,1
B,2.9,81.93433,1
B,0.8,64.957436,1
B,1.8,78.52393,1
B,2.4,80.69583,1
C,2.4,75.44786,1
C,2.6,76.35138,1
C,3.0,78.27745,1
C,2.6,76.53011,1
C,1.7,71.044685,1
C,1.4,69.29547,1
C,2.8,77.01932,1
C,1.3,66.62253,1
C,1.6,69.979195,1
C,2.9,77.79856,1
C,3.0,77.87142,1
C,1.2,65.04503,1
C,1.6,69.64047,1
C,2.6,76.83566,1
C,2.7,77.33665,1
C,1.1,62.463043,1
C,2.4,75.43186,1
C,0.9,57.187,1
C,2.9,77.27802,1
C,0.9,58.06088,1
C,0.6,51.108883,1
C,1.7,71.320564,1
C,2.7,76.93287,1
C,0.7,54.061035,1
C,2.5,76.34275,1
C,1.1,63.292484,1
C,1.5,69.294136,1
C,0.9,56.899097,1
C,2.0,73.67626,1
C,2.6,76.710526,1
C,1.2,64.76452,1
C,2.2,74.15254,1
C,2.3,75.461044,1
C,1.1,62.699924,1
C,1.3,66.151054,1
C,2.7,77.25306,1
C,2.0,73.85354,1
C,3.0,77.916794,1
C,2.2,75.0867,1
C,2.5,76.03839,1
C,2.8,77.713844,1
C,0.5,49.391254,1
C,0.7,53.269302,1
C,1.7,70.55506,1
C,2.3,75.23243,1
C,1.4,68.178734,1
C,1.1,62.514683,1
C,2.8,77.63333,1
D,1.3,75.62471,1
D,1.5,77.40333,1
D,2.5,82.61438,1
D,1.2,74.48004,1
D,1.6,79.031334,1
E,0.7,65.44746,1
E,0.5,59.380047,1
E,1.2,75.39437,1
E,2.9,83.99553,1
E,0.9,70.56151,1
E,0.9,71.38648,1
E,1.0,72.59013,1
E,2.1,81.69319,1
E,1.3,76.10051,1
F,0.7,65.99757,1
F,1.7,80.19545,1
F,2.1,82.330894,1
F,2.0,82.001,1
F,0.8,67.86873,1
F,1.0,72.52531,1
F,2.6,84.45759,1
F,2.3,83.357376,1
F,3.0,85.34494,1
F,2.7,84.496025,1
F,1.8,80.9503,1
F,2.6,84.48838,1
F,0.9,71.13834,1
F,1.3,77.12869,1
F,1.2,75.53045,1
F,2.5,84.07168,1
F,0.7,66.31428,1
F,0.6,61.955265,1
F,2.6,84.131454,1
F,3.0,85.117775,1
F,1.3,76.738434,1
F,1.0,73.14499,1
F,1.9,81.343704,1
F,1.0,73.059135,1
F,1.1,74.095604,1
F,2.7,84.66277,1
F,1.5,79.064,1
F,2.8,85.01498,1
F,2.1,82.43418,1
F,1.8,81.02043,1
F,1.8,80.70317,1
F,3.0,85.21646,1
F,1.9,81.64942,1
F,2.3,83.54497,1
F,2.8,84.77115,1
F,1.2,75.903404,1
F,0.9,70.22439,1
F,3.0,85.30419,1
F,1.5,78.78003,1
F,2.5,84.18148,1
F,1.3,76.79885,1
F,2.6,84.24407,1
F,2.1,82.94397,1
F,1.1,73.96669,1
F,2.5,83.879715,1
F,1.7,80.65949,1
F,1.9,81.32711,1
F,0.9,71.735405,1
F,1.2,75.69042,1
F,2.9,85.0828,1
F,0.9,71.113495,1
F,2.4,83.68111,1
G,1.9,82.34264,1
G,1.8,81.49002,1
G,0.5,61.50422,1
G,0.6,63.61562,1
G,2.4,84.47003,1
I,1.0,75.138664,1
I,2.6,85.84203,1
I,2.9,86.12065,1
I,1.1,77.1116,1
I,0.5,61.191357,1
I,1.7,81.9815,1
I,2.9,86.119,1
I,3.0,86.28481,1
I,1.5,80.74728,1
I,0.8,68.943054,1
I,0.9,73.09532,1
I,1.2,77.93714,1
I,1.1,76.20396,1
I,2.0,84.44681,1
I,2.4,85.12092,1
I,0.5,61.30883,1
I,2.5,85.30427,1
I,0.7,67.34287,1
I,2.0,84.544106,1
I,2.3,85.05514,1
I,1.9,83.6123,1
I,1.4,79.69572,1
I,0.9,72.69063,1
I,2.0,83.95545,1
I,2.4,85.496376,1
I,1.5,80.130394,1
I,2.6,85.75393,1
I,0.7,66.07058,1
I,2.6,85.63067,1
I,2.9,86.120926,1
I,0.9,72.285095,1
I,0.5,62.039497,1
I,2.8,86.10366,1
I,0.7,65.677536,1
I,2.4,85.50681,1
I,1.7,82.03407,1
I,2.7,85.84804,1
I,2.6,85.56319,1
I,1.2,77.26058,1
I,2.3,84.89695,1
I,2.5,85.501564,1
I,2.7,85.88784,1
I,0.5,59.732483,1
I,3.0,86.132164,1
I,2.3,85.14445,1
I,1.2,77.39139,1
