type,load,efficiency,is_synthetic
K,1.8,84.27,0
G,1.7,81.61,0
K,1.3,81.18,0
K,0.7,71.7,0
F,1.7,80.21,0
J,0.9,75.59,0
J,1.9,84.34,0
K,1.2,80.38,0
K,2.0,85.31,0
E,0.7,65.97,0
B,2.8,82.78,0
K,1.1,79.07,0
B,2.2,80.37,0
G,2.1,83.34,0
K,1.7,83.84,0
C,0.6,50.12,0
H,1.9,84.47,0
H,2.2,85.65,0
J,2.0,84.78,0
K,3.0,87.58,0
H,2.8,86.94,0
H,1.3,80.81,0
H,1.2,79.74,0
H,2.7,86.8,0
H,0.7,70.72,0
K,1.6,82.11,0
E,2.1,81.91,0
H,2.1,85.15,0
K,3.0,87.54,0
H,1.8,84.19,0
K,1.7,84.73,0
K,0.8,74.31,0
K,2.1,86.42,0
K,0.5,65.04,0
G,1.9,82.58,0
J,0.6,67.89,0
K,0.5,65.08,0
H,2.1,85.27,0
B,2.2,80.03,0
E,0.6,62.62,0
J,0.7,71.14,0
H,1.8,84.18,0
D,1.1,72.79,0
K,1.5,82.59,0
J,1.2,79.86,0
F,1.8,80.81,0
B,1.9,79.8,0
E,2.3,82.63,0
H,2.1,85.31,0
K,0.6,68.02,0
B,2.5,81.16,0
D,2.3,81.48,0
F,2.1,82.46,0
F,2.2,82.87,0
J,1.9,84.19,0
H,1.9,84.73,0
G,0.9,72.66,0
K,1.3,81.16,0
B,2.6,81.58,0
E,1.7,80.5,0
J,1.3,80.78,0
J,2.9,87.14,0
K,1.4,80.8,0
G,1.6,80.8,0
K,0.9,76.6,0
K,0.9,74.13,0
J,1.8,83.91,0
H,2.6,86.51,0
H,1.7,83.65,0
B,1.8,77.9,0
K,2.8,87.49,0
K,0.8,72.16,0
H,2.0,84.76,0
J,2.4,85.7,0
E,2.5,82.93,0
J,1.2,78.74,0
E,0.9,70.6,0
D,2.8,83.43,0
I,0.6,64.83,0
H,0.9,74.49,0
K,0.7,71.48,0
J,2.6,86.45,0
A,1.2,54.36,0
H,1.0,76.97,0
H,0.8,74.19,0
J,2.2,85.32,0
H,1.8,83.85,0
G,2.6,85.04,0
D,2.4,82.22,0
K,2.5,86.83,0
H,0.7,70.98,0
B,0.6,58.79,0
E,2.8,83.36,0
H,1.2,79.67,0
F,0.9,70.04,0
K,1.6,83.4,0
K,1.2,79.99,0
K,1.6,83.3,0
K,1.1,78.88,0
J,2.3,85.82,0
H,1.6,82.78,0
H,1.0,77.37,0
K,3.0,87.85,0
E,1.2,73.69,0
H,1.4,81.67,0
J,0.5,63.56,0
E,0.8,68.79,0
G,2.9,85.4,0
J,2.7,86.57,0
K,3.0,87.46,0
D,3.0,83.2,0
E,1.0,72.38,0
K,0.9,76.18,0
K,2.9,86.66,0
K,0.8,73.93,0
B,2.7,81.66,0
J,1.9,84.17,0
D,0.6,61.01,0
K,0.6,68.24,0
E,2.3,83.29,0
B,1.0,69.13,0
K,2.6,87.18,0
K,2.0,85.3,0
B,1.9,79.03,0
D,1.7,79.45,0
I,1.1,76.72,0
J,1.1,77.61,0
K,2.6,86.88,0
K,2.9,87.39,0
K,1.5,82.76,0
E,1.0,73.29,0
F,2.7,84.67,0
H,2.1,85.38,0
B,3.0,82.47,0
E,0.7,65.6,0
J,1.5,81.65,0
K,0.6,68.55,0
J,1.5,82.19,0
E,2.8,83.7,0
D,2.0,80.34,0
H,2.8,86.83,0
D,1.6,78.75,0
E,2.0,81.92,0
K,1.0,77.32,0
H,0.9,75.21,0
K,1.5,82.65,0
H,1.3,80.8,0
D,1.0,71.61,0
H,2.8,86.79,0
K,1.1,78.62,0
H,2.2,85.66,0
E,1.9,80.76,0
H,2.8,86.97,0
K,1.4,81.95,0
H,0.6,67.96,0
G,1.5,79.75,0
A,2.4,68.16,0
I,2.9,86.06,0
A,1.1,52.7,0
H,0.6,69.64,0
E,1.1,73.39,0
K,2.4,86.49,0
K,3.0,87.68,0
J,1.0,77.25,0
F,1.4,77.88,0
C,2.1,74.32,0
J,1.0,76.99,0
J,1.3,80.14,0
J,0.8,73.33,0
H,1.9,84.34,0
H,0.6,68.94,0
H,2.4,85.53,0
J,1.0,76.94,0
K,0.7,71.67,0
D,3.0,83.51,0
B,1.5,76.56,0
C,0.9,59.09,0
E,0.8,67.98,0
K,1.9,85.12,0
F,0.8,67.33,0
G,2.9,85.49,0
G,0.5,59.15,0
J,1.8,83.64,0
H,2.2,85.59,0
H,2.3,85.93,0
D,2.8,83.52,0
E,1.8,80.43,0
H,0.6,67.09,0
K,1.1,78.95,0
C,1.2,65.18,0
I,1.9,83.46,0
J,2.8,86.78,0
H,1.0,76.85,0
E,2.1,81.78,0
K,2.6,86.95,0
J,1.7,83.37,0
J,1.5,82.36,0
H,2.0,85.0,0
K,2.1,85.91,0
K,2.4,86.54,0
K,2.1,86.11,0
K,1.8,84.6,0
G,2.0,82.89,0
J,2.3,85.54,0
J,0.9,75.04,0
E,0.8,67.87,0
K,0.8,74.25,0
H,1.6,83.22,0
D,1.5,78.19,0
B,1.7,77.38,0
H,0.8,73.61,0
K,1.5,81.35,0
B,0.8,65.18,0
H,2.1,84.91,0
H,1.9,84.39,0
H,2.4,86.18,0
B,3.0,83.15,0
B,0.5,55.67,0
K,1.2,79.17,0
J,2.8,86.65,0
J,2.3,86.03,0
K,1.8,84.02,0
G,0.6,64.39,0
H,1.1,78.43,0
K,2.7,87.24,0
K,1.3,81.08,0
J,0.9,73.2,0
K,2.8,86.69,0
K,1.0,77.6,0
K,2.4,86.7,0
J,1.1,78.09,0
J,2.5,86.69,0
H,1.0,77.21,0
H,2.5,86.2,0
J,2.2,86.19,0
H,2.0,85.1,0
K,2.1,85.64,0
H,1.6,83.04,0
K,1.1,79.25,0
D,2.2,81.73,0
G,2.4,84.07,0
D,2.9,83.45,0
J,1.8,84.18,0
H,2.6,86.61,0
