type,load,efficiency,is_synthetic
A,1.4000000000000001,60.82446250326853,1
A,1.9000000000000001,64.7104384758034,1
A,2.8000000000000003,70.5166803960477,1
A,2.3000000000000003,65.60261736459734,1
A,2.8000000000000003,70.58812749570937,1
A,2.4000000000000004,68.43325363215462,1
A,1.3,55.898605553204156,1
A,1.8,61.87654081291363,1
A,0.7000000000000001,39.38652739575823,1
A,1.8,64.85772890766935,1
A,2.7,69.31315802836694,1
A,2.8000000000000003,71.06744039028432,1
A,1.5,60.432078071965684,1
A,0.8,43.06729876967113,1
A,1.7000000000000002,64.4326638170998,1
A,2.3000000000000003,64.81489094926252,1
A,0.9,50.27849810049412,1
A,1.5,58.278853079460305,1
A,1.8,63.857782263633354,1
A,1.7000000000000002,63.10497515667538,1
A,1.7000000000000002,62.50103140800948,1
A,0.9,45.69895611302438,1
A,0.7000000000000001,42.12992019059574,1
A,1.8,64.26613434437311,1
A,0.6000000000000001,39.96553455859954,1
A,2.4000000000000004,67.99635111634701,1
A,1.4000000000000001,60.51763638956798,1
A,1.0,47.74888961377787,1
A,1.2000000000000002,58.40684677901805,1
A,1.1,54.359545918421716,1
A,2.1,66.23919396561514,1
A,0.8,42.32701351247575,1
A,0.6000000000000001,38.71283950967599,1
A,0.8,43.10170018191386,1
A,1.3,56.616878255029576,1
A,2.7,71.2876000409366,1
A,1.3,55.71533370596943,1
A,1.9000000000000001,64.39907200986927,1
A,2.4000000000000004,68.92586269641814,1
A,1.0,48.85751308740059,1
A,1.7000000000000002,63.01758452167516,1
A,1.9000000000000001,64.72765093480992,1
A,2.4000000000000004,68.22458861194096,1
A,2.1,64.61680603435734,1
B,1.0,69.9322082948114,1
B,2.5,80.93549704345669,1
C,1.0,69.91782553896056,1
C,2.0,71.89815904887875,1
C,2.2,74.26954348658798,1
C,0.6000000000000001,60.49117203508824,1
C,2.4000000000000004,81.59156005226134,1
C,2.1,73.75685860432385,1
C,0.8,61.19139964684583,1
C,2.1,79.98356271046575,1
C,2.9000000000000004,83.01487697159057,1
C,1.5,76.68734243988777,1
C,1.3,74.16455758210233,1
C,2.7,76.0270698494842,1
C,2.3000000000000003,81.49405334045841,1
C,2.9000000000000004,79.02643622940975,1
C,3.0,82.42652704455965,1
C,3.0,82.66081629365361,1
C,1.1,73.04283516632137,1
C,2.5,81.89977251832066,1
C,2.7,76.62901015968608,1
C,1.1,71.33285228842273,1
C,1.3,74.03223690089928,1
C,0.5,54.16484419247905,1
C,3.0,82.53301395312326,1
C,1.4000000000000001,69.18114641386781,1
C,2.3000000000000003,73.13782085273075,1
C,2.3000000000000003,81.36607541986386,1
C,0.6000000000000001,61.06222914943432,1
C,2.3000000000000003,75.48758796040111,1
C,2.9000000000000004,78.59608571220917,1
C,2.5,74.44795168586344,1
C,1.8,70.90140767394722,1
C,0.6000000000000001,61.35231606538758,1
C,2.9000000000000004,79.90985818867406,1
C,1.0,70.5418091180122,1
C,0.8,66.00930139024305,1
C,2.4000000000000004,74.19451147816572,1
C,2.2,76.067019637478,1
C,2.5,82.08638253125046,1
C,3.0,77.95870729386004,1
C,2.1,80.21061603765035,1
C,2.7,76.19948386845529,1
C,1.3,67.10241948832439,1
C,2.7,82.39295713492432,1
C,0.7000000000000001,64.77372042504064,1
C,0.7000000000000001,61.81830280336547,1
C,1.0,63.1976315704772,1
C,2.7,77.32124212756626,1
