type,load,efficiency,is_synthetic
A,0.6295807814391222,38.85757291895526,1
A,2.1901074182584646,65.81114396565164,1
A,2.4,65.15271079066792,1
A,0.8,42.56477203577926,1
A,1.1,53.317914461724655,1
A,0.8,43.288394207215816,1
A,1.59683193917307,61.370447034822156,1
A,1.3,54.98754868512849,1
A,0.9636662991733738,53.88378267159433,1
A,1.0946297819618442,56.42966192121213,1
A,2.716283956576151,69.30748096223694,1
A,0.8470175057235519,44.37683998338954,1
A,0.6,39.18003594751452,1
A,2.924128504824538,72.16620136549457,1
A,1.67378718201529,63.61725875753266,1
A,1.9,64.28317883084704,1
A,1.9992998687746155,64.9309543588207,1
A,2.2140695670092523,64.91279145479139,1
A,1.3,61.499587721416056,1
A,0.908990653972594,51.55084962249235,1
A,1.9373403974614454,63.72350930851061,1
A,2.1207314790852725,64.40216855050927,1
A,2.9404082772743405,74.98570323138966,1
A,2.0943095004819883,66.42129836133968,1
A,0.938028600850181,45.63518631221473,1
A,1.7956177536118345,61.08849998891492,1
A,2.5,68.31935428672668,1
A,2.821852114076545,71.83250704405704,1
A,1.3209033693549306,59.732461746826885,1
A,1.1,54.367115083479675,1
A,2.3696707308349727,65.54697833624532,1
A,2.522669866540598,72.79968553889785,1
A,0.5,34.22547890922776,1
A,1.9885049778689852,66.08429338198782,1
A,0.5,34.22,1
A,2.6912359642589307,70.97810402774785,1
A,2.7,70.3779181249853,1
A,2.1465648514741007,65.7388911553302,1
A,1.1817064077525807,50.292660490037264,1
A,0.6254030950534539,40.420698537892584,1
A,1.8,64.2714243138789,1
A,1.9329244230230525,64.38220706656006,1
A,2.651609137407385,68.57297131162179,1
A,0.9947764257642785,48.370487887598856,1
B,1.6,77.06229407690364,1
B,3.0,83.01019079973527,1
C,2.2043639014379224,76.78234734951258,1
C,1.0,69.88075155514876,1
C,2.9542381534992592,83.19156543527804,1
C,2.7909712043111132,82.3511281763014,1
C,1.1,62.44124008742901,1
C,0.6,60.60679663065535,1
C,1.2204835871336714,73.57165063472377,1
C,0.8082043257043446,66.86744550714577,1
C,1.6,65.90142210744966,1
C,2.5,82.3471546898053,1
C,2.9120179864049294,79.14887922044872,1
C,1.6,71.51685821000602,1
C,1.8,78.66662992095142,1
C,2.4,81.54637693046027,1
C,1.7178452710336432,78.71854650117527,1
C,0.8327766173686932,67.85983644117094,1
C,1.6,78.25537377775157,1
C,1.3945060523172885,66.59637561908507,1
C,0.8567571019188964,62.333742522564414,1
C,0.5,57.51401790854015,1
C,1.8,68.12378886820795,1
C,0.5,55.331459577039865,1
C,0.8945094159959333,53.01528129754693,1
C,0.5,55.134267518026206,1
C,1.597262355897213,77.42765394070074,1
C,0.9334516459455604,60.698199900723495,1
C,0.5,53.379687888713995,1
C,0.5,51.04111113651017,1
C,1.1612560868300774,73.81228314312625,1
C,2.184257513286916,75.90376621530548,1
C,0.6321291857385853,61.17339650363802,1
C,2.9,78.67372289232655,1
C,2.2898248514382242,80.7090900481461,1
C,1.0,70.7117752678684,1
C,1.0,64.64043693921481,1
C,3.0,83.66331894947977,1
C,0.8875790622530851,67.92229700431642,1
C,1.0,70.37048154910494,1
C,1.876693852981466,79.41926896906143,1
C,2.3578810013969282,74.78691154274752,1
C,3.0,84.39505856174367,1
C,2.7,81.82086295213011,1
C,0.5,41.49221315070997,1
C,0.9485177174304986,68.877216124852,1
C,2.5,82.20266247998501,1
C,0.8,66.0570811340788,1
C,1.0,71.68181413402608,1
C,1.8712233416723614,80.25940088619998,1
F,0.8,69.44546110976634,1
F,1.8,81.35155698420104,1
F,1.1,75.0463296755588,1
F,0.9192108055425452,71.499535480521,1
F,1.5642170579991643,79.82566988667648,1
F,0.5,61.053108264073295,1
F,0.8204285601683043,70.38886539207745,1
F,1.7597417053655593,81.01888015640401,1
F,0.5,57.59144808213509,1
