種類,負載,效率
B,0.5,55.67
B,0.6,59.47
B,0.7,63.03
B,0.8,65.97
B,0.9,68.08
B,1,70.09
B,1.1,72.19
B,1.2,73.29
B,1.3,74.78
B,1.4,75.67
B,1.5,76.56
B,1.6,77.57
B,1.7,78.57
B,1.8,79.06
B,1.9,79.8
B,2,80.11
B,2.1,80.57
B,2.2,81.03
B,2.3,81.48
B,2.4,81.76
B,2.5,82.07
B,2.6,82.3
B,2.7,82.57
B,2.8,82.78
B,2.9,82.97
B,3,83.15
B,0.5,53.76
B,0.6,58.19
B,0.7,62.05
B,0.8,64.72
B,0.9,66.94
B,1,69.09
B,1.1,70.65
B,1.2,72.22
B,1.3,73.6
B,1.4,75
B,1.5,75.68
B,1.6,76.55
B,1.7,77.38
B,1.8,77.99
B,1.9,78.64
B,2,79.04
B,2.1,79.44
B,2.2,80.03
B,2.3,80.43
B,2.4,80.99
B,2.5,81.12
B,2.6,81.58
B,2.7,81.82
B,2.8,82.09
B,2.9,82.12
B,3,82.2
B,0.5,54.72
B,0.6,58.79
B,0.7,62.15
B,0.8,65.18
B,0.9,67.52
B,1,69.13
B,1.1,71.57
B,1.2,73.15
B,1.3,74
B,1.4,75.45
B,1.5,76.29
B,1.6,77.11
B,1.7,77.39
B,1.8,78.4
B,1.9,79.03
B,2,79.74
B,2.1,80.01
B,2.2,80.37
B,2.3,80.79
B,2.4,81.29
B,2.5,81.59
B,2.6,81.85
B,2.7,82.08
B,2.8,82.24
B,2.9,82.33
B,3,82.47
B,0.5,54.27
B,0.6,58.04
B,0.7,61.69
B,0.8,64.49
B,0.9,66.8
B,1,69.12
B,1.1,70.78
B,1.2,72
B,1.3,73.6
B,1.4,74.52
B,1.5,75.55
B,1.6,76.55
B,1.7,77.37
B,1.8,77.9
B,1.9,78.55
B,2,79.03
B,2.1,79.62
B,2.2,80
B,2.3,80.42
B,2.4,80.88
B,2.5,81.16
B,2.6,81.39
B,2.7,81.66
B,2.8,81.9
B,2.9,81.99
B,3,82.08
A,0.5,34.22
A,0.6,37.87
A,0.7,41.4
A,0.8,44.65
A,0.9,47.72
A,1,50.12
A,1.1,52.7
A,1.2,54.36
A,1.3,55.89
A,1.4,57.52
A,1.5,59.03
A,1.6,60.52
A,1.7,61.73
A,1.8,62.95
A,1.9,63.95
A,2,64.8
A,2.1,65.88
A,2.2,66.62
A,2.3,67.57
A,2.4,68.16
A,2.5,68.75
A,2.6,69.33
A,2.7,69.88
A,2.8,70.64
A,2.9,70.97
A,3,71.45
E,0.5,60.15
E,0.6,62.62
E,0.7,67.08
E,0.8,67.87
E,0.9,71.11
E,1,73.29
E,1.1,74.4
E,1.2,76.29
E,1.3,76.89
E,1.4,77.06
E,1.5,79.32
E,1.6,79.53
E,1.7,80.5
E,1.8,80.82
E,1.9,81.38
E,2,82.01
E,2.1,82.25
E,2.2,82.76
E,2.3,83.29
E,2.4,83.34
E,2.5,83.72
E,2.6,83.83
E,2.7,83.97
E,2.8,84.1
E,2.9,84.44
E,3,84.51
D,0.5,57.14
D,0.6,61.01
D,0.7,64.75
D,0.8,67.64
D,0.9,69.67
D,1,71.68
D,1.1,73.77
D,1.2,74.61
D,1.3,75.86
D,1.4,76.95
D,1.5,77.73
D,1.6,79.09
D,1.7,79.46
D,1.8,79.86
D,1.9,80.68
D,2,81.03
D,2.1,81.35
D,2.2,81.73
D,2.3,82.2
D,2.4,82.22
D,2.5,82.54
D,2.6,82.77
D,2.7,83.36
D,2.8,83.52
D,2.9,83.57
D,3,83.63
E,0.5,58.41
E,0.6,62.18
E,0.7,65.97
E,0.8,68.79
E,0.9,70.6
E,1,72.58
E,1.1,74.22
E,1.2,75.43
E,1.3,76.6
E,1.4,77.46
E,1.5,77.93
E,1.6,79.28
E,1.7,80.38
E,1.8,80.43
E,1.9,81.11
E,2,81.92
E,2.1,81.79
E,2.2,82.41
E,2.3,82.48
E,2.4,82.87
E,2.5,83.05
E,2.6,83.19
E,2.7,83.54
E,2.8,83.59
E,2.9,83.74
E,3,84.01
D,0.5,56
D,0.6,60.85
D,0.7,64.09
D,0.8,67.45
D,0.9,69.91
D,1,71.61
D,1.1,72.79
D,1.2,73.77
D,1.3,75.2
D,1.4,76.76
D,1.5,77.48
D,1.6,78.75
D,1.7,79.45
D,1.8,79.89
D,1.9,80.2
D,2,80.34
D,2.1,81.49
D,2.2,81.55
D,2.3,82.03
D,2.4,82.32
D,2.5,82.63
D,2.6,82.79
D,2.7,83.06
D,2.8,83.43
D,2.9,83.45
D,3,83.51
