type,load,efficiency
K,1.8,84.27
G,1.7,81.61
K,1.3,81.18
K,0.7,71.7
F,1.7,80.21
J,0.9,75.59
J,1.9,84.34
K,1.2,80.38
K,2.0,85.31
E,0.7,65.97
B,2.8,82.78
K,1.1,79.07
B,2.2,80.37
G,2.1,83.34
K,1.7,83.84
C,0.6,50.12
H,1.9,84.47
H,2.2,85.65
J,2.0,84.78
K,3.0,87.58
H,2.8,86.94
H,1.3,80.81
H,1.2,79.74
H,2.7,86.8
H,0.7,70.72
K,1.6,82.11
E,2.1,81.91
H,2.1,85.15
K,3.0,87.54
H,1.8,84.19
K,1.7,84.73
K,0.8,74.31
K,2.1,86.42
K,0.5,65.04
G,1.9,82.58
J,0.6,67.89
K,0.5,65.08
H,2.1,85.27
B,2.2,80.03
E,0.6,62.62
J,0.7,71.14
H,1.8,84.18
D,1.1,72.79
K,1.5,82.59
J,1.2,79.86
F,1.8,80.81
B,1.9,79.8
E,2.3,82.63
H,2.1,85.31
K,0.6,68.02
B,2.5,81.16
D,2.3,81.48
F,2.1,82.46
F,2.2,82.87
J,1.9,84.19
H,1.9,84.73
G,0.9,72.66
K,1.3,81.16
B,2.6,81.58
E,1.7,80.5
J,1.3,80.78
J,2.9,87.14
K,1.4,80.8
G,1.6,80.8
K,0.9,76.6
K,0.9,74.13
J,1.8,83.91
H,2.6,86.51
H,1.7,83.65
B,1.8,77.9
K,2.8,87.49
K,0.8,72.16
H,2.0,84.76
J,2.4,85.7
E,2.5,82.93
J,1.2,78.74
E,0.9,70.6
D,2.8,83.43
I,0.6,64.83
H,0.9,74.49
K,0.7,71.48
J,2.6,86.45
A,1.2,54.36
H,1.0,76.97
H,0.8,74.19
J,2.2,85.32
H,1.8,83.85
G,2.6,85.04
D,2.4,82.22
K,2.5,86.83
H,0.7,70.98
B,0.6,58.79
E,2.8,83.36
H,1.2,79.67
F,0.9,70.04
K,1.6,83.4
K,1.2,79.99
K,1.6,83.3
K,1.1,78.88
J,2.3,85.82
H,1.6,82.78
H,1.0,77.37
K,3.0,87.85
E,1.2,73.69
H,1.4,81.67
J,0.5,63.56
